year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
1916,-0.5971679659915022,6.440416396288068,0.09603395495629587,-0.20666564809442164,0.2908831149701467,0.10598268908478198,0.9334942711307592,2.757482810282194,0.14185963691857278,-0.49819749687255244,-0.10518001982577321,0.055435077434067004,-0.4540674779371762,1.4195778450948555,0.4528913078359507,0.27705528093192444,0.10479577001082374
1920,-9.915701265019239,1.084453266919822,1.2272031053945993,-0.34882630609789084,-0.021615945205773788,0.020972045489470258,-2.874388848886864,0.6809835118050396,0.7358121872410194,0.733640243681427,-0.387470913238424,0.5674341424524332,0.5981040117111547,0.581007391732043,0.6962047086026526,-0.0579428539486034,0.3450895998098348
1924,-9.988888965062,2.221252218919936,1.1868071208326922,-0.4161339819694125,-0.037124989712768064,-0.26760707812190415,-1.2411495274315596,-0.7469860239503927,0.23413632785053812,2.0464985014893946,-0.078892375002981,0.4650946240060206,-0.22156543255916356,0.2730234211622674,-0.24224659728121312,-0.49523558758627934,-0.15683313429200543
1928,-6.3665997713841485,-1.2849655787345264,0.38814731970369176,-0.18646328507282744,-0.2061639654955056,-0.026451521111223678,0.8824668052468236,-2.230097359746329,0.22445524132274713,-0.2223435847130653,-0.008733046159785327,0.06062095403272677,-1.9406423804470072,1.5713583936669986,-0.6492449101761127,1.1634578768762918,-0.6241304765183665
1932,3.3363538408321007,9.397185713723294,-0.3865295765664338,0.10323868795754496,0.20347484541414554,-0.36391852836234295,4.251802760218393,0.7558751570287239,-0.43550718510606895,0.8332001713729997,0.19673089388266798,-0.24422084994990736,0.513200954508529,-0.3866998194566766,-0.4641292040715302,-0.5038166989706173,-0.029991080685704895
1936,5.6543291627550865,9.89760391815061,-0.6252164413385544,0.11104557603916296,0.2990794308385734,-0.2160863767050094,2.4263583187563666,0.6178537145361135,-0.6536805686348209,-0.3998845269229785,0.8591537273216028,-0.19006354755958288,0.9253824985583184,0.06252516751459772,0.6367301768597396,0.07563304273221798,-0.957093541206447
1940,1.5543015386333336,6.972266788613387,-0.002677063521136318,0.0284993461810667,0.03238441806697594,-0.06672232508710475,-1.1561789082375487,-0.6327745601719001,0.3238211810256702,-0.14376843218396063,0.29470262816332843,-0.11059269318450957,0.3629432964243548,0.33074599485259415,0.11933202895414426,0.2549461063024331,0.40984442652297787
1944,0.7810442741650835,5.243893567560739,-0.0420799572012435,0.011527451377112662,-0.010930455827368962,-0.08736803341557109,-0.9629244385349107,-0.9439772919199547,0.14030654479919621,-0.7365206671348079,0.08836651578470307,0.05610129287441329,0.07783213137812676,0.4844476770034395,-0.0009782022785205019,0.0076151692980771235,0.45429234905840327
1948,0.5531731638048164,3.845577193028712,-0.717735807678309,0.3778569288725689,-0.044592978864370574,0.4289305272890506,0.9453031397852434,0.5175515860515039,0.2974846987890771,-1.2762695892592102,0.30564674697505834,-0.20087186526550632,-0.2353271503195271,-1.8908263036779516,-0.3656377696297982,-1.0842411646395562,-0.08570103228095247
1952,-4.489893403009138,-1.1365430392922247,-0.0267559705726752,0.15193004137819632,-0.2238292369429097,0.054665418376699484,-2.09378812339819,-0.9538408411494982,-0.8217522678467531,-1.286076593269651,-0.1357531549717516,-0.13430301061720581,0.05031934930859272,-1.405508916010375,0.04933974235071287,0.09419085604522393,-0.5887733291636094
1956,-5.544050334074079,-1.3689943941224434,-0.30228292257878775,0.0713470506892879,0.020719487776974764,-0.29489458926570394,0.30769280716638275,-0.320265397906412,-1.2577029715036017,-1.6603848808008335,-0.20192408983356552,-0.1817882512143752,1.4804314261627305,-0.9532062255770339,-0.16683920546185085,0.42331942071831324,0.27391700335445923
1960,0.03238666765910046,-0.20198877692129383,-0.5388803771447902,0.1493844373678283,-0.1327442428883364,1.3321223071941535,-0.10623967446432944,-0.6918460863363813,-0.46643322014921423,-0.4959699351113073,0.021701282553068107,-1.5814848712708398,-0.7591802459142701,-0.02989545308634387,0.715445935761378,0.0030380574974611958,-0.0610510870809203
1964,9.114659970696472,2.0548676980593648,-0.9123675729911658,1.0539609976352335,-0.1839007116608576,5.955316183047075,1.7951420333464827,1.0815412198227403,0.8484116556708794,0.31435227326902543,0.3359539607306226,1.7363011212578254,-0.23202016364369027,-2.0041790191400364,0.406289148308602,0.019636814969496277,-0.03535851193953907
1968,0.39396361591926776,-1.7866796773604008,-1.6631225276265624,0.39152965879738716,-0.218761252639509,1.6678140039962075,-0.2948989309790542,-0.32946445131201846,-0.5345799754622349,-0.7138298970184496,-1.3605589157915186,0.4063944762029246,-0.9710706554636667,0.0781442977912383,-0.23255406485007538,-0.03995327044841003,0.1683778790881547
1972,-5.034581827518576,-7.4248056855130615,-4.941232930292153,-0.8710643570612959,0.2266806770605022,-0.9667069159488083,0.709227891682664,-0.3183466211430752,0.6048181880183078,-0.8201810751307097,0.50480899658509,-1.1590494025648947,0.48670035408353,1.6066720077156953,0.005809492137747022,-0.49946487311416865,-0.3224245684618094
1976,0.14287797314418335,0.48394787496836345,-2.144576460260883,0.6246835225392317,-0.31130047045511283,-0.5601142899541259,0.45287666325028314,0.08126389163172783,0.27816425800720945,0.4757368558253605,-1.1972147774987612,-0.2588846895520643,0.049529727968094045,-1.5943949136533404,0.2147817570900361,0.5925759005341621,0.29386485007366303
1980,-2.7215143322417177,-3.238173781658291,-2.4739416926457087,0.35154292141174914,-0.22640829301006613,-1.2636483831289897,-1.5338678181615217,-0.4813325802323901,-0.7936755418920152,0.7318875497457297,-1.2625959348554834,0.37304104890769674,-0.28685737734887395,-1.230118626311488,-0.3266878953418539,0.5371868936677073,0.2774556949705534
1984,-4.44782096632223,-5.710570904595209,-3.3868418644130034,-0.8088719662428366,0.17727070850260424,-2.4336715489132033,-0.41633930408570347,-0.4426936612911731,-0.5449017535599996,0.13990683152613956,1.7959611814320209,-0.27502306965179757,-0.18240290344664847,-0.28136768028358133,-0.03968007342664307,0.36378297206638405,0.2927943500745301
1988,-0.8169278061649164,-3.1835449658806336,-2.7024837437497937,0.061095664624068916,-0.022196041249648125,-0.7139243105281641,1.424231939808068,0.46730435934278347,-0.45851173085965485,-0.21480161809029796,1.0477517180507914,0.42117520712067036,-0.09130580519768855,-0.4953568599195709,-0.49106060649682837,-0.19980909917219936,0.4439468672185911
1992,2.776966034317811,0.017658158202444246,-0.12880070015963402,4.379660486757358,-0.18712725617291642,0.5562498022229986,0.5615733886564267,0.8315603471525856,0.055656390274541764,0.09745057852808761,0.5356228608643232,-0.7800406676238025,0.4634238146469108,-0.282289416499064,-0.423916468000817,0.10365391792090871,0.0057745380077510984
1996,4.262403392797476,-0.2611441856529247,1.2113561538302087,4.2820229238140985,-0.7115014964130818,0.15965607102193796,0.32021140993458913,-0.30534814368756086,0.5111275811157845,-0.060828366331899066,-0.98923471772882,0.15737920723994686,-0.5401654745974639,-0.16420764883189276,-0.3895905290982201,-0.06533713184298648,-0.14824468002367758
2000,2.143838359021723,-3.0619724738110747,0.7092293057751101,-0.5300096802212994,-3.1267458369277596,-1.2462410566986046,-0.8952810348318718,-0.3953311890696039,0.28917030491978324,0.5310818338680515,-0.333448908325458,0.26064124765122093,-0.4186109223599164,-0.18684747885981615,0.004320361367672199,-0.1000139644246617,-0.4610494454813503
2004,1.7826307961339025,-3.7489242010422594,1.1579781928973523,-1.5150550894201469,-4.306355509146364,-1.0843443466089913,-0.5699241400375529,-0.1284586080033901,0.28998833656023926,0.17533363089283863,-0.44809323602123685,-0.36780850357637085,0.030651327622008524,0.28080418207228663,0.06994814030467784,0.07718618273594002,0.35182122185221304
2008,5.143321114116093,-1.8261130014988602,3.2152492852154255,1.5879569866835448,2.482970198788416,-0.3330562620647687,0.5645769926100486,0.047539095402881,0.3334490718738863,0.2575357904818758,-0.2676810530094576,0.9539810256894956,0.08526437321047327,0.010035084483914828,0.9729810654064628,-0.11135683172877539,0.1429001726358424
2012,3.9566051154682715,-3.070004724423823,3.172208065347549,0.15329657418052106,0.08263007039021375,-0.1606474697637548,-0.1698442936798954,-0.09379361977974988,-0.18418437219228753,0.6673486665229158,-0.3846492925628893,0.8815150609133181,0.32225656801044905,0.7654651066313916,0.47233574823539276,-0.29244270177568377,0.3638911410454108
2016,2.481828453061575,-3.5357631399173077,2.7823032630537092,-3.5406774782761667,0.4589219725423056,-0.29481609768331085,-1.0747759139823343,0.07457052003300245,0.19343567058513245,0.3524435449995095,0.8795730263573817,0.007688725909386715,0.379698798235761,1.282292237723792,-0.16026637943175998,-0.2230514222087677,-0.18812680609757804
2020,3.5962372975535315,-2.9907922601544157,3.1986482309209574,-2.8203771755995635,2.7211390561714226,0.1992168623725692,-1.0444607947491658,0.4112260112077859,0.3642703878715708,0.6311862038491434,0.20347349325720662,-0.35209472518021484,0.17048833967866303,1.0236067670398115,-0.33441201629192013,-0.1708153242580368,-0.10687464235389715
