year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
1916,7.302096929712172,-1.208736705561544,0.31562198546700165,4.715998834073333,0.9249268330758974,-0.9665905624724701,0.09981962399443145,-2.1058937612161714,-0.053380320914030756,-1.875589605587607,-0.030377657540196078,1.4324176289732553,0.32990932936966944,0.42316870788612354,0.9734316399499144
1920,8.338488243872462,3.602970396187786,0.6337220679586932,2.4355645724659225,0.3243265828502887,-4.961916167700787,-0.09094320617291608,-1.9473427459907255,0.6432444383888803,1.0148303148698365,0.31614335734566085,-0.06285955955502166,1.8334494786222895,-0.33340731342293806,-0.11106415598797767
1924,9.240363187624157,0.3326675093603462,0.12905949925968904,0.8783068860366285,0.012590168879578258,-5.922172759482076,-0.31790570044861277,1.6505791095086546,-0.22496260225429357,0.925426219844264,0.2605785151595597,-1.9423068803679189,1.3833412199514084,-0.6353448989208169,-1.0304726729711438
1928,2.5564500419276084,-2.8094900482014773,0.3917160772058753,-1.9750032741754984,0.13592452192452803,-3.0101902243490772,-0.02754527196608261,2.599899525092911,-1.2830740725745198,-2.380549018155315,0.743026250473826,-0.010779301827986188,1.8961683385658161,-0.5285586741571806,1.6673348837691855
1932,7.031461569811624,-5.487385392894351,0.6154169516342282,1.7605744732439605,0.04825098045835199,-0.9559601778893866,0.09424761601767362,2.4491624598213866,1.1782017612929598,0.22817206507841542,-0.16889497461411745,0.313342539243418,-2.1004144065023356,0.377939592099795,-1.092928653182433
1936,6.228767157542489,-3.1424027404239756,1.4745258661588687,0.13417468617566466,0.8308522708224839,1.2650710156857068,0.13476183352111548,-0.47420672264101243,-1.3255441866279587,0.4168511228262951,0.18468813494560052,1.37802443883051,-2.7246919452875176,0.4962116261539134,-0.293121268536763
1940,6.057444354954252,1.1752408991563026,-0.48118191692946677,-1.9240025355157775,0.6267925080084916,-0.13222111816146387,0.4054056290956848,-0.3294325609557973,-0.40336239271431595,-0.10749201755251059,-0.8843441290879331,1.0814639374195671,-0.19828868044826156,0.7189122368994018,0.05443502251400765
1944,4.480461105730869,0.9841975048432939,-0.715551240754056,-2.4739480262949587,0.4942577405815759,-0.06537860655603736,0.2651839212274168,0.25914619991305426,0.0379470692545354,-0.7175800306066054,-0.5334575401138049,1.744352972047331,-0.30731817104708054,0.6182804524169225,0.4327059811666701
1948,2.651837910657722,-1.1860800501839845,-0.6922537208365981,0.9217325846459477,0.547737004027286,-2.232389780367775,-0.003990933345641572,0.14211295928159404,-0.15490659477330548,-0.9332165928499221,0.12136448552274344,2.674017902254403,-1.4182181677786618,-0.014563585805504735,-2.162577963191605
1952,0.9516313946379927,2.869770039985455,0.655496691342154,-1.9027196179844883,0.10677498171130131,-2.3561996840547637,0.09648502536054579,-0.06595913623988865,-0.23092699103249692,-1.2931666277340743,0.2436397304150913,1.7847577225088571,-1.900543491579099,-0.023815727266908403,-0.2558144119035561
1956,1.828415452271372,-0.5847385965303545,0.9919600797008888,0.4062359084224387,0.1490909049745959,-1.7079615657404854,0.3036584819482927,0.250900047156367,1.4818688311927275,1.1001926954705104,0.05686748153925418,2.8556888912853196,-3.0478950502073743,0.09451820051814515,0.41279554067408747
1960,-0.7604676228096007,0.29668311477773285,1.3713676457427664,-1.3345323788264303,2.2034100157872754,-0.7125169508844904,1.7832551429998622,0.5265927099898835,-0.1632948326796394,-1.3885906577256442,-0.4750712384555843,0.39971654860201156,0.1182707325404422,-0.004105225744338703,0.10313939765062949
1964,-5.4057439193562935,-0.7631049293966631,-0.17198016017570303,0.7243929485698375,3.5190955213235213,-1.2643542563285066,-2.1034981042799212,-1.6887099653450728,-0.6614003970414954,0.37888966613100894,-0.4148445001170526,0.1147713764256759,1.6133569232927327,3.700193944502069,-0.4080418251670659
1968,-3.178631424620106,0.08003673690238682,-0.7951928470512784,-1.0585338544079648,2.081668993774763,-0.6819185941388501,-0.07963331773023623,-0.8297155019176035,0.7516113216475119,-2.1556821906463877,-0.058607333767494635,0.3974012197155867,-0.5058134520819062,1.7001407956893242,1.1194288060882809
1972,-3.9737409833093627,-3.2061559918514897,-0.2518381293808748,0.4379735632253078,1.94544059225108,0.7334586227269877,2.2313984722627653,-1.3375541439742569,0.5562053892915074,1.2583693403505334,0.8817352598448421,1.0638520520324648,0.0737176135782598,-1.0143671400139065,0.04747501146868719
1976,-0.7718579627572025,-0.5171427651814127,-0.3154769726314759,-0.08696163709068327,-1.292734693582156,-2.4008554741350303,2.232095463961656,-0.4046541878486411,0.5745802303467776,-0.2549689472437484,0.9918809471675979,-0.12471679077987578,-1.76754260915034,1.9554053726951868,0.6036800290219703
1980,-2.779388466504891,1.10437755949362,-1.6018070334375825,-0.9799136491688287,-0.849125259250845,-2.1664145648263196,0.7782597528921631,-0.6928341400128235,0.3476494058777689,-0.37055327269735977,0.06693025428905665,-1.2832280435631933,-2.7619598710697972,0.4847950172204796,1.0375406096758908
1984,-3.136525005754903,-1.3392984203095148,-1.004717623747192,-0.3904318530917428,-0.8217492520970113,-0.42577924609316237,1.263418714324858,-0.9154556468443551,-0.3659953603386345,0.8065276161912186,-0.35196602856826503,-0.47736589809332847,-2.537822288886624,-2.126364188286094,0.37222725505200077
1988,-3.2448543057170247,-2.9042415932044756,-1.09238530134006,1.66000806171759,-0.2551072782695984,-0.2450242053851398,0.1439189646020821,-0.21291211661117238,-0.5503220116895143,1.542004352623023,-1.1867961126940245,0.5899344900669427,-1.743179721411344,-0.5390816562386812,-0.08552905618782755
1992,-2.2273023635384117,-0.27352033632727474,0.08573058199797949,0.9244942016685374,-0.3011006304641013,-0.05327872879257872,1.2932253030245742,-0.10676801492532481,-0.03791242505587298,0.82826189632697,-0.8167410925104098,0.7434139531807556,0.015977347148434726,0.632961448540481,-0.1214218709196845
1996,-3.620295329634376,-0.10352673967672331,-0.5836491530608223,-1.6110588378260446,-1.7356599327571158,0.3517005184471529,0.06098107764561045,-0.43016079773130117,-0.11810127523582542,-0.49373644137962414,-0.3129126066664533,0.03497516298660334,1.4727073658138106,1.069538691672188,-0.08534615291522522
2000,-4.4006562658231525,1.7054870094348902,0.2370101366477945,-1.5071296459487362,-2.8078789783140112,1.5859696915260633,-0.04802360782767648,0.1676345447304462,-0.23960942785088152,-0.6457773293826835,-0.38909751292000844,-1.5972728649733188,1.3673580584123377,0.13248159563255082,-0.4031837544590466
2004,-4.392740638508383,1.0096445174946074,-0.10426350390572334,-0.8969895313946402,-1.7818306053492516,2.5743908171063783,0.5199095425865579,-0.7705481994035123,0.20040945285645487,0.2168770162855649,-0.48561798353460106,-1.2032172718244591,1.660144777475537,-0.7837299593802063,-0.39235120231577714
2008,-4.22385689661935,0.468591184027074,0.8285266149383463,-0.16577288572052096,-2.120557657035136,2.9949390712107453,-2.772695344961426,-0.46402410058288446,0.5058792306993717,1.3212583344214512,0.24095531774525558,-1.1583161184959228,2.0330724352015257,-1.2734467352280272,-0.0017121432981926565
2012,-4.4847599612459,1.2720905309780177,0.3598902873498949,-0.652521915665239,-1.3644841803669279,3.9032325393686067,-2.6916597947055387,-0.46395429349983797,0.5930503123449156,0.7042041641135832,0.0821217217739975,-2.261025618812207,1.931592735420969,-1.0681669561130245,-0.21054159327245714
2016,-3.228681643640183,2.844058909159219,0.2097826637907717,-0.2516602362137072,-0.6539494932701075,5.709737243613453,-1.387285769609876,1.8141065418491673,-0.5883592460467771,0.2434924620460658,0.7386705885025978,-2.0567383355909095,1.5137988202879178,-1.2835061556154554,-0.04967116226224424
2020,-3.4904646311789205,3.1017193986762726,-0.127828302767815,0.6768544313579797,-0.21940070723855334,5.637634943101757,-1.0623083766776182,2.0241587650611828,-0.3415690219448789,0.5009412559346814,0.6817321635759083,-2.292474368778701,2.0099147809697917,-1.1461385886942332,0.013550059325276769
2024,-3.347449927724656,2.678288999266231,-0.36170124317630037,1.5348687277221102,0.2524390475437995,5.5049882045715455,-1.1205351377397383,1.3558331733357367,-0.12792628441897375,1.1306042090480652,0.49839450228895715,-2.137829782909858,1.7609078987994016,-1.6299508770392672,-0.1339663497856079
