year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
1916,-0.6580989461616101,6.427952662994556,-0.18753021965833985,0.4403061744535583,1.5233670195084743,2.5073277629377446,-0.6905078175034653,-0.7976334603068527,-0.9113057659127124,0.3872053710187794,-0.6893311166437653
1920,-9.387747416941869,1.5796151948155768,0.9984401574147581,0.17767265154534456,-4.06876795032287,0.6840943990270735,-0.5941255163786757,-1.4142489663148559,0.4292583567033949,1.1133821886522606,0.4975190901977825
1924,-9.572175101460909,2.6535375754053145,1.1234843164833765,-0.033105104695651706,-2.5151924062472006,-0.6984162146513092,0.07777584717636467,-0.6236546825152127,2.207376343089357,1.1180168693624253,-0.05768090109127366
1928,-6.230016013978156,-0.988618196697331,0.17577408381803347,0.19277005476734116,-0.10439790016322524,-2.7468215534215346,-0.3819801945708127,-0.32708682518561305,0.2445006196349494,1.7747474935069234,-2.313844416939615
1932,2.8716007621150546,8.947700993889313,0.23907420074587749,-0.30397882983579183,5.204666136841152,0.8936114241508383,0.5274904627117538,0.5887633621479894,0.8702479684826058,-1.3810075564927968,0.3864491168165108
1936,5.244154334914116,9.48871213426739,-0.468748185292458,0.008377282886457714,4.073131092719199,0.5264028003372914,0.349610166356017,0.5599740811406194,-0.8840141273091201,-1.4221553592581508,1.2278680258638144
1940,1.6469241514012452,6.949026506405676,-0.5059129564296032,0.04734795311678426,-0.4109234518185014,-0.4960412177020288,0.046352987163341075,-0.21681209479815677,-0.5018184259195053,-0.9109621718567941,0.5620930564614056
1944,0.8591317036915205,5.237827948100527,-0.4342547740329319,0.021943759720950435,-0.44735953398911954,-0.8224248684289901,-0.13383496112756615,-0.0276181877168832,-0.8725094722003233,-0.6240645635389005,0.14190138712629627
1948,0.2645161251137077,3.404928971971229,0.018291854942990866,0.3520076045993202,1.4226790086640901,0.8163454976034391,1.3093240136862199,0.7900611503525687,-0.7634618354627527,-2.2595408785339024,-0.039370412765250516
1952,-4.345417825110317,-1.087296784919554,0.27573732259262823,-0.13746462211901542,-2.617635445934263,-0.8231708667331681,0.22556788191902707,1.2899011594325536,-1.0237315507870675,-0.8745757849576326,-0.07918837741396192
1956,-5.66641143419471,-1.4248718252467683,0.4021149161236255,-0.48432333004851946,-0.3076137332505331,-0.2589894275279137,-0.2639985987994252,1.5037249488357587,-1.4067749414690476,-0.1991461299649808,0.9820781143760429
