year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
1916,-0.5953576249294604,6.442503590660034,0.08532256990612515,-0.1903004706288299,0.29848532236548553,0.10798427017021948,0.9281018924722374,2.753249686167762,0.18721024485514054,-0.5020367394397606,-0.13243338557802184,0.10138868981511946,-0.4645401268001984,1.404295259100019,0.4252042376031801,0.3539852649555337
1920,-9.92375410946822,1.0814108680341814,1.2271023285264093,-0.3653215778413259,-0.0038189083799050508,0.015335379523477225,-2.8508412756722468,0.6933810896411138,0.812791399999899,0.7143989001141058,-0.40216368917146755,0.5818351804102321,0.6562639096835592,0.5801542530612812,0.607386577366956,-0.0030535632565428703
1924,-9.994043527955279,2.2185680066191367,1.1780425933855012,-0.4315477018525481,-0.015739940567100676,-0.27467852210275584,-1.2172383235167892,-0.7478112600012423,0.16537567980864745,2.041134982364916,-0.07973106617051696,0.4465502518644793,-0.23852274587443695,0.2745676970585521,-0.17268516526326544,-0.5709437509624254
1928,-6.36876490984607,-1.2834883935033774,0.38856248555519673,-0.19506759762653306,-0.19947608450703466,-0.013019553728305105,0.9183872366899594,-2.2883019284732997,0.13683849831505832,-0.17567726309241907,0.054444971362844485,-0.037582900739731584,-2.132394662647457,1.5115124840403624,-0.48978118335598975,0.9712825787334314
1932,3.345736751613598,9.399963056946165,-0.403298647907813,0.11895211846850319,0.2020506932369503,-0.3701910884154993,4.230120455052429,0.7627244132454051,-0.4787251899070125,0.8250825340963253,0.20685953204004381,-0.23067403369776987,0.5135431577923585,-0.35350718046902746,-0.4372306768168153,-0.5159126844877153
1936,5.656820480480553,9.90273958448723,-0.612658206549693,0.12892111101459516,0.2965841124713557,-0.1778925760871894,2.4423703534457855,0.5507224088171948,-0.8020978072627339,-0.36973687619776,0.9335365525181095,-0.3058444194736111,0.7463975872968146,0.09526181708322487,0.8244062836308408,-0.06250973931987007
1940,1.5545655703161734,6.971500037357596,-0.009853650024274593,0.029230792620620654,0.03143423560971322,-0.07438983832493894,-1.181421002565961,-0.6096597516565242,0.41587862707182877,-0.1430439862547291,0.2623772709723375,-0.04205459708823402,0.4164550631992947,0.3245744562112889,0.009665148794039832,0.32523284632813404
1944,0.782389589421975,5.242922627358984,-0.05170949916321652,0.011819374226835459,-0.010935197965957029,-0.10111744918208414,-0.9934623977432279,-0.9127953363273197,0.22340216174775085,-0.7432492615775846,0.04179551101770358,0.14865493317628836,0.1541352883261132,0.4697179328450139,-0.11086608105757638,0.13053785070109156
1948,0.5573019470263898,3.8453588978162943,-0.7147674512193593,0.3774650501137328,-0.06036699292445904,0.4249806325746971,0.9300731197885753,0.5284772408490084,0.19210278834408362,-1.2925813403034865,0.32109901034823146,-0.20185309190245662,-0.20817777755315275,-1.862015055311717,-0.32335807407372413,-1.15134206593456
1952,-4.496672862708344,-1.138063568940436,0.005504238075935305,0.12984983543642015,-0.229691054966053,0.07132309004567436,-2.0572172599716656,-0.9878724862057597,-0.9116372917559733,-1.2686019721479682,-0.06290508186675071,-0.26055343594204444,-0.01200835935565247,-1.4086873360733265,0.162923470637273,0.023332711098266103
1956,-5.5425300553939545,-1.3689666828393778,-0.3080872120901899,0.07244937159105695,0.01952413452775869,-0.2982246411787768,0.31806129484301116,-0.30978278459761904,-1.1641990576029346,-1.6603940408673479,-0.1483645713999958,-0.21302653199637392,1.539769174634051,-0.929562483655657,-0.2701548892764212,0.5643604676290592
