year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
1916,-0.595259926519544,6.444092305760587,0.08373986526397882,-0.15352998185163427,0.2979110909418814,0.117073222460501,0.929249023717496,2.6653487869120775,0.47052725001837936,-0.5232105650077276,0.0031441773542370505,0.04514619408200937,-0.42940298063351734,0.6404071895826535,0.440570649132048,-1.350625128156011,0.39273516285466303,0.024435089479165242,-0.173804616470038,-0.1321471329216808,-0.2957954724018399
1920,-9.913092251151827,1.0866107355227648,1.2200807040495396,-0.3427802740960775,0.017112240391343868,0.02736902675664635,-2.8813886721611595,0.6608325189650005,0.7981453604380028,0.6881420156528636,-0.33861390493252536,0.5890625194646438,0.521234268087777,-0.20078886748462735,0.576770947517177,-0.6159392477135298,0.08766600058788504,0.018665577136385388,-0.3484843296711489,-0.09386641606972276,0.5554703130777382
1924,-9.986696873659897,2.224352914315158,1.182283229782507,-0.42724065599739997,0.011037731048774823,-0.2623088716925606,-1.253061046767878,-0.7234332477945121,0.16249678408764506,1.973284773058784,-0.1838287188421092,0.46190715980623875,-0.05606630619201662,-0.5742711321290644,-0.3626939911959086,-0.3015481349860033,0.3016941606697323,-0.11754993147220152,0.17630969395162036,-0.32938795197182097,-0.2644275546356031
1928,-6.3607796391091505,-1.2813398640754932,0.37354707071671844,-0.18199161527853727,-0.19045015455482822,-0.008487170883960199,0.8577750776252887,-2.235382730002408,0.012853174066140156,-0.2066183807599769,-0.1803480916650324,0.05302641293969697,-1.6477575179155823,1.0010926835322194,-0.42902894124240154,-1.3875622507653615,-0.35810899923449263,0.009075888144368395,1.1026051945843551,-1.169739917834264,-0.2396916036820963
1932,3.33532246011315,9.399177913468733,-0.38157822101600414,0.1423201175351703,0.18435997617316568,-0.36370657482396956,4.26248067032645,0.7868988232233455,-0.4556582241514464,0.8503656166086812,0.3737973461510356,-0.16954057256448363,0.33889371416148845,-0.39381887527720744,-0.42805184722003486,0.216502668857707,-0.08685907507737765,-0.21613203212997537,-0.17323687695663187,0.5424689224353993,-0.038871619453096314
1936,5.6457611116039725,9.890827879130416,-0.599318168192608,0.12168497114090306,0.29079992949188765,-0.2217101892028684,2.412836145110713,0.6530496566767735,-0.9552368625060615,-0.5044541395227475,0.6605322197033154,-0.2861725861686234,1.156766250282869,-0.03228951697473351,0.8085334025129796,0.03269788912411776,0.0860014783548171,-0.31752901127638844,0.30993515865706295,-0.49064927997968005,-0.2008543431191684
1940,1.553553940836094,6.972312736446823,0.00015015262273484163,0.020855181823754003,0.028432133311630525,-0.06483755892978754,-1.152427715397,-0.6415778476440844,0.39315559075742407,-0.17852066516972645,0.24451321973469073,-0.1392384850491769,0.40650803488460535,0.11743180004006577,0.07406239234327822,-0.2495003061555428,-0.06432067656915465,0.38165469099667265,0.010822748927665155,-0.056733761164010875,0.24135385891949762
1944,0.783442215935489,5.245098829434162,-0.052137840366911624,-0.0045670148236743,-0.0029610227493118363,-0.0987325012635612,-0.9452495522858902,-0.9778717151354039,0.32681833747381295,-0.7452169376330564,0.07467848314724067,0.05394588649296323,0.07550736406975354,0.19962794749214005,-0.23912653165496012,-0.3549859213684512,0.30083203830506544,0.22697389447648694,-0.24630588703709366,0.05633843833477325,0.13867411201079188
1948,0.5482100144638039,3.840861649321399,-0.6989942032173769,0.3544950924622001,-0.0911335108329285,0.43656910614105326,0.9392974173266311,0.547787478342732,-0.06887188376451409,-1.272673153540937,0.2638514269537733,-0.20182691789911653,-0.4214676629497951,-1.2513442413118723,-0.06678161789668922,1.709379402677937,-0.20359499688500102,-0.09889641139258044,0.2972225137351262,0.6863515173517474,-0.2092132124398806
1952,-4.487645442034637,-1.1379401668220528,-0.01970199382460617,0.1126138019273348,-0.23438440117707163,0.04766161673238154,-2.076710324799025,-0.9602612413627799,-0.9764391178609078,-1.1779142672319756,-0.053426718894553304,-0.0959749123325759,-0.17617013914675517,0.1939498113058348,0.07634986963764215,1.3639811705356617,-0.31556476317756316,-0.4168875658908411,-0.45436691989133277,0.24876410147832564,-0.19521835106415547
1956,-5.546433770703958,-1.3736441189299202,-0.2889930028249713,0.06890717785635225,0.02180695292263956,-0.31063267226486513,0.3211800670859872,-0.30079206000302716,-1.0456335014022122,-1.5519609918441453,-0.10026566911147353,-0.14818249649468368,1.2262102644839903,0.6853103714072287,-0.24425397931267875,0.9097101420467046,-0.3653316303584465,0.07462645033614973,-0.6721756495725475,0.8711805686634894,0.24379207185191235
1960,0.03345509863938035,-0.20349409924238218,-0.5450416729508887,0.12053477662377408,-0.13624478657789552,1.3236667427263558,-0.10410722303662678,-0.666679897037757,-0.5347587268030889,-0.47305251772831985,-0.09334381832684899,-1.5707016914395056,-0.7005291448344988,0.16334132934914491,0.3632144494096679,0.13305704799187734,0.5347303551778069,0.18136804416639887,-0.26088967488474435,-0.3656970534648547,0.15358435600659084
1964,9.109925516576203,2.0485427242330005,-0.9035256088124579,0.9501027262121093,-0.26995139308960364,5.930361924779745,1.8317965450767049,1.0715902422440728,0.8184488183923365,0.2556765318335878,0.28380269544511366,1.6584554896193124,-0.08105394523216275,-0.4370819406190194,0.4480764804264447,2.1191169702328287,-0.11675016117172343,0.07556587663733656,-0.0833130044841081,-0.37647909588779666,-0.30644532696954285
