year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
1916,-0.6614023818330956,6.418059380012786,-0.09034969425638949,0.40857728277535915,1.521942474614249,-0.7059646847792529,0.2987293855922769,-0.7772448105790724,-0.9140594701914432,0.8233556383055048,-2.499520534732448,0.32494723053473196
1920,-9.385857197660352,1.5969909773287352,0.9822068516215482,0.1748715677176202,-4.010294786162207,0.46204360991270443,1.2250693341392782,-1.4483676578242222,0.6094685168510834,0.3643009798656424,-0.6096949341822674,0.5616785644553436
1924,-9.564386790746221,2.6785421762440835,1.0985603942689421,-0.07094007959639745,-2.5032501049462885,0.07224786973950732,1.2228339818123193,-0.6555084831414859,2.0070460591649795,-0.21349549628598583,0.65775069975333,-0.8468605171122391
1928,-6.2301503757174235,-0.9837337891932642,0.26338359417064683,0.13782431187391805,-0.12615573849164022,-2.1675447875500007,1.737908784225514,-0.2996473085417453,0.010075456892706267,0.5889099508824748,2.6782415479774153,-1.0401508736171297
1932,2.8819245726115703,8.944540455583109,0.08433876725749517,-0.242138216102799,5.257092069454029,0.3694522539189292,-1.311592222270864,0.5417071429099233,0.8856261274532198,-0.7399203653291858,-0.870627190687072,0.023195738510813906
1936,5.248073911246874,9.474539794422956,-0.477380776671336,-0.009939765007588025,4.026643833082506,1.2161049722143766,-1.522798275000213,0.6176762557187565,-1.0536236330080846,-0.2461790455597175,-0.5744380381930884,0.024245704461598367
1940,1.6452487917439724,6.940873436061799,-0.46695800762937323,0.039962816127306976,-0.4346812458052307,0.5719403341469308,-1.0018695770292085,-0.18389128916992578,-0.5779659094354415,0.12534903206582634,0.4729083250068316,-0.024336321727753556
1944,0.8567492203084248,5.229802192698217,-0.3865705392625659,0.010869641332532064,-0.4670991477296018,0.13053969182954855,-0.7055239975454304,0.007011493913800657,-0.8914704252776328,0.2751719780376265,0.8124052648179153,0.10282670483900658
1948,0.2726849161581425,3.405991734024768,-0.048810608732659175,0.3180579254115162,1.3460469591353341,-0.07047246317491994,-2.258021965419295,0.7793359203554571,-0.9304140173405319,-1.3378653598962775,-0.8625992325651508,-0.22069426933175906
1952,-4.342939588020607,-1.0794105519399635,0.19843026256054502,-0.11534882057074232,-2.606701953031098,-0.22319675647687143,-0.7905754349391755,1.2549805747980818,-0.7521864276394998,-0.47211931962323817,0.8903298692725817,0.7207575027691117
1956,-5.662753277147784,-1.4195038773254371,0.2733225852268811,-0.42516523562479563,-0.2456764361909547,0.758339944766136,-0.06923236090951372,1.4807962914207473,-0.9487275858000341,-0.17929342167660278,0.3858855687983762,1.4578230245610517
