year,PC1,PC2,PC3,PC4
1916,6.994438666260523,-1.4031236742445778,-2.2809264635442554,4.377427767283542
1920,8.348269984675929,3.849407332945813,-5.026230298640146,2.597098657648769
1924,9.675502616372894,1.5691602743647397,-4.203830069512945,1.076687150576681
1928,2.9706834302879743,-1.10770080411308,-1.8103455559720487,-1.7104665940107215
1932,7.2294037794401,-5.7681381270323255,-0.20498822021495194,1.5901799825283154
1936,5.9618454060499335,-4.425371701334812,0.5169777435901591,0.5955254659526217
1940,5.700448332885054,0.38905715727926915,-1.1089155496071939,-1.4666403974867979
1944,4.233091705827469,0.07223935261442642,-0.9734582619400005,-2.2939364996886873
1948,2.820580201891942,-2.418473886894686,-2.5203282015650768,0.37203181793225165
1952,1.1947499130627832,1.019162929841909,-2.7519824071657615,-3.0787514633202533
1956,2.0001438671354177,-2.8593319703668363,-1.9980977315002486,-0.51675174654914
1960,-0.6638827584615473,-0.2486134045138544,-1.2267546871040724,-1.2929621683356036
1964,-5.925632258008771,0.45549473203539903,-2.612437124477936,3.278990021271792
1968,-3.5326879287424195,-0.2269259194072574,-2.020044653722249,-0.7663621018490692
1972,-4.228706175333337,-3.3148320955307105,0.20677345994575272,1.5078488534243366
1976,-0.9007574224979621,-1.4118937622449657,-2.8393371866256074,-1.4027381156556382
1980,-2.8926501033509027,0.030519545907629148,-2.252094515672193,-2.4302362280366205
1984,-3.110533212703012,-2.229960854319662,0.11267419588659801,-1.2838955699877557
1988,-3.239302290285162,-3.4062463213922016,0.12096837344149963,1.3404650793291573
1992,-2.2358515450444587,-0.7186316292684797,-0.30457687825043095,0.5191816456572005
1996,-3.771767146643216,0.8824190201545,0.2779922320851782,-1.3066199639334646
2000,-4.276344881858591,2.7493467251372263,2.200448106762805,-2.010072444335191
2004,-4.4664536115060685,1.9942207745094498,2.8378449483781747,-0.7342009844027132
2008,-4.0940866950149015,2.359142649082958,4.1226326546410546,0.8890054013033936
2012,-4.490357336108178,3.1719644260440223,4.728864703344415,0.49926775367689014
2016,-2.952082053734928,3.6116396826741326,6.4794542097085,-0.3908737382594747
2020,-3.209782892298254,3.9650947377737804,6.367503242813179,0.4757836911422851
2024,-3.138279592298306,3.420374810298189,6.162213934917799,1.5650147281238933
