year,PC1,PC2,PC3,PC4,PC5,PC6
1916,7.192846914744748,-0.7919572350355815,-0.07028965589249833,3.9776683367907197,2.9047171128159723,-1.2760054655984399
1920,8.280127273647196,3.8772471769080723,1.4803031193023042,3.363335521627513,0.04752880218355562,-4.893892579054365
1924,9.480860909538753,-0.14146151301977505,2.3667578923695105,0.8255194419223912,-1.7470880091564145,-5.453595225112639
1928,2.838770089369446,-3.154420848439604,2.1601009405476645,-3.621941102607281,0.2904457210280649,-2.852431042100778
1932,7.294602666097471,-5.951731070307003,-1.506843107273613,1.0273276356075502,0.10471523809818278,-0.6946226799863547
1936,6.126173409987076,-2.9367545548582052,-2.74916618786145,0.4148049476431318,1.9548331612920091,1.189472035263842
1940,5.7182016118261405,1.5269461477495707,-0.967210660690847,-1.538107320947716,1.5217604163462992,-0.5613438457123646
1944,4.237177560199022,1.2478792658691342,-1.2047029119878916,-2.437422390581168,1.6103992107292266,-0.4529358935303701
1948,2.866196841389898,-1.3330055660452589,-1.9185033192429024,0.7070942072313338,1.4914151208068787,-2.08371582029654
1952,1.111586497507348,2.774538263841944,-2.120549789855698,-2.022370935612595,0.7331778627554879,-2.2900123853408134
1956,2.0347872875998236,-0.7496191846177491,-3.6934709287215597,0.8304165266975737,0.7222806305354837,-1.4658007495249015
1960,-0.651026401897909,0.09446529925342725,-0.2286246399935447,-1.8170269767907992,1.81095672043192,-0.8164739986694827
1964,-5.763070705303102,-0.45856630083658395,2.54030736921285,1.6418475267205135,4.275003570632788,-1.5344780948360952
1968,-3.4793300285174573,0.3498485766672706,-0.30953740884552977,-1.2642529331883434,2.835077173667615,-1.2023902369647381
1972,-4.112940239374462,-2.958041819994754,-1.301293313778557,1.4923240330285097,1.12259197480531,0.586345555477087
1976,-0.994453281217386,-0.49359144812059413,-2.149828588349043,-0.26413317920262797,-0.43902182515348726,-2.9953583854495096
1980,-3.036465209866923,1.1305194912889847,-2.2235716550075404,-0.7807148627839113,-1.341474393572728,-2.489344716158727
1984,-3.1851821025014617,-1.292394738695343,-2.7903445760855066,0.2982169444329698,-2.0676479296349752,-0.3185849532021514
1988,-3.196612189086458,-3.057670402724509,-1.816109067509059,2.065223439308617,-0.6329361138739233,-0.005796202695232278
1992,-2.2144714961553356,-0.38524676561702725,-0.7099984524478385,0.9464486826422058,0.04229503985349627,-0.16201633980267546
1996,-3.842656914981109,0.22561135133160237,0.8378335336179115,-1.5703459033536447,-0.5188310863690164,-0.05618856976905899
2000,-4.410719472750484,1.7663093152113893,1.4329225616621057,-1.8892191774765816,-2.4581372421875383,1.4389097738229808
2004,-4.5192663720165,1.294428755600086,1.079494122036154,-0.5740693085508183,-1.95744252918678,2.3986049913384067
2008,-4.114626780637209,0.7340987021756471,2.513819135287945,0.5420809888615788,-2.42412517755776,3.462884901342535
2012,-4.5004820909450505,1.551553318980091,2.870706010669428,-0.04383161794570207,-2.1566127564441486,4.210002280649766
2016,-2.929407029525018,2.4026281820219935,2.605901769287749,-1.0773546556794495,-2.0061429316836845,6.170885207077246
2020,-3.1703442128984265,2.5312201055851045,3.1112725543704207,-0.2811637978851186,-1.9234913423122837,6.101923155381126
2024,-3.0602765342326235,2.1971674958276655,2.7606252551790345,1.049645930091149,-1.7942464188495506,6.045959283452239
