year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
1980,AL,636730,654192,16481,51007,"{""Ed Clark"": 13318, ""John Anderson"": 16481}",1341929
1980,AK,41842,86112,18479,30491,"{""Ed Clark"": 18479, ""John Anderson"": 11155}",158445
1980,AZ,246843,529688,76952,97414,"{""Ed Clark"": 18784, ""John Anderson"": 76952}",873945
1980,AR,398041,403164,22468,36377,"{""Ed Clark"": 8970, ""John Anderson"": 22468}",837582
1980,CA,3083661,4524858,739833,978544,"{""Ed Clark"": 148434, ""John Anderson"": 739833}",8587063
1980,CO,367973,652264,130633,164178,"{""Ed Clark"": 25744, ""John Anderson"": 130633}",1184415
1980,CT,541732,677210,171807,187343,"{""Ed Clark"": 8570, ""John Anderson"": 171807}",1406285
1980,DE,105754,111252,16288,18662,"{""Ed Clark"": 1974, ""John Anderson"": 16288}",235668
1980,DC,130231,23313,16131,20345,"{""Ed Clark"": 1104, ""John Anderson"": 16131}",173889
1980,FL,1419475,2046951,189692,220600,"{""Ed Clark"": 30524, ""John Anderson"": 189692}",3687026
1980,GA,890733,654168,36055,52566,"{""Ed Clark"": 15627, ""John Anderson"": 36055}",1597467
1980,HI,135879,130112,32021,37296,"{""Ed Clark"": 3269, ""John Anderson"": 32021}",303287
1980,ID,110192,290699,27058,36540,"{""Ed Clark"": 8425, ""John Anderson"": 27058}",437431
1980,IL,1981413,2358049,346754,410259,"{""Ed Clark"": 38939, ""John Anderson"": 346754}",4749721
1980,IN,844197,1255656,111639,142180,"{""Ed Clark"": 19627, ""John Anderson"": 111639}",2242033
1980,IA,508672,676026,115633,132963,"{""Ed Clark"": 13123, ""John Anderson"": 115633}",1317661
1980,KS,326150,566812,68231,86833,"{""Ed Clark"": 14470, ""John Anderson"": 68231}",979795
1980,KY,616417,635274,31127,42936,"{""Ed Clark"": 5531, ""John Anderson"": 31127}",1294627
1980,LA,708453,792853,26345,47285,"{""Ed Clark"": 8240, ""John Anderson"": 26345}",1548591
1980,ME-AL,220974,238522,53327,63515,"{""Ed Clark"": 5119, ""John Anderson"": 53327}",523011
1980,ME-01,117613,126274,30889,30889,"{""John Anderson"": 30889}",274776
1980,ME-02,103361,112248,22438,22438,"{""John Anderson"": 22438}",238047
1980,MD,726161,680606,119537,133729,"{""Ed Clark"": 14192, ""John Anderson"": 119537}",1540496
1980,MA,1053802,1057631,382539,412865,"{""Ed Clark"": 22038, ""John Anderson"": 382539}",2524298
1980,MI,1661532,1915225,275223,332968,"{""Ed Clark"": 41597, ""John Anderson"": 275223}",3909725
1980,MN,954174,873241,174990,224538,"{""Ed Clark"": 31592, ""John Anderson"": 174990}",2051953
1980,MS,429281,441089,12036,22250,"{""Ed Clark"": 5465, ""John Anderson"": 12036}",892620
1980,MO,931182,1074181,77920,94461,"{""Ed Clark"": 14422, ""John Anderson"": 77920}",2099824
1980,MT,118032,206814,29281,39106,"{""Ed Clark"": 9825, ""John Anderson"": 29281}",363952
1980,NE-AL,166851,419937,44993,54066,"{""Ed Clark"": 9073, ""John Anderson"": 44993}",640854
1980,NV,66666,155017,17651,26202,"{""Ed Clark"": 4358, ""John Anderson"": 17651}",247885
1980,NH,108864,221705,49693,53430,"{""Ed Clark"": 2067, ""John Anderson"": 49693}",383999
1980,NJ,1147364,1546557,234632,281763,"{""Ed Clark"": 20652, ""John Anderson"": 234632}",2975684
1980,NM,167826,250779,29459,37632,"{""Ed Clark"": 4365, ""John Anderson"": 29459}",456237
1980,NY,2728372,2893831,467801,579756,"{""Ed Clark"": 52648, ""John Anderson"": 467801}",6201959
1980,NC,875635,915018,52800,65180,"{""Ed Clark"": 9677, ""John Anderson"": 52800}",1855833
1980,ND,79189,193695,23640,28661,"{""Ed Clark"": 3743, ""John Anderson"": 23640}",301545
1980,OH,1752414,2206545,254472,324644,"{""Ed Clark"": 49033, ""John Anderson"": 254472}",4283603
1980,OK,402026,695570,38284,52112,"{""Ed Clark"": 13828, ""John Anderson"": 38284}",1149708
1980,OR,456890,571044,112389,153582,"{""Ed Clark"": 25838, ""John Anderson"": 112389}",1181516
1980,PA,1937540,2261872,292921,362089,"{""Ed Clark"": 33263, ""John Anderson"": 292921}",4561501
1980,RI,198342,154793,59819,62937,"{""Ed Clark"": 2458, ""John Anderson"": 59819}",416072
1980,SC,427560,441207,14150,21316,"{""Ed Clark"": 4975, ""John Anderson"": 14150}",890083
1980,SD,103855,198343,21431,25505,"{""Ed Clark"": 3824, ""John Anderson"": 21431}",327703
1980,TN,783051,787761,35991,46804,"{""Ed Clark"": 7116, ""John Anderson"": 35991}",1617616
1980,TX,1881147,2510705,111613,149785,"{""Ed Clark"": 37643, ""John Anderson"": 111613}",4541637
1980,UT,124266,439687,30284,40269,"{""Ed Clark"": 7226, ""John Anderson"": 30284}",604222
1980,VT,81891,94598,31760,36718,"{""Ed Clark"": 1900, ""John Anderson"": 31760}",213207
1980,VA,752174,989609,95418,124249,"{""Ed Clark"": 12821, ""John Anderson"": 95418}",1866032
1980,WA,650193,865244,185073,226957,"{""Ed Clark"": 29213, ""John Anderson"": 185073}",1742394
1980,WV,367462,334206,31691,36047,"{""Ed Clark"": 4356, ""John Anderson"": 31691}",737715
1980,WI,981584,1088845,160657,202792,"{""Ed Clark"": 29135, ""John Anderson"": 160657}",2273221
1980,WY,49427,110700,12072,16586,"{""Ed Clark"": 4514, ""John Anderson"": 12072}",176713
1980,NATIONAL,35480115,43903230,5719850,7126333,"{""Ed Clark"": 921128, ""John Anderson"": 5719850}",86509678
