year,abbr,D_votes,R_votes,T_votes,total_votes
2008,AL,813479,1266546,19794,2099819
2008,AK,123594,193841,8762,326197
2008,AZ,1034707,1230111,28657,2293475
2008,AR,422310,638017,26290,1086617
2008,CA,8274473,5011781,275646,13561900
2008,CO,1288633,1073629,39200,2401462
2008,CT,997772,629428,19597,1646797
2008,DE,255459,152374,4579,412412
2008,DC,245800,17367,2686,265853
2008,FL,4282074,4045624,63046,8390744
2008,GA,1844123,2048759,31604,3924486
2008,HI,325871,120566,7131,453568
2008,ID,236440,403012,15670,655122
2008,IL,3419348,2031179,71844,5522371
2008,IN,1374039,1345648,31367,2751054
2008,IA,828940,682379,25804,1537123
2008,KS,514765,699655,21452,1235872
2008,KY,751985,1048462,26173,1826620
2008,LA,782989,1148275,29497,1960761
2008,ME-AL,421923,295273,13967,731163
2008,ME-01,232145,144604,6877,383626
2008,ME-02,189778,150669,7090,347537
2008,MD,1629467,959862,42267,2631596
2008,MA,1904097,1108854,68034,3080985
2008,MI,2872579,2048639,80548,5001766
2008,MN,1573354,1275409,61606,2910369
2008,MS,554662,724597,10606,1289865
2008,MO,1441911,1445814,37480,2925205
2008,MT,231667,242763,15872,490302
2008,NE-AL,333319,452979,14983,801281
2008,NE-01,121411,148179,4303,273893
2008,NE-02,138809,135439,3561,277809
2008,NE-03,73099,169361,4282,246742
2008,NV,533736,412827,21285,967848
2008,NH,384826,316534,9610,710970
2008,NJ,2215422,1613207,39608,3868237
2008,NM,472422,346832,10904,830158
2008,NY,4804945,2752771,83215,7640931
2008,NC,2142651,2128474,39664,4310789
2008,ND,141278,168601,6742,316621
2008,OH,2940044,2677820,90486,5708350
2008,OK,502496,960165,0,1462661
2008,OR,1037291,738475,52098,1827864
2008,PA,3276363,2655885,81024,6013272
2008,RI,296571,165391,9804,471766
2008,SC,862449,1034896,23624,1920969
2008,SD,170924,203054,7997,381975
2008,TN,1087437,1479178,33134,2599749
2008,TX,3528633,4479328,69834,8077795
2008,UT,327670,596030,28670,952370
2008,VT,219262,98974,6810,325046
2008,VA,1959532,1725005,38723,3723260
2008,WA,1750848,1229216,56814,3036878
2008,WV,303857,397466,12128,713451
2008,WI,1677211,1262393,43813,2983417
2008,WY,82868,164958,6832,254658
2008,NATIONAL,69498516,59948323,1866981,131313820
