year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1956,AL,280844,195694,20323,20333,"{""Unpledged Electors"": 20323}",496871,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,AZ,112880,176990,303,303,"{""Unpledged Electors"": 303}",290173,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,AR,213277,186287,7008,7008,"{""Unpledged Electors"": 7008}",406572,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,CA,2420135,3027668,6087,18552,"{""Eric Hass"": 300, ""Unpledged Electors"": 6087}",5466355,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,CO,263997,394479,3308,4598,"{""Eric Hass"": 3308, ""Unpledged Electors"": 759}",663074,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,CT,405079,711837,0,205,"{""Other"": 205}",1117121,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,DE,79421,98057,110,510,"{""Eric Hass"": 110}",177988,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,FL,480371,643849,0,0,{},1124220,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,GA,441094,216652,0,5734,"{""Other"": 5734}",663480,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,ID,105868,166979,0,142,"{""Other"": 142}",272989,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,IL,1775682,2623327,8342,8398,"{""Eric Hass"": 8342}",4407407,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,IN,783908,1182811,1334,7888,"{""Eric Hass"": 1334}",1974607,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,IA,501858,729187,3202,3519,"{""Eric Hass"": 125, ""Unpledged Electors"": 3202}",1234564,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,KS,296317,566878,0,3048,"{""Other"": 3048}",866243,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,KY,476453,572192,358,5160,"{""Eric Hass"": 358}",1053805,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,LA,243977,329047,44520,44520,"{""Unpledged Electors"": 44520}",617544,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,ME-AL,102468,249238,0,0,{},351706,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,MD,372613,559738,0,0,{},932351,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,MA,948190,1393197,5573,7119,"{""Eric Hass"": 5573}",2348506,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,MI,1359898,1713647,0,6923,"{""Other"": 6923}",3080468,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,MN,617525,719302,2080,3178,"{""Eric Hass"": 2080}",1340005,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,MS,144498,60685,42966,42966,"{""Unpledged Electors"": 42966}",248149,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,MO,918273,914289,0,0,{},1832562,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,MT,116238,154933,0,0,{},271171,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,NE-AL,199029,378108,0,0,{},577137,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,NV,40640,56049,0,0,{},96689,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
1956,NH,90364,176519,111,111,"{""Unpledged Electors"": 111}",266994,https://en.wikipedia.org/wiki/1956_United_States_presidential_election
