year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
2020,AL,849624,1441170,25176,32488,"{""Jorgensen/Cohen"": 25176, ""Others"": 7312}",2323282
2020,AK,153778,189951,8897,15801,"{""Jorgensen/Cohen"": 8897, ""Others"": 6904}",359530
2020,AZ,1672143,1661686,51465,53497,"{""Hawkins/Walker"": 1557, ""Jorgensen/Cohen"": 51465, ""Others"": 475}",3387326
2020,AR,423932,760647,13133,34490,"{""Hawkins/Walker"": 2980, ""Jorgensen/Cohen"": 13133, ""Others"": 18377}",1219069
2020,CA,11110639,6006518,187910,384223,"{""Hawkins/Walker"": 81032, ""Jorgensen/Cohen"": 187910, ""Others"": 115281}",17501380
2020,CO,1804352,1364607,52460,88021,"{""Hawkins/Walker"": 8986, ""Jorgensen/Cohen"": 52460, ""Others"": 26575}",3256980
2020,CT,1080831,714717,20230,28309,"{""Hawkins/Walker"": 7538, ""Jorgensen/Cohen"": 20230, ""Others"": 541}",1823857
2020,DE,296268,200603,5000,7475,"{""Hawkins/Walker"": 2139, ""Jorgensen/Cohen"": 5000, ""Others"": 336}",504346
2020,DC,317323,18586,2036,8447,"{""Hawkins/Walker"": 1726, ""Jorgensen/Cohen"": 2036, ""Others"": 4685}",344356
2020,FL,5297045,5668731,70324,101680,"{""Hawkins/Walker"": 14721, ""Jorgensen/Cohen"": 70324, ""Others"": 16635}",11067456
2020,GA,2473633,2461854,62229,64473,"{""Hawkins/Walker"": 1013, ""Jorgensen/Cohen"": 62229, ""Others"": 1231}",4999960
2020,HI,366130,196864,5539,11475,"{""Hawkins/Walker"": 3822, ""Jorgensen/Cohen"": 5539, ""Others"": 2114}",574469
2020,ID,287021,554119,16404,26794,"{""Hawkins/Walker"": 407, ""Jorgensen/Cohen"": 16404, ""Others"": 9983}",867934
2020,IL,3471915,2446891,66544,114938,"{""Hawkins/Walker"": 30494, ""Jorgensen/Cohen"": 66544, ""Others"": 17900}",6033744
2020,IN,1242498,1729857,58901,60855,"{""Hawkins/Walker"": 989, ""Jorgensen/Cohen"": 58901, ""Others"": 965}",3033210
2020,IA,759061,897672,19637,34138,"{""Hawkins/Walker"": 3075, ""Jorgensen/Cohen"": 19637, ""Others"": 11426}",1690871
2020,KS,570323,771406,30574,32257,"{""Hawkins/Walker"": 669, ""Jorgensen/Cohen"": 30574, ""Others"": 1014}",1373986
2020,KY,772474,1326646,26234,37648,"{""Hawkins/Walker"": 716, ""Jorgensen/Cohen"": 26234, ""Others"": 10698}",2136768
2020,LA,856034,1255776,21645,36252,"{""Jorgensen/Cohen"": 21645, ""Others"": 14607}",2148062
2020,ME-AL,435072,360737,14152,23652,"{""Hawkins/Walker"": 8230, ""Jorgensen/Cohen"": 14152, ""Others"": 1270}",819461
2020,ME-01,266376,164045,7343,12691,"{""Hawkins/Walker"": 4654, ""Jorgensen/Cohen"": 7343, ""Others"": 694}",443112
2020,ME-02,168696,196692,6809,10961,"{""Hawkins/Walker"": 3576, ""Jorgensen/Cohen"": 6809, ""Others"": 576}",376349
2020,MD,1985023,976414,33488,75593,"{""Hawkins/Walker"": 15799, ""Jorgensen/Cohen"": 33488, ""Others"": 26306}",3037030
2020,MA,2382202,1167202,47013,81998,"{""Hawkins/Walker"": 18658, ""Jorgensen/Cohen"": 47013, ""Others"": 16327}",3631402
