year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1948,AL,171443,40930,171443,174050,"{""Henry Wallace"": 1522, ""Other"": 1085, ""Strom Thurmond"": 171443}",214980,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,AZ,95251,77597,3310,4217,"{""Henry Wallace"": 3310, ""Other"": 907}",177065,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,AR,149659,50959,40068,41857,"{""Henry Wallace"": 751, ""Norman Thomas"": 1037, ""Other"": 1, ""Strom Thurmond"": 40068}",242475,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,CA,1913134,1895269,190381,213135,"{""Henry Wallace"": 190381, ""Norman Thomas"": 3459, ""Other"": 18067, ""Strom Thurmond"": 1228}",4021538,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,CO,267288,239714,6115,8235,"{""Henry Wallace"": 6115, ""Norman Thomas"": 1678, ""Other"": 442}",515237,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,CT,423297,437754,13713,22467,"{""Henry Wallace"": 13713, ""Norman Thomas"": 6964, ""Other"": 1790}",883518,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,DE,67813,69588,1050,1672,"{""Henry Wallace"": 1050, ""Norman Thomas"": 250, ""Other"": 372}",139073,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,FL,281988,194280,89755,101375,"{""Henry Wallace"": 11620, ""Strom Thurmond"": 89755}",577643,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,GA,254646,76691,85135,87427,"{""Henry Wallace"": 1636, ""Norman Thomas"": 3, ""Other"": 733, ""Strom Thurmond"": 85135}",418764,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,ID,107370,101514,4972,5932,"{""Henry Wallace"": 4972, ""Norman Thomas"": 332, ""Other"": 628}",214816,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
1948,IL,1994715,1961103,11522,28228,"{""Norman Thomas"": 11522, ""Other"": 16706}",3984046,https://en.wikipedia.org/wiki/1948_United_States_presidential_election
