year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1984,AL,551899,872849,9504,16965,"{""David Bergland"": 9504}",1441713,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,AK,62007,138377,6378,7221,"{""David Bergland"": 6378}",207605,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,AZ,333854,681416,10585,10627,"{""David Bergland"": 10585}",1025897,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,AR,338646,534774,2221,10986,"{""David Bergland"": 2221}",884406,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,CA,3922519,5467009,49951,115895,"{""David Bergland"": 49951}",9505423,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,CO,454974,821818,11257,18589,"{""David Bergland"": 11257}",1295381,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,CT,569597,890877,0,6426,"{""Other"": 6426}",1466900,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,DE,101656,152190,268,726,"{""David Bergland"": 268}",254572,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,DC,180408,29009,279,1871,"{""David Bergland"": 279}",211288,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,FL,1448816,2730350,754,885,"{""David Bergland"": 754}",4180051,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,GA,706628,1068722,151,743,"{""David Bergland"": 151}",1776093,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,HI,147154,185050,2167,3642,"{""David Bergland"": 2167}",335846,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,ID,108510,297523,2823,5111,"{""David Bergland"": 2823}",411144,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,IL,2086499,2707103,10086,25486,"{""David Bergland"": 10086}",4819088,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,IN,841481,1377230,6741,14358,"{""David Bergland"": 6741}",2233069,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,IA,605620,703088,1844,11097,"{""David Bergland"": 1844}",1319805,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,KS,333149,677296,3329,11546,"{""David Bergland"": 3329}",1021991,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,KY,539589,822782,0,8090,"{""Other"": 8090}",1370461,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,LA,651586,1037299,1876,17937,"{""David Bergland"": 1876}",1706822,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
1984,ME-AL,214515,336500,0,2129,"{""Other"": 2129}",553144,https://en.wikipedia.org/wiki/1984_United_States_presidential_election
