year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
1892,AL,138135,9184,84984,85224,"{""James Weaver"": 84984, ""John Bidwell"": 240}",232543
1892,AR,87834,47072,11831,13211,"{""James Weaver"": 11831, ""John Bidwell"": 113}",148117
1892,CA,118174,118027,25311,33408,"{""James Weaver"": 25311, ""John Bidwell"": 8096}",269609
1892,CO,0,38620,53584,55271,"{""James Weaver"": 53584, ""John Bidwell"": 1687}",93891
1892,CT,82395,77032,4026,5168,"{""James Weaver"": 809, ""John Bidwell"": 4026, ""Simon Wing"": 333}",164595
1892,DE,18581,18077,564,577,"{""John Bidwell"": 564}",37235
1892,FL,30153,0,4843,5318,"{""James Weaver"": 4843, ""John Bidwell"": 475}",35471
1892,GA,129446,48408,41939,45272,"{""James Weaver"": 41939, ""John Bidwell"": 988}",223126
1892,ID,0,8599,10520,10808,"{""James Weaver"": 10520, ""John Bidwell"": 288}",19407
1892,IL,426281,399288,25871,48078,"{""James Weaver"": 22207, ""John Bidwell"": 25871}",873647
1892,IN,262740,255615,22208,35258,"{""James Weaver"": 22208, ""John Bidwell"": 13050}",553613
1892,IA,196367,219795,20595,26997,"{""James Weaver"": 20595, ""John Bidwell"": 6402}",443159
1892,KS,0,157241,163111,167664,"{""James Weaver"": 163111, ""John Bidwell"": 4553}",324905
1892,KY,175461,135462,23500,29941,"{""James Weaver"": 23500, ""John Bidwell"": 6441}",340864
1892,LA,87926,26963,0,0,{},114889
1892,ME-AL,48049,62936,3066,5466,"{""James Weaver"": 2396, ""John Bidwell"": 3066}",116451
1892,MD,113866,92736,5877,6673,"{""James Weaver"": 796, ""John Bidwell"": 5877}",213275
1892,MA,176813,202814,7539,11401,"{""James Weaver"": 3210, ""John Bidwell"": 7539, ""Simon Wing"": 649}",391028
1892,MI,201624,222708,20857,41713,"{""James Weaver"": 19931, ""John Bidwell"": 20857}",466045
1892,MN,100920,122823,29313,43495,"{""James Weaver"": 29313, ""John Bidwell"": 14182}",267238
1892,MS,40030,1398,10118,11091,"{""James Weaver"": 10118, ""John Bidwell"": 973}",52519
1892,MO,268400,227646,41204,45537,"{""James Weaver"": 41204, ""John Bidwell"": 4333}",541583
1892,MT,17690,18871,7338,7900,"{""James Weaver"": 7338, ""John Bidwell"": 562}",44461
1892,NE-AL,24943,87213,83134,88036,"{""James Weaver"": 83134, ""John Bidwell"": 4902}",200192
1892,NV,714,2811,7264,7353,"{""James Weaver"": 7264, ""John Bidwell"": 89}",10878
1892,NH,42081,45658,1297,1590,"{""James Weaver"": 293, ""John Bidwell"": 1297}",89329
1892,NJ,171066,156101,8134,10456,"{""James Weaver"": 985, ""John Bidwell"": 8134, ""Simon Wing"": 1337}",337623
1892,NY,654868,609350,38190,72575,"{""James Weaver"": 16429, ""John Bidwell"": 38190, ""Simon Wing"": 17956}",1336793
1892,NC,132951,100346,44336,46973,"{""James Weaver"": 44336, ""John Bidwell"": 2637}",280270
1892,ND,0,17519,17700,18599,"{""James Weaver"": 17700, ""John Bidwell"": 899}",36118
1892,OH,404115,405187,26012,40862,"{""James Weaver"": 14850, ""John Bidwell"": 26012}",850164
1892,OR,14243,35002,26965,29246,"{""James Weaver"": 26965, ""John Bidwell"": 2281}",78491
1892,PA,452264,516011,25123,34735,"{""James Weaver"": 8714, ""John Bidwell"": 25123, ""Simon Wing"": 898}",1003010
1892,RI,24336,26975,1654,1885,"{""James Weaver"": 228, ""John Bidwell"": 1654}",53196
1892,SC,54680,13345,2407,2479,"{""James Weaver"": 2407}",70504
1892,SD,9081,34888,26544,26544,"{""James Weaver"": 26544}",70513
1892,TN,136468,100537,23918,28727,"{""James Weaver"": 23918, ""John Bidwell"": 4809}",265732
1892,TX,239148,81144,99688,101853,"{""James Weaver"": 99688, ""John Bidwell"": 2165}",422145
1892,VT,16325,37992,1424,1479,"{""James Weaver"": 44, ""John Bidwell"": 1424}",55796
1892,VA,164136,113098,12275,15004,"{""James Weaver"": 12275, ""John Bidwell"": 2729}",292238
1892,WA,29802,36460,19165,21707,"{""James Weaver"": 19165, ""John Bidwell"": 2542}",87969
1892,WV,84467,80292,4167,6320,"{""James Weaver"": 4167, ""John Bidwell"": 2153}",171079
1892,WI,177325,171101,13136,23155,"{""James Weaver"": 10019, ""John Bidwell"": 13136}",371581
1892,WY,0,8454,7722,8281,"{""James Weaver"": 7722, ""John Bidwell"": 530}",16735
1892,NATIONAL,5553898,5190799,1026595,1323330,"{""James Weaver"": 1026595, ""John Bidwell"": 270889, ""Simon Wing"": 21173}",12068027
