year,abbr,D_votes,R_votes,T_votes,total_votes
1920,AL,159965,74556,3117,237638
1920,AZ,29546,37016,0,66562
1920,AR,107409,71117,5111,183637
1920,CA,229191,624992,89867,944050
1920,CO,104936,173248,13869,292053
1920,CT,120721,229238,15559,365518
1920,DE,39911,52858,2106,94875
1920,FL,90515,44853,10313,145681
1920,GA,107162,41089,0,148251
1920,ID,46579,88975,70,135624
1920,IL,534395,1420480,139839,2094714
1920,IN,511364,696370,55230,1262964
1920,IA,227921,634674,32487,895082
1920,KS,185464,369268,15586,570318
1920,KY,456497,452480,9731,918708
1920,LA,87519,38538,339,126396
1920,ME-AL,58961,136355,2524,197840
1920,MD,180626,236117,11700,428443
1920,MA,276691,681153,35874,993718
1920,MI,233450,762865,52096,1048411
1920,MN,142994,519421,73423,735838
1920,MS,69277,11576,1639,82492
1920,MO,574799,727162,30839,1332800
1920,MT,57372,109430,12204,179006
1920,NE-AL,119608,247498,15637,382743
1920,NV,9851,15479,1864,27194
1920,NH,62662,95196,1234,159092
1920,NJ,256887,611541,35515,903943
1920,NM,46668,57634,1104,105406
1920,NY,781238,1871167,246108,2898513
1920,NC,305447,232848,446,538741
1920,ND,37422,160072,8282,205776
1920,OH,780037,1182022,59594,2021653
1920,OK,217053,243831,25726,486610
1920,OR,80019,143592,14911,238522
1920,PA,503843,1218216,130557,1852616
1920,RI,55062,107463,5456,167981
1920,SC,64170,2610,28,66808
1920,SD,35938,110692,35607,182237
1920,TN,206558,219829,2239,428626
1920,TX,288767,114538,83336,486641
1920,UT,56639,81555,7634,145828
1920,VT,20919,68212,830,89961
1920,VA,141670,87456,1907,231033
1920,WA,84298,223137,91280,398715
1920,WV,220789,282007,7146,509942
1920,WI,113422,498576,89282,701280
1920,WY,17429,35091,2180,54700
1920,NATIONAL,9139661,16144093,1481426,26765180
