year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
2016,AL,729547,1318255,44467,75570,"{""Johnson/Weld"": 44467, ""Others"": 21712, ""Stein/Baraka"": 9391}",2123372
2016,AK,116454,163387,18725,38767,"{""Johnson/Weld"": 18725, ""Others"": 14307, ""Stein/Baraka"": 5735}",318608
2016,AZ,1161167,1252401,106327,159597,"{""Johnson/Weld"": 106327, ""McMullin/Finn"": 17449, ""Others"": 1476, ""Stein/Baraka"": 34345}",2573165
2016,AR,380494,684872,29949,65310,"{""Johnson/Weld"": 29949, ""McMullin/Finn"": 13176, ""Others"": 12712, ""Stein/Baraka"": 9473}",1130676
2016,CA,8753788,4483810,478500,943997,"{""Johnson/Weld"": 478500, ""McMullin/Finn"": 39596, ""Others"": 147244, ""Stein/Baraka"": 278657}",14181595
2016,CO,1338870,1202484,144121,238893,"{""Johnson/Weld"": 144121, ""McMullin/Finn"": 28917, ""Others"": 27418, ""Stein/Baraka"": 38437}",2780247
2016,CT,897572,673215,48676,74133,"{""Johnson/Weld"": 48676, ""McMullin/Finn"": 2108, ""Others"": 508, ""Stein/Baraka"": 22841}",1644920
2016,DE,235603,185127,14757,23084,"{""Johnson/Weld"": 14757, ""McMullin/Finn"": 706, ""Others"": 1518, ""Stein/Baraka"": 6103}",443814
2016,DC,282830,12723,4906,15715,"{""Johnson/Weld"": 4906, ""Others"": 6551, ""Stein/Baraka"": 4258}",311268
2016,FL,4504975,4617886,207043,297178,"{""Johnson/Weld"": 207043, ""Others"": 25736, ""Stein/Baraka"": 64399}",9420039
2016,GA,1877963,2089104,125306,147665,"{""Johnson/Weld"": 125306, ""McMullin/Finn"": 13017, ""Others"": 1668, ""Stein/Baraka"": 7674}",4114732
2016,HI,266891,128847,15954,33199,"{""Johnson/Weld"": 15954, ""Others"": 4508, ""Stein/Baraka"": 12737}",428937
2016,ID,189765,409055,46476,91435,"{""Johnson/Weld"": 28331, ""McMullin/Finn"": 46476, ""Others"": 8132, ""Stein/Baraka"": 8496}",690255
2016,IL,3090729,2146015,209596,299680,"{""Johnson/Weld"": 209596, ""McMullin/Finn"": 11655, ""Others"": 1627, ""Stein/Baraka"": 76802}",5536424
2016,IN,1033126,1557286,133993,144546,"{""Johnson/Weld"": 133993, ""Others"": 2712, ""Stein/Baraka"": 7841}",2734958
