year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
1908,AL,74391,25561,2073,5200,"{""Eugene Chafin"": 690, ""Eugene V. Debs"": 1450, ""Thomas"": 2073}",105152
1908,AR,87015,56624,5842,8183,"{""Eugene Chafin"": 1026, ""Eugene V. Debs"": 5842, ""Thomas"": 1315}",151822
1908,CA,127492,214398,28659,44707,"{""Eugene Chafin"": 11770, ""Eugene V. Debs"": 28659, ""Thomas"": 4278}",386597
1908,CO,126644,123693,7960,13521,"{""Eugene Chafin"": 5559, ""Eugene V. Debs"": 7960}",263858
1908,CT,68255,112915,5113,8833,"{""August Gillhaus"": 608, ""Eugene Chafin"": 2380, ""Eugene V. Debs"": 5113, ""Thomas"": 728}",190003
1908,DE,22055,25014,670,938,"{""Eugene Chafin"": 670, ""Eugene V. Debs"": 239, ""Thomas"": 29}",48007
1908,FL,31104,10654,3747,7602,"{""Eugene Chafin"": 1356, ""Eugene V. Debs"": 3747, ""Thomas"": 2499}",49360
1908,GA,72350,41355,16763,18799,"{""Eugene Chafin"": 1452, ""Eugene V. Debs"": 584, ""Thomas"": 16763}",132504
1908,ID,36162,52621,6400,8510,"{""Eugene Chafin"": 1986, ""Eugene V. Debs"": 6400, ""Thomas"": 124}",97293
1908,IL,450810,629932,34711,74512,"{""August Gillhaus"": 1680, ""Eugene Chafin"": 29364, ""Eugene V. Debs"": 34711, ""Thomas"": 8357}",1155254
1908,IN,338262,348993,18045,33871,"{""August Gillhaus"": 643, ""Eugene Chafin"": 18045, ""Eugene V. Debs"": 13476, ""Thomas"": 1707}",721126
1908,IA,200771,275209,9837,18789,"{""Eugene Chafin"": 9837, ""Eugene V. Debs"": 8287, ""Thomas"": 665}",494769
1908,KS,161209,197216,12420,17521,"{""Eugene Chafin"": 5033, ""Eugene V. Debs"": 12420, ""Thomas"": 68}",375946
1908,KY,244092,235711,5885,10916,"{""August Gillhaus"": 405, ""Eugene Chafin"": 5885, ""Eugene V. Debs"": 4093, ""Thomas"": 533}",490719
1908,LA,63568,8958,2514,2591,"{""Eugene V. Debs"": 2514, ""Thomas"": 77}",75117
1908,ME-AL,35403,66987,1758,3946,"{""Eugene Chafin"": 1487, ""Eugene V. Debs"": 1758, ""Thomas"": 701}",106336
1908,MD,115908,116513,3302,6110,"{""Eugene Chafin"": 3302, ""Eugene V. Debs"": 2323, ""Thomas"": 485}",238531
1908,MA,155543,265966,19237,35410,"{""August Gillhaus"": 1011, ""Eugene Chafin"": 4374, ""Eugene V. Debs"": 10779, ""Thomas"": 19237}",456919
1908,MI,175771,335580,16974,30479,"{""August Gillhaus"": 1096, ""Eugene Chafin"": 16974, ""Eugene V. Debs"": 11586, ""Thomas"": 760}",541830
1908,MN,109401,195843,14527,26060,"{""Eugene Chafin"": 11107, ""Eugene V. Debs"": 14527, ""Thomas"": 426}",331304
1908,MS,60287,4363,1276,2254,"{""Eugene V. Debs"": 978, ""Thomas"": 1276}",66904
1908,MO,346574,347203,15431,22150,"{""August Gillhaus"": 868, ""Eugene Chafin"": 4284, ""Eugene V. Debs"": 15431, ""Thomas"": 1567}",715927
1908,MT,29326,32333,5855,7163,"{""Eugene Chafin"": 827, ""Eugene V. Debs"": 5855, ""Thomas"": 481}",68822
1908,NE-AL,131099,126997,5179,8703,"{""Eugene Chafin"": 5179, ""Eugene V. Debs"": 3524}",266799
1908,NV,11212,10775,2103,2539,"{""Eugene V. Debs"": 2103, ""Thomas"": 436}",24526
1908,NH,33655,53149,1299,2796,"{""Eugene Chafin"": 905, ""Eugene V. Debs"": 1299, ""Thomas"": 584}",89600
1908,NJ,182522,265298,10249,19291,"{""August Gillhaus"": 1196, ""Eugene Chafin"": 4930, ""Eugene V. Debs"": 10249, ""Thomas"": 2916}",467111
