year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1996,AL,662165,769044,92149,103140,"{""Harry Browne"": 5290, ""Others"": 5701, ""Ross Perot"": 92149}",1534349,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,AK,80380,122746,26333,38494,"{""Harry Browne"": 2276, ""Others"": 2288, ""Ralph Nader"": 7597, ""Ross Perot"": 26333}",241620,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,AZ,653288,622073,112072,129044,"{""Harry Browne"": 14358, ""Others"": 552, ""Ralph Nader"": 2062, ""Ross Perot"": 112072}",1404405,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,AR,475171,325416,69884,83675,"{""Harry Browne"": 3076, ""Others"": 7066, ""Ralph Nader"": 3649, ""Ross Perot"": 69884}",884262,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,CA,5119835,3828380,697847,1071269,"{""Harry Browne"": 73600, ""Others"": 62806, ""Ralph Nader"": 237016, ""Ross Perot"": 697847}",10019484,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,CO,671152,691848,99629,147704,"{""Harry Browne"": 12392, ""Others"": 10613, ""Ralph Nader"": 25070, ""Ross Perot"": 99629}",1510704,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,CT,735740,483109,139523,173765,"{""Harry Browne"": 5788, ""Others"": 4133, ""Ralph Nader"": 24321, ""Ross Perot"": 139523}",1392614,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,DE,140355,99062,28719,31428,"{""Harry Browne"": 2052, ""Others"": 639, ""Ralph Nader"": 18, ""Ross Perot"": 28719}",270845,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,DC,158220,17339,4780,10167,"{""Harry Browne"": 588, ""Others"": 1188, ""Ralph Nader"": 4780, ""Ross Perot"": 3611}",185726,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,FL,2546870,2244536,483870,512388,"{""Harry Browne"": 23965, ""Others"": 452, ""Ralph Nader"": 4101, ""Ross Perot"": 483870}",5303794,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,GA,1053849,1080843,146337,164379,"{""Harry Browne"": 17870, ""Others"": 172, ""Ross Perot"": 146337}",2299071,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,HI,205012,113943,27358,41165,"{""Harry Browne"": 2493, ""Others"": 928, ""Ralph Nader"": 10386, ""Ross Perot"": 27358}",360120,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,ID,165443,256595,62518,69681,"{""Harry Browne"": 3325, ""Others"": 3838, ""Ross Perot"": 62518}",491719,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,IL,2341744,1587021,346408,382626,"{""Harry Browne"": 22548, ""Others"": 12223, ""Ralph Nader"": 1447, ""Ross Perot"": 346408}",4311391,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,IN,887424,1006693,224299,241725,"{""Harry Browne"": 15632, ""Others"": 673, ""Ralph Nader"": 1121, ""Ross Perot"": 224299}",2135842,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,IA,620258,492644,105159,121173,"{""Harry Browne"": 2315, ""Others"": 7149, ""Ralph Nader"": 6550, ""Ross Perot"": 105159}",1234075,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,KS,387659,583245,92639,103396,"{""Harry Browne"": 4557, ""Others"": 5286, ""Ralph Nader"": 914, ""Ross Perot"": 92639}",1074300,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
1996,KY,636614,623283,120396,128811,"{""Harry Browne"": 4009, ""Others"": 3705, ""Ralph Nader"": 701, ""Ross Perot"": 120396}",1388708,https://en.wikipedia.org/wiki/1996_United_States_presidential_election
