year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
1868,AL,72921,76667,0,6,"{""Other"": 6}",149594
1868,AR,19078,22112,0,0,{},41190
1868,CA,54078,54592,0,0,{},108670
1868,CT,47844,50788,0,0,{},98632
1868,DE,10957,7614,0,0,{},18571
1868,FL,0,0,0,0,{},0
1868,GA,102707,57109,0,0,{},159816
1868,IL,199116,250304,0,0,{},449420
1868,IN,166980,176552,0,0,{},343532
1868,IA,74040,120399,0,0,{},194439
1868,KS,13600,30027,0,3,"{""Other"": 3}",43630
1868,KY,115889,39566,0,0,{},155455
1868,LA,80225,33263,0,0,{},113488
1868,ME-AL,42460,70502,0,0,{},112962
1868,MD,62357,30438,0,0,{},92795
1868,MA,59103,136379,0,26,"{""Other"": 26}",195508
1868,MI,97060,128560,0,0,{},225620
1868,MN,28096,43722,0,0,{},71818
1868,MO,65628,86860,0,0,{},152488
1868,NE-AL,5519,9772,0,0,{},15291
1868,NV,5218,6480,0,0,{},11698
1868,NH,30575,37718,0,11,"{""Other"": 11}",68304
1868,NJ,83001,80131,0,0,{},163132
1868,NY,429883,419888,0,0,{},849771
1868,NC,84559,96939,0,0,{},181498
1868,OH,238621,280167,0,0,{},518788
1868,OR,11125,10961,0,0,{},22086
1868,PA,313382,342280,0,0,{},655662
1868,RI,6548,12993,0,0,{},19541
1868,SC,45237,62301,0,0,{},107538
1868,TN,26129,56628,0,0,{},82757
1868,VT,12045,44167,0,0,{},56212
1868,WV,20306,29015,0,0,{},49321
1868,WI,84703,108900,0,0,{},193603
1868,NATIONAL,2708980,3013790,0,0,{},5722440
