year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
2012,AL,795696,1255925,12328,22717,"{""Johnson/Gray"": 12328, ""Others"": 6992, ""Stein/Honkala"": 3397}",2074338
2012,AK,122640,164676,7392,13179,"{""Johnson/Gray"": 7392, ""Others"": 2870, ""Stein/Honkala"": 2917}",300495
2012,AZ,1025232,1233654,32100,40368,"{""Johnson/Gray"": 32100, ""Others"": 452, ""Stein/Honkala"": 7816}",2299254
2012,AR,394409,647744,16276,27315,"{""Johnson/Gray"": 16276, ""Others"": 1734, ""Stein/Honkala"": 9305}",1069468
2012,CA,7854285,4839958,143221,344304,"{""Johnson/Gray"": 143221, ""Others"": 115445, ""Stein/Honkala"": 85638}",13038547
2012,CO,1323102,1185243,35545,61173,"{""Johnson/Gray"": 35545, ""Others"": 18121, ""Stein/Honkala"": 7508}",2569518
2012,CT,905083,634892,12580,18985,"{""Johnson/Gray"": 12580, ""Others"": 5542, ""Stein/Honkala"": 863}",1558960
2012,DE,242584,165484,3882,5853,"{""Johnson/Gray"": 3882, ""Others"": 31, ""Stein/Honkala"": 1940}",413921
2012,DC,267070,21381,2458,5313,"{""Johnson/Gray"": 2083, ""Others"": 772, ""Stein/Honkala"": 2458}",293764
2012,FL,4237756,4163447,44726,72976,"{""Johnson/Gray"": 44726, ""Others"": 19303, ""Stein/Honkala"": 8947}",8474179
2012,GA,1773827,2078688,45324,47535,"{""Johnson/Gray"": 45324, ""Others"": 695, ""Stein/Honkala"": 1516}",3900050
2012,HI,306658,121015,3840,7024,"{""Johnson/Gray"": 3840, ""Stein/Honkala"": 3184}",434697
2012,ID,212787,420911,9453,18576,"{""Johnson/Gray"": 9453, ""Others"": 4721, ""Stein/Honkala"": 4402}",652274
2012,IL,3019512,2135216,56229,87286,"{""Johnson/Gray"": 56229, ""Others"": 835, ""Stein/Honkala"": 30222}",5242014
2012,IN,1152887,1420543,50111,51104,"{""Johnson/Gray"": 50111, ""Others"": 368, ""Stein/Honkala"": 625}",2624534
2012,IA,822544,730617,12926,29019,"{""Johnson/Gray"": 12926, ""Others"": 12324, ""Stein/Honkala"": 3769}",1582180
2012,KS,440726,692634,20456,26611,"{""Johnson/Gray"": 20456, ""Others"": 5441, ""Stein/Honkala"": 714}",1159971
2012,KY,679370,1087190,17063,30652,"{""Johnson/Gray"": 17063, ""Others"": 7252, ""Stein/Honkala"": 6337}",1797212
2012,LA,809141,1152262,18157,32662,"{""Johnson/Gray"": 18157, ""Others"": 7527, ""Stein/Honkala"": 6978}",1994065
2012,ME-AL,401306,292276,9352,19598,"{""Johnson/Gray"": 9352, ""Others"": 2127, ""Stein/Honkala"": 8119}",713180
2012,ME-01,223035,142937,4501,8447,"{""Johnson/Gray"": 4501, ""Stein/Honkala"": 3946}",374419
2012,ME-02,177998,149215,4843,9013,"{""Johnson/Gray"": 4843, ""Stein/Honkala"": 4170}",336226
2012,MD,1677844,971869,30195,57614,"{""Johnson/Gray"": 30195, ""Others"": 10309, ""Stein/Honkala"": 17110}",2707327
2012,MA,1921290,1188314,30920,58163,"{""Johnson/Gray"": 30920, ""Others"": 6552, ""Stein/Honkala"": 20691}",3167767
2012,MI,2564569,2115256,21897,51136,"{""Johnson/Gray"": 7774, ""Others"": 21465, ""Stein/Honkala"": 21897}",4730961
2012,MN,1546167,1320225,35098,70169,"{""Johnson/Gray"": 35098, ""Others"": 22048, ""Stein/Honkala"": 13023}",2936561
2012,MS,562949,710746,6676,11889,"{""Johnson/Gray"": 6676, ""Others"": 3625, ""Stein/Honkala"": 1588}",1285584
2012,MO,1223796,1482440,43151,51087,"{""Johnson/Gray"": 43151, ""Others"": 7936}",2757323
2012,MT,201839,267928,14165,14281,"{""Johnson/Gray"": 14165, ""Others"": 116}",484048
2012,NE-AL,302081,475064,11109,17234,"{""Johnson/Gray"": 11109, ""Others"": 6125}",794379
2012,NE-01,108082,152021,3847,4609,"{""Johnson/Gray"": 3847, ""Others"": 762}",264712
