year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
2012,NE-02,121889,140976,3393,3862,"{""Johnson/Gray"": 3393, ""Others"": 469}",266727
2012,NE-03,72110,182067,3869,5046,"{""Johnson/Gray"": 3869, ""Others"": 1177}",259223
2012,NV,531373,463567,10968,19978,"{""Johnson/Gray"": 10968, ""Others"": 9010}",1014918
2012,NH,369561,329918,8212,11493,"{""Johnson/Gray"": 8212, ""Others"": 2957, ""Stein/Honkala"": 324}",710972
2012,NJ,2125101,1477568,21045,37623,"{""Johnson/Gray"": 21045, ""Others"": 6690, ""Stein/Honkala"": 9888}",3640292
2012,NM,415335,335788,27788,32635,"{""Johnson/Gray"": 27788, ""Others"": 2156, ""Stein/Honkala"": 2691}",783758
2012,NY,4485741,2490431,47256,104987,"{""Johnson/Gray"": 47256, ""Others"": 17749, ""Stein/Honkala"": 39982}",7081159
2012,NC,2178391,2270395,44515,56586,"{""Johnson/Gray"": 44515, ""Others"": 12071}",4505372
2012,ND,124827,188163,5231,9637,"{""Johnson/Gray"": 5231, ""Others"": 3045, ""Stein/Honkala"": 1361}",322627
2012,OH,2827709,2661437,49493,91701,"{""Johnson/Gray"": 49493, ""Others"": 23635, ""Stein/Honkala"": 18573}",5580847
2012,OK,443547,891325,0,0,{},1334872
2012,OR,970488,754175,24089,64607,"{""Johnson/Gray"": 24089, ""Others"": 21091, ""Stein/Honkala"": 19427}",1789270
2012,PA,2990274,2680434,49991,82962,"{""Johnson/Gray"": 49991, ""Others"": 11630, ""Stein/Honkala"": 21341}",5753670
2012,RI,279677,157204,4388,9168,"{""Johnson/Gray"": 4388, ""Others"": 2359, ""Stein/Honkala"": 2421}",446049
2012,SC,865941,1071645,16321,26532,"{""Johnson/Gray"": 16321, ""Others"": 4765, ""Stein/Honkala"": 5446}",1964118
2012,SD,145039,210610,5795,8166,"{""Johnson/Gray"": 5795, ""Others"": 2371}",363815
2012,TN,960709,1462330,18623,35538,"{""Johnson/Gray"": 18623, ""Others"": 10400, ""Stein/Honkala"": 6515}",2458577
2012,TX,3308124,4569843,88580,115884,"{""Johnson/Gray"": 88580, ""Others"": 2647, ""Stein/Honkala"": 24657}",7993851
2012,UT,251813,740600,12572,25027,"{""Johnson/Gray"": 12572, ""Others"": 8638, ""Stein/Honkala"": 3817}",1017440
2012,VT,199239,92698,3487,7353,"{""Johnson/Gray"": 3487, ""Others"": 3272, ""Stein/Honkala"": 594}",299290
2012,VA,1971820,1822522,31216,60147,"{""Johnson/Gray"": 31216, ""Others"": 20304, ""Stein/Honkala"": 8627}",3854489
2012,WA,1755396,1290670,42202,79450,"{""Johnson/Gray"": 42202, ""Others"": 16320, ""Stein/Honkala"": 20928}",3125516
2012,WV,238269,417655,6302,14514,"{""Johnson/Gray"": 6302, ""Others"": 3806, ""Stein/Honkala"": 4406}",670438
2012,WI,1620985,1407966,20439,39483,"{""Johnson/Gray"": 20439, ""Others"": 11379, ""Stein/Honkala"": 7665}",3068434
2012,WY,69286,170962,5326,8813,"{""Johnson/Gray"": 5326, ""Others"": 3487}",249061
2012,NATIONAL,65915795,60933504,1275971,2236111,"{""Johnson/Gray"": 1275971, ""Others"": 490510, ""Stein/Honkala"": 469627}",129085410
