year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
1888,AL,117314,57177,594,594,"{""Clinton Fisk"": 594}",175085
1888,AR,86062,59752,10630,11244,"{""Alson Streeter"": 10630, ""Clinton Fisk"": 614}",157058
1888,CA,117729,124816,5761,8794,"{""Clinton Fisk"": 5761}",251339
1888,CO,37549,50772,2182,3625,"{""Alson Streeter"": 1266, ""Clinton Fisk"": 2182}",91946
1888,CT,74920,74584,4234,4474,"{""Alson Streeter"": 240, ""Clinton Fisk"": 4234}",153978
1888,DE,16414,12950,399,400,"{""Clinton Fisk"": 399}",29764
1888,FL,39557,26529,414,414,"{""Clinton Fisk"": 414}",66500
1888,GA,100493,40499,1808,1944,"{""Alson Streeter"": 136, ""Clinton Fisk"": 1808}",142936
1888,IL,348351,370475,21703,28987,"{""Alson Streeter"": 7134, ""Clinton Fisk"": 21703}",747813
1888,IN,261013,263361,9881,12575,"{""Alson Streeter"": 2694, ""Clinton Fisk"": 9881}",536949
1888,IA,179877,211603,9105,12655,"{""Alson Streeter"": 9105, ""Clinton Fisk"": 3550}",404135
1888,KS,102745,182904,37788,45500,"{""Alson Streeter"": 37788, ""Clinton Fisk"": 6779}",331149
1888,KY,183830,155138,5223,5900,"{""Alson Streeter"": 677, ""Clinton Fisk"": 5223}",344868
1888,LA,85032,30660,160,199,"{""Alson Streeter"": 39, ""Clinton Fisk"": 160}",115891
1888,ME-AL,50472,73730,2691,4051,"{""Alson Streeter"": 1344, ""Clinton Fisk"": 2691}",128253
1888,MD,106188,99986,4767,4767,"{""Clinton Fisk"": 4767}",210941
1888,MA,151590,183892,8701,8761,"{""Clinton Fisk"": 8701}",344243
1888,MI,213469,236387,20945,25500,"{""Alson Streeter"": 4555, ""Clinton Fisk"": 20945}",475356
1888,MN,104385,142492,15311,16408,"{""Alson Streeter"": 1097, ""Clinton Fisk"": 15311}",263285
1888,MS,85451,30095,240,240,"{""Clinton Fisk"": 240}",115786
1888,MO,261943,236252,18626,23165,"{""Alson Streeter"": 18626, ""Clinton Fisk"": 4539}",521360
1888,NE-AL,80552,108425,9429,13655,"{""Alson Streeter"": 4226, ""Clinton Fisk"": 9429}",202632
1888,NV,5149,7088,41,41,"{""Clinton Fisk"": 41}",12278
1888,NH,43456,45728,1593,1651,"{""Clinton Fisk"": 1593}",90835
1888,NJ,151508,144360,7933,7933,"{""Clinton Fisk"": 7933}",303801
1888,NY,635965,650338,30231,33445,"{""Alson Streeter"": 627, ""Clinton Fisk"": 30231}",1319748
1888,NC,147902,134784,2840,2877,"{""Clinton Fisk"": 2840}",285563
1888,OH,396455,416054,24356,27852,"{""Alson Streeter"": 3496, ""Clinton Fisk"": 24356}",840361
1888,OR,26522,33291,1677,2040,"{""Clinton Fisk"": 1677}",61853
1888,PA,446633,526091,20947,24844,"{""Alson Streeter"": 3873, ""Clinton Fisk"": 20947}",997568
1888,RI,17530,21969,1251,1276,"{""Alson Streeter"": 18, ""Clinton Fisk"": 1251}",40775
1888,SC,65824,13736,0,437,"{""Other"": 437}",79997
1888,TN,158699,138978,5969,6017,"{""Alson Streeter"": 48, ""Clinton Fisk"": 5969}",303694
1888,TX,234883,88422,29459,34208,"{""Alson Streeter"": 29459, ""Clinton Fisk"": 4749}",357513
1888,VT,16788,45192,1977,3472,"{""Alson Streeter"": 1977, ""Clinton Fisk"": 1460}",65452
1888,VA,152004,150399,1684,1684,"{""Clinton Fisk"": 1684}",304087
1888,WV,78677,78171,1508,2592,"{""Alson Streeter"": 1508, ""Clinton Fisk"": 1084}",159440
1888,WI,155232,176553,14277,22829,"{""Alson Streeter"": 8552, ""Clinton Fisk"": 14277}",354614
1888,NATIONAL,5538163,5443633,250017,407050,"{""Alson Streeter"": 149115, ""Clinton Fisk"": 250017}",11388846
