year,abbr,D_votes,R_votes,T_votes,total_votes
2004,AL,693933,1176394,13122,1883449
2004,AK,111025,190889,10684,312598
2004,AZ,893524,1104294,14767,2012585
2004,AR,469953,572898,12094,1054945
2004,CA,6745485,5509826,166541,12421852
2004,CO,1001732,1101255,27343,2130330
2004,CT,857488,693826,27455,1578769
2004,DE,200152,171660,3378,375190
2004,DC,202970,21256,3360,227586
2004,FL,3583544,3964522,61744,7609810
2004,GA,1366149,1914254,21472,3301875
2004,HI,231708,194191,3114,429013
2004,ID,181098,409235,8114,598447
2004,IL,2891550,2345946,36826,5274322
2004,IN,969011,1479438,19553,2468002
2004,IA,741898,751957,13053,1506908
2004,KS,434993,736456,16307,1187756
2004,KY,712733,1069439,13710,1795882
2004,LA,820299,1102169,20638,1943106
2004,ME-AL,396842,330201,13709,740752
2004,ME-01,211703,165824,6865,384392
2004,ME-02,185139,164377,6840,356356
2004,MD,1334493,1024703,27482,2386678
2004,MA,1803800,1071109,37479,2912388
2004,MI,2479183,2313746,46323,4839252
2004,MN,1445014,1346695,36678,2828387
2004,MS,458094,684981,9070,1152145
2004,MO,1259171,1455713,16480,2731364
2004,MT,173710,266063,10672,450445
2004,NE-AL,254328,512814,11044,778186
2004,NE-01,96314,169888,3569,269771
2004,NE-02,97858,153041,3133,254032
2004,NE-03,60156,189885,3411,253452
2004,NV,397190,418690,13707,829587
2004,NH,340511,331237,5990,677738
2004,NJ,1911430,1670003,30258,3611691
2004,NM,370942,376930,8432,756304
2004,NY,4314280,2962567,114189,7391036
2004,NC,1525849,1961166,13992,3501007
2004,ND,111052,196651,5130,312833
2004,OH,2741167,2859768,26973,5627908
2004,OK,503966,959792,0,1463758
2004,OR,943163,866831,26788,1836782
2004,PA,2938095,2793847,37648,5769590
2004,RI,259765,169046,8323,437134
2004,SC,661699,937974,18057,1617730
2004,SD,149244,232584,6387,388215
2004,TN,1036477,1384375,16467,2437319
2004,TX,2832704,4526917,51144,7410765
2004,UT,241199,663742,22903,927844
2004,VT,184067,121180,7062,312309
2004,VA,1454742,1716959,26666,3198367
2004,WA,1510201,1304894,43989,2859084
2004,WV,326541,423778,5568,755887
2004,WI,1489504,1478120,29383,2997007
2004,WY,70776,167629,5023,243428
2004,NATIONAL,59028444,62040610,1221576,122290630
