year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
1968,AL,196579,146923,691425,706415,"{""George Wallace"": 691425}",1049917
1968,AK,35411,37600,10024,10024,"{""George Wallace"": 10024}",83035
1968,AZ,170514,266721,46573,49701,"{""George Wallace"": 46573}",486936
1968,AR,184901,189062,235627,235627,"{""George Wallace"": 235627}",609590
1968,CA,3244318,3467664,487270,539605,"{""George Wallace"": 487270}",7251587
1968,CO,335174,409345,60813,66680,"{""George Wallace"": 60813}",811199
1968,CT,621561,556721,76650,77950,"{""George Wallace"": 76650}",1256232
1968,DE,89194,96714,28459,28459,"{""George Wallace"": 28459}",214367
1968,DC,139566,31012,0,0,{},170578
1968,FL,676794,886804,624207,624207,"{""George Wallace"": 624207}",2187805
1968,GA,334440,380111,535550,535715,"{""George Wallace"": 535550}",1250266
1968,HI,141324,91425,3469,3469,"{""George Wallace"": 3469}",236218
1968,ID,89273,165369,36541,36541,"{""George Wallace"": 36541}",291183
1968,IL,2039814,2174774,390958,405161,"{""George Wallace"": 390958}",4619749
1968,IN,806659,1067885,243108,249053,"{""George Wallace"": 243108}",2123597
1968,IA,476699,619106,66422,72126,"{""George Wallace"": 66422}",1167931
1968,KS,302996,478674,88921,91113,"{""George Wallace"": 88921}",872783
1968,KY,397541,462411,193098,195941,"{""George Wallace"": 193098}",1055893
1968,LA,309615,257535,530300,530300,"{""George Wallace"": 530300}",1097450
1968,ME-AL,217312,169254,6370,6370,"{""George Wallace"": 6370}",392936
1968,MD,538310,517995,178734,178734,"{""George Wallace"": 178734}",1235039
1968,MA,1469218,766844,87088,95690,"{""George Wallace"": 87088}",2331752
1968,MI,1593082,1370665,331968,342503,"{""George Wallace"": 331968}",3306250
1968,MN,857738,658643,68931,72129,"{""George Wallace"": 68931}",1588510
1968,MS,150644,88516,415349,415349,"{""George Wallace"": 415349}",654509
1968,MO,791444,811932,206126,206126,"{""George Wallace"": 206126}",1809502
1968,MT,114117,138835,20015,21452,"{""George Wallace"": 20015}",274404
1968,NE-AL,170784,321163,44904,44904,"{""George Wallace"": 44904}",536851
1968,NV,60598,73188,20432,20432,"{""George Wallace"": 20432}",154218
1968,NH,130589,154903,11173,11806,"{""George Wallace"": 11173}",297298
1968,NJ,1264206,1325467,262187,285722,"{""George Wallace"": 262187}",2875395
1968,NM,130081,169692,25737,27508,"{""George Wallace"": 25737}",327281
1968,NY,3378470,3007932,358864,403664,"{""George Wallace"": 358864}",6790066
1968,NC,464113,627192,496188,496188,"{""George Wallace"": 496188}",1587493
1968,ND,94769,138669,14244,14444,"{""George Wallace"": 14244}",247882
1968,OH,1700586,1791014,467495,468098,"{""George Wallace"": 467495}",3959698
1968,OK,301658,449697,191731,191731,"{""George Wallace"": 191731}",943086
1968,OR,358866,408433,49683,52323,"{""George Wallace"": 49683}",819622
1968,PA,2259405,2090017,378582,398506,"{""George Wallace"": 378582}",4747928
1968,RI,246518,122359,15678,16123,"{""George Wallace"": 15678}",385000
1968,SC,197486,254062,215430,215434,"{""George Wallace"": 215430}",666982
1968,SD,118023,149841,13400,13400,"{""George Wallace"": 13400}",281264
1968,TN,351233,472592,424792,424792,"{""George Wallace"": 424792}",1248617
1968,TX,1266804,1227844,584269,584758,"{""George Wallace"": 584269}",3079406
1968,UT,156665,238728,26906,27175,"{""George Wallace"": 26906}",422568
1968,VT,70255,85142,5104,6007,"{""George Wallace"": 5104}",161404
1968,VA,442387,590319,321833,328785,"{""George Wallace"": 321833}",1361491
1968,WA,616037,588510,96990,99734,"{""George Wallace"": 96990}",1304281
1968,WV,374091,307555,72560,72560,"{""George Wallace"": 72560}",754206
1968,WI,748804,809997,127835,132737,"{""George Wallace"": 127835}",1691538
1968,WY,45173,70927,11105,11105,"{""George Wallace"": 11105}",127205
1968,NATIONAL,31271839,31783783,9901118,10144376,"{""George Wallace"": 9901118}",73199998
