year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes
2012,MD,1677844,971869,47305,2697018,10
2012,ME-01,221952,142573,9305,373830,1
2012,ME-02,177283,148845,9976,336104,1
2012,ME-AL,399235,291418,19281,709934,2
2012,MI,2564569,2115256,43164,4722989,16
2012,MN,1546167,1320225,59528,2925920,10
2012,MO,1223796,1482440,51086,2757322,10
2012,MS,562949,710746,11889,1285584,6
2012,MT,201839,267928,14717,484484,3
2012,NATIONAL,65915138,60931144,2092345,128938627,533
2012,NC,2178390,2270396,44514,4493300,15
2012,ND,124827,188163,9637,322627,3
2012,NE-01,108082,152021,5933,266036,1
2012,NE-02,121889,140976,5162,268027,1
2012,NE-03,72110,182067,6111,260288,1
2012,NE-AL,302081,475064,17206,794351,2
2012,NH,369561,329918,8920,708399,4
2012,NJ,2126610,1478750,37573,3642933,14
2012,NM,415335,335788,32634,783757,5
2012,NV,531372,463568,19978,1014918,6
2012,NY,4485916,2490507,95565,7071988,29
2012,OH,2827708,2661439,91664,5580811,18
2012,OK,443547,891325,0,1334872,7
2012,OR,970488,754175,51332,1775995,7
2012,PA,2990154,2680388,71335,5741877,20
2012,RI,279677,157204,7787,444668,4
2012,SC,865940,1071646,26533,1964119,9
2012,SD,145039,210610,8166,363815,3
2012,TN,960709,1462330,35538,2458577,11
2012,TX,3308119,4569851,113237,7991207,38
2012,UT,251813,740600,24988,1017401,6
2012,VA,1971820,1822522,52901,3847243,13
2012,VT,199239,92698,7353,299290,3
2012,WA,1755396,1290670,79450,3125516,12
2012,WI,1620985,1407966,34113,3063064,10
2012,WV,238269,417655,14514,670438,5
2012,WY,69286,170962,8813,249061,3
2016,AK,116454,163387,38767,318608,3
2016,AL,729546,1318259,53856,2101661,9
2016,AR,380494,684872,65269,1130635,6
2016,AZ,1161167,1252401,191012,2604580,11
2016,CA,8752489,4483487,823216,14059192,55
2016,CO,1338799,1202384,238863,2780046,9
2016,CT,897572,673215,74125,1644912,7
2016,DC,282830,12723,15715,311268,3
2016,DE,235603,185127,20860,441590,3
2016,FL,4504973,4617886,297026,9419885,29
2016,GA,1877963,2089106,125303,4092372,16
2016,HI,266891,128847,33199,428937,4
2016,IA,653669,800983,111379,1566031,6
2016,ID,189765,409055,91613,690433,4
2016,IL,3090728,2146016,286398,5523142,20
2016,IN,1033088,1557206,133989,2724283,11
2016,KS,427005,671018,78912,1176935,6
2016,KY,628854,1202971,91573,1923398,8
2016,LA,780153,1178638,70240,2029031,8
2016,MA,1995196,1090893,238957,3325046,11
2016,MD,1677928,943169,115552,2736649,10
2016,ME-01,210979,154127,27001,392107,1
2016,ME-02,143739,180818,27277,351834,1
2016,ME-AL,354718,334945,54278,743941,2
2016,MI,2265444,2275361,275262,4816067,16
2016,MN,1367825,1323232,254176,2945233,10
2016,MO,1071068,1594512,135869,2801449,10
2016,MS,485131,700715,23511,1209357,6
2016,MT,177709,279240,44872,501821,3
2016,NATIONAL,65841627,62976340,7548530,136366497,533
2016,NC,2189315,2362628,130127,4682070,15
2016,ND,93758,216794,33808,344360,3
2016,NE-01,100126,158626,23586,282338,1
2016,NE-02,131030,137564,23086,291680,1
2016,NE-03,53290,199657,17087,270034,1
2016,NE-AL,284446,495847,63759,844052,2
2016,NH,348526,345790,49476,743792,4
2016,NJ,2145231,1600005,156307,3901543,14
2016,NM,385234,319666,93418,798318,5
2016,NV,539261,512059,74065,1125385,6
2016,NY,4556138,2819549,345875,7721562,29
2016,OH,2394165,2841004,245004,5480173,18
2016,OK,420375,949136,83481,1452992,7
2016,OR,1002106,782403,216827,2001336,7
2016,PA,2925590,2970080,218151,6113821,20
2016,RI,252525,180543,30978,464046,4
2016,SC,855373,1155389,92264,2103026,9
2016,SD,117458,227721,24914,370093,3
2016,TN,870695,1522926,100616,2494237,11
2016,TX,3877626,4684288,419946,8981860,38
2016,UT,310676,515231,305468,1131375,6
2016,VA,1981473,1769443,231836,3982752,13
2016,VT,178573,95369,41125,315067,3
2016,WA,1742718,1221747,350440,3314905,12
2016,WI,1382536,1405284,188330,2976150,10
2016,WV,188794,489371,43066,721231,5
2016,WY,55973,174419,25457,255849,3
2020,AK,153778,189951,15801,359530,3
2020,AL,850086,1441167,33212,2324465,9
2020,AR,423932,760647,34490,1219069,6
2020,AZ,1672143,1661686,51465,3385294,11
2020,CA,11109918,6006098,386797,17502813,55
2020,CO,1806939,1368065,86442,3261446,9
2020,CT,1080680,715291,28309,1824280,7
2020,DC,317323,18586,8447,344356,3
2020,DE,296268,200603,7139,504010,3
2020,FL,5285516,5659054,116537,11061107,29
2020,GA,2474507,2461837,62138,4998482,16
2020,HI,366070,196800,11489,574359,4
2020,IA,759061,897672,34138,1690871,6
2020,ID,287021,554119,27197,868337,4
2020,IL,3479871,2464506,112824,6057201,20
2020,IN,1242401,1729509,61529,3033439,11
2020,KS,570323,771406,30574,1372303,6
2020,KY,772474,1326646,37597,2136717,8
2020,LA,856034,1255776,36130,2147940,8
2020,MA,2382202,1167202,81998,3631402,11
2020,MD,1985023,976414,75594,3037031,10
2020,ME-01,266376,164045,12691,443112,1
2020,ME-02,168696,196692,10961,376349,1
2020,ME-AL,435072,360737,23652,819461,2
2020,MI,2804040,2649852,84320,5538212,16
2020,MN,1717070,1484062,76031,3277163,10
2020,MO,1242973,1712454,59476,3014903,10
2020,MS,539494,756731,17566,1313791,6
2020,MT,244786,343602,15286,603674,3
2020,NATIONAL,81259494,74219286,2916639,158395419,533
2020,NC,2683787,2757113,68407,5509307,15
2020,ND,114902,235595,11322,361819,3
2020,NE-01,132261,180290,9335,321886,1
2020,NE-02,176468,154377,8821,339666,1
2020,NE-03,65854,222179,6798,294831,1
2020,NE-AL,374583,556846,24954,956383,2
2020,NH,424921,365654,13763,804338,4
2020,NJ,2606506,1881067,72380,4559953,14
2020,NM,499850,401668,18620,920138,5
2020,NV,703438,669834,32062,1405334,6
2020,NY,5244486,3251333,115839,8611658,29
2020,OH,2679166,3154835,86379,5920380,18
2020,OK,503890,1020280,36529,1560699,7
2020,OR,1340383,958447,75490,2374320,7
2020,PA,3456837,3376333,87854,6921024,20
2020,RI,307486,199922,10349,517757,4
2020,SC,1091541,1385103,36685,2513329,9
2020,SD,150471,261043,11095,422609,3
2020,TN,1143506,1851770,56821,3052097,11
2020,TX,5259097,5890288,169769,11319154,38
2020,UT,560282,865140,62255,1487677,6
2020,VA,2406841,1960187,84994,4452022,13
2020,VT,242820,112704,11904,367428,3
2020,WA,2369612,1584651,133368,4087631,12
2020,WI,1630609,1610059,56621,3297289,10
2020,WV,235984,545382,13286,794652,5
2020,WY,73491,193559,9715,276765,3
2024,AK,140026,184458,13693,338177,3
2024,AL,772412,1462616,30062,2265090,3
2024,AR,396905,759241,26530,1182676,3
2024,AZ,1582860,1770242,37059,3390161,3
2024,CA,9276179,6081697,507599,15865475,3
2024,CO,1728159,1377441,87145,3192745,3
2024,CT,992053,736918,30039,1759010,3
2024,DC,294185,21076,10608,325869,3
2024,DE,289758,214351,8803,512912,3
2024,FL,4683038,6110125,100589,10893752,3
2024,GA,2548017,2663117,39771,5250905,3
2024,HI,313044,193661,9996,516701,3
2024,IA,707278,927019,29209,1663506,3
2024,ID,274972,605246,24839,905057,3
2024,IL,3062863,2449079,121368,5633310,3
2024,IN,1163603,1720347,52727,2936677,3
2024,KS,544853,758802,23936,1327591,3
2024,KY,704043,1337494,32993,2074530,3
2024,LA,766870,1208505,31600,2006975,3
2024,MA,2126518,1251303,95847,3473668,3
2024,MD,1902577,1035550,100207,3038334,3
2024,ME-01,258863,165214,9632,433709,3
2024,ME-02,176789,212763,8114,397666,3
2024,ME-AL,435652,377977,17746,831375,2
2024,MI,2736533,2816636,111017,5664186,3
2024,MN,1656979,1519032,77909,3253920,3
2024,MO,1200599,1751986,42742,2995327,3
2024,MS,466668,747744,13596,1228008,3
2024,MT,231906,352079,19005,602990,3
2024,NATIONAL,75824877,78246361,2953274,157024512,166
2024,NC,2715375,2898423,85343,5699141,3
2024,ND,112327,246505,9323,368155,3
2024,NE-01,136153,177666,6375,320194,3
2024,NE-02,163541,148905,6200,318646,3
2024,NE-03,70301,238245,4796,313342,3
2024,NE-AL,369995,564816,17371,952182,2
2024,NH,418488,395523,12178,826189,3
2024,NJ,2220713,1968215,83797,4272725,3
2024,NM,478802,423391,21210,923403,3
2024,NV,705197,751205,28438,1484840,3
2024,NY,4619195,3578899,64401,8262495,3
2024,OH,2533699,3180116,53973,5767788,3
2024,OK,499599,1036213,30361,1566173,3
2024,OR,1240600,919480,84413,2244493,3
2024,PA,3423042,3543308,92382,7058732,3
2024,RI,285156,214406,13824,513386,3
2024,SC,1028452,1483747,35941,2548140,3
2024,SD,146859,272081,9982,428922,3
2024,TN,1056265,1966865,40812,3063942,3
2024,TX,4835250,6393597,159827,11388674,3
2024,UT,562566,883818,42110,1488494,3
2024,VA,2335395,2075085,95461,4505941,3
2024,VT,235791,119395,14236,369422,3
2024,WA,2245849,1530923,147471,3924243,3
2024,WI,1668229,1697626,57063,3422918,3
2024,WV,214309,533556,14717,762582,3
2024,WY,69527,192633,6888,269048,3
