year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
1916,-0.6629469967172259,6.4101085411646705,-0.2512012309645378,0.4054427336314553,1.4845954899126839,2.6152049635011907,0.32274259835426183,-0.7758375571032934,-0.8305871225833389,0.035099147416691935,-0.5670136161206323,-0.09303491211854122,-0.7567459299393692,0.4139631835223891,0.00041292167792979055
1920,-9.33893321531347,1.6203271629731324,0.382243004187363,0.17435318500415153,-4.129799250342249,0.5809513981631261,1.228710121340378,-1.4384855078486691,0.528398639774825,0.9206984601521362,0.3662784953546997,-0.11982427477412352,-0.010805010055428537,0.2678936474833532,-0.6318999892111847
1924,-9.528267693827779,2.696798059371513,0.6000047101588007,-0.08116406536211876,-2.623464592177453,-0.70504836331527,1.2259736200817746,-0.5527370469424789,2.043046665382706,0.9856560027747736,-0.15058747033287198,0.05016777210815081,0.5697537130892975,-0.04194659621318776,0.4637341315578529
1928,-6.21516428305639,-0.9800705969113318,0.16597442536273793,0.16770995168486416,-0.2285699016145498,-2.5453065702317033,1.7341841354240095,-0.2642931772447902,0.1686756871922823,0.28549220003194314,-1.8090836967878905,0.10189155927860795,-1.2512446414122258,-0.09437010624565534,1.4693359811471502
1932,2.8495523945736356,8.931633387959948,0.2923427365141747,-0.21090600001487303,5.311077687619102,0.8497161924855083,-1.289832110365387,0.4719046367932868,0.8859624112261104,-0.005120254196660391,0.3328012986653348,0.20207664956489282,0.48693135295915835,-0.631199521016478,-0.2206906317675264
1936,5.214972605195628,9.428604274939886,0.003703649597973254,-0.006076569835890652,4.04057160942828,0.8236567116439002,-1.6428501990015103,0.6537865918363656,-0.7261637640874812,-0.6243396774910789,1.3001767538123132,1.0330342476182341,-0.01388514465786382,0.7012355010965894,0.3231502096594288
1940,1.642124098494131,6.9425565707763965,-0.2502146757351121,0.07381887802770393,-0.35773973339449977,-0.4974665662716253,-1.0111406162726524,-0.15176638303028328,-0.48926535318633446,-0.4920599886048478,0.5983272417572694,-0.45018542771069225,-0.06711813096764396,0.1866686446909213,0.028914328971009123
1944,0.85880503623649,5.246189394124365,-0.38036409385451864,-0.001475602282431607,-0.38468460453822506,-0.8818837192561649,-0.6437733041528098,-0.020828266732537303,-0.9724577247955074,-0.23670957404409,0.17697351862971258,-0.3873437540090126,-0.09424541373907297,-0.024650869071966345,-0.05332159074428684
1948,0.24742806679034454,3.412662237705409,0.3321359326401404,0.29640964569669076,1.4915608898610229,0.6451689408762682,-2.2254191153089087,0.7138674060452611,-1.108202245588926,-0.23036853478672048,-0.4136736591819023,0.010566786410016026,1.546895756784991,-0.3444651582786206,-0.09969781092129382
1952,-4.331242317243182,-1.084452715886322,0.375284583028247,-0.10317598766628455,-2.6281588389049846,-0.857157355454381,-0.8952256235753977,1.136924771399785,-0.9126428459768731,-0.025703341433276447,-0.13798952616718602,0.7201568654126662,-0.09988437093819443,-0.21553748238849904,-0.5052624035577942
1956,-5.65969119131859,-1.416522228571171,0.474384587257231,-0.3272771539122519,-0.27996165947890916,-0.3670334568231523,-0.12317971972638586,1.2559311268161006,-1.1334398146348323,0.09490374434810744,1.0628618170939081,0.1760113708277683,-0.5735459375494207,-0.6394493249536234,-1.1891084890212376
1960,-0.03976524893703716,-0.3135518916177635,0.08302207080437941,1.3605510425164933,0.019995246939068196,-0.7030491573578481,-0.5184885553486415,0.3096643025360931,-0.3085784430973163,-1.5017604310011752,-0.7596239468234236,0.36916462958023794,-0.2934199833666199,0.589413869584341,-0.25400238101867384
1964,8.662217617274223,1.1604787229497928,-0.5859716814725334,5.255634151042431,3.08010244594641,1.1503869427672315,-4.255027652474656,-0.5704543763001083,0.13363575730136634,1.7088907490577347,0.14391976739745815,0.0032302010115937106,0.6110479866857408,0.34268066088950605,0.4270199637233854
1968,0.1900522863477948,-2.017045757698372,-2.0634438482157043,1.270526837492199,0.0071759402204152846,-0.35833128430711153,-1.0530611057549386,0.28229189948946753,-0.5603111617776739,0.04072062572380413,-1.0183879839376935,-0.12802042652141052,-0.48523082752847624,-0.10228129441669735,-0.09401760912021835
1972,-5.320901454846484,-7.382498821390099,-2.4315836169859724,-0.860968717311559,0.5369992174705462,-0.5989007008992194,1.589422131566484,-0.5112585988664323,-0.975679607929432,-2.483348745082778,0.249088208520208,0.15869326754891244,0.33754893425908356,0.020067682040905203,0.13211442666564308
1976,-0.16237194667974736,0.11887003800780381,-1.2819350230845825,-0.8338654722800324,0.8163264951715775,0.2066477586727787,-2.1123428980631425,0.17685304154019335,0.8447452199451413,-0.7584103995878295,-0.09835034675404966,-0.10111112507449226,-0.0485358023069405,-0.11079587782426946,-0.7836706624050043
1980,-2.833850164631729,-3.3320948226383793,-1.9404582126640395,-1.647855581644737,-1.6221347103256143,-0.28047460420721326,-1.2587316217379119,0.9897512269422059,1.0104383893231321,-0.4268759782481846,-0.08622391213130721,-0.5037087509098063,-0.38540969636196803,0.10096499418529413,-0.22672216903351572
1984,-4.509573772461696,-5.617827227230805,-0.4848463904646194,-2.5213821588376892,-0.7797367398078979,-0.4645927164843363,0.4273563247012322,0.7623190060981885,0.061683299093677195,-1.2669015078665244,0.3000440056144027,-0.3389949325748597,-0.21634634797048255,0.3948087861786624,0.6296604409859811
1988,-1.1812439865316213,-3.458357853284558,-0.6098406327961664,-0.9239522258262547,1.574826413012294,0.46308977548164837,-0.6451538322811287,0.49039260998169176,-0.3057967169763918,-0.4007123126773199,0.4474681943328831,-0.48960582932145214,0.11609500862203463,-0.128501674208382,0.9221573935020517
1992,2.593225610490613,-0.30379405672401094,0.47417838409412977,0.4937441251021989,1.187940980824911,0.6448733088622106,-1.6272007243785405,-0.3563784569275783,-0.02265308464207634,-0.6575267367754422,0.3169397254778991,-0.3724213371768186,-0.20469797760838307,-0.29425681141152427,-0.060363606574779634
