year,PC1,PC2,PC3
1916,7.509936423453254,-2.479340474758533,-1.2702480857704221
1920,8.886170579423233,2.8931117051078057,-4.329807286963812
1924,9.829604216750246,0.9510133229861851,-4.060324020624761
1928,2.6207612249748418,-0.882195014004108,-2.345042756881098
1932,7.056215541711123,-6.148012417931487,-0.15368611258324827
1936,5.722745810960395,-4.5827444634703385,0.34163920443932005
1940,5.429458155964273,0.4919553160272849,-1.6712765253895994
1944,3.836405147101773,0.38428928103302235,-1.7227468116173028
1948,2.723837861073489,-2.5939632977817952,-2.4753816887949593
1952,0.7846234074215475,1.482962857096845,-3.5138317051822585
1956,1.749824032208432,-2.814486718631046,-2.199126485446824
1960,-0.8576773849144996,-0.013695672217866522,-1.5160850407319963
1964,-5.29924422508669,-0.13516283725517372,-1.373797977320178
1968,-3.6002819456349986,-0.050690587716135,-2.0260107855370046
1972,-4.127402175462149,-3.4322187456945197,0.6965161997083813
1976,-1.1609628459851495,-1.1785115942109199,-3.112075910352404
1980,-3.207535643321224,0.5043080778210263,-2.7262267793810926
1984,-3.39056787597103,-1.8528033772703831,-0.18184261328885404
1988,-3.18133607559166,-3.5161722733441585,0.5293612425558241
1992,-2.1641646689526564,-0.7605927839795085,-0.08271550150004471
1996,-3.874241644936043,1.2227111599274196,0.06488554043256148
2000,-4.3901178051154215,3.2646784307097674,1.7769032763756738
2004,-4.4291354717747575,2.300201744444863,2.7313595908713766
2008,-3.8024503242042176,2.3722054822314407,4.407745939148393
2012,-4.212333223841079,3.274445852547057,4.915015182146686
2016,-2.8195496246155005,3.898663865080396,6.30307113732321
2020,-2.9205537233871417,4.077825667935859,6.4524154485392105
2024,-2.712027742248386,3.3222174953169947,6.541313325825219
