year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
1916,7.331216941710395,-1.2550905385846358,-1.0716945052896079,4.759650599233095,0.9385720673549246,-0.26215124105635085,0.0355224761414208,-2.0088856988552184,-0.4220841714758558,-1.9401358124924055,-1.4010895417985991,0.27221732990392866
1920,8.320747436214775,3.5845611830787227,-4.919295269464256,2.4714996147159707,0.3982618842151096,0.21978426896693085,-0.03919336523509074,-2.055397118912824,-1.511908470464759,1.4538286937321896,0.24453491098653418,1.0533005014012797
1924,9.198129105709507,0.3761642794340757,-5.878510275959854,0.9152614582244695,-0.01310509861179904,0.48153719942627615,-0.3199402165621295,1.7740268315273426,-1.2678580499054175,1.905741845729707,1.829048262138071,-0.0997780912925706
1928,2.61556709177559,-2.8396354362555867,-3.152567760215209,-2.018694631420129,0.25350711356876005,1.0080923392569847,-0.11665732223112578,2.611398686234295,-2.1439799183275063,-2.5306767679013187,0.11086123435318544,0.2811958357335109
1932,6.969492057478376,-5.4817715871204165,-0.9376122522153217,1.836445564666875,-0.13757153322132046,-0.6960442479959397,0.13397473270775698,2.581661369788769,2.112791951316766,0.9881173116346901,-0.5265419685893316,0.4938649235236869
1936,6.309352575059652,-3.342945288680862,1.3824192698379758,-0.04388187497818831,1.0340283844680367,-0.39723827508859216,0.028596079833222172,-0.373460371707048,2.453624139428748,0.17909944201702951,-1.3124446885411214,0.33689102417931877
1940,6.0652751941368965,1.1015757552994927,-0.18053791243273443,-1.96467848444894,0.6961827182781156,-0.7045088284666405,0.42580428665532505,-0.5649501816961213,0.3006730010962245,-0.18081541529740638,-0.8717389336592919,-0.8845780679988363
1944,4.471989554937385,0.9336948368932836,-0.179318933882579,-2.457479057346905,0.5558944972664881,-0.5318650798123694,0.3246481422236535,-0.0214222321782491,0.47479084300600055,-0.8809684836011709,-1.4525228582876772,-0.6313332336405282
1948,2.619749573650142,-1.154647882197617,-2.314542858939661,1.0692482496081495,0.5069678906422623,-0.10543025946538986,0.011728515795118098,0.479355372436455,1.4137412034853372,0.31604856745112164,-3.081816602185547,-1.2764104183633094
1952,1.0088919487794852,2.7853984783538968,-2.3893741511475994,-1.9308840537434873,0.15821013742731807,0.08188271391862308,0.0312439095072574,0.0964569099348776,1.7789324914398834,-0.9409410656690796,-2.087589234262351,0.32264035836908844
1956,1.8233709917199068,-0.7628789706997607,-1.6036309653746583,0.3001066678300034,0.29663355972938643,-0.13731204825992432,0.439599061769725,-0.23163805993900027,3.417459813222283,0.8472552727003199,-2.346114476221485,1.7298641583943781
1960,-0.6857660621045698,0.24772894436993703,-0.722812499633572,-1.401411849684283,2.086021325692433,-0.06163238459190479,1.6678471902423406,0.735183948895067,-0.4467294515849383,-1.0709873225714457,-0.9057993099916329,0.6286212071755285
1964,-5.41521666933374,-0.7939727084093288,-1.2592158012422914,0.6909945162230576,3.5973649372786536,-3.581951521364286,-2.1446501500131383,-1.70189028478836,-1.6640680183594774,0.21780275953737946,-0.07666398496622169,-0.673885572277745
1968,-3.220660550438297,0.14196678347314207,-0.8752298923518764,-0.8826987596264321,1.905742162036339,-1.5797073842511682,-0.10654070414485749,-0.7174917927658129,0.43445162250902586,-2.638467524369463,-0.4014793544820646,-0.11962823659702584
1972,-4.032991161889047,-3.175693221439314,0.7728801944296892,0.5451307228530997,1.9876109637304396,1.0303805803534403,2.340294758163621,-1.4250613870480071,0.12523392337234882,0.7970117344511596,-0.5304183309965413,0.5433423631078746
1976,-0.8127593109171438,-0.521591330489966,-2.4495702198368,0.002146670895358931,-1.2294564321722843,-1.796246810685141,2.2262902311914354,-0.34976026293176665,1.8377562940875425,-0.8879497088214913,0.41858357429222076,0.5607380594901553
1980,-2.842338149146984,1.1382138223686387,-2.215521885037099,-0.8894969314125234,-0.918075066593604,-0.3514653471076519,0.7711404505412754,-0.7151273359007732,2.841370555736729,-1.2114790051438606,1.6167846001991648,-0.6753064589666278
1984,-3.1539847076099763,-1.3589758231785043,-0.33031365257175915,-0.4275422863964642,-0.831079788316928,2.164915995239825,1.276582043750841,-1.019187352257993,2.565025943844478,0.28912635060025843,0.8084453351581625,-0.8326044173679678
1988,-3.2567545948899737,-2.9997055568896305,-0.10100210168347365,1.489704315818902,-0.13944862350596074,0.5931503305790353,0.21239128297395082,-0.6402314941939875,1.914818328725801,1.223717357747197,-0.12069903344641124,-1.3599194206077758
1992,-2.202133083613914,-0.35533186186595084,0.033429473785500034,0.777492564395552,-0.20337653983628645,-0.6489516868193373,1.3267888535970087,-0.4024744275905354,0.086367672478678,0.7654530724058964,-0.6092384353065791,-0.19500178698943432
1996,-3.6239135639952416,-0.0474236287123263,0.27526693808800895,-1.5680930467778442,-1.7441366835871612,-1.0204113390102068,0.0672750568839973,-0.4480490976006876,-1.4960688842385639,-0.4683643436793241,-0.12966946242664337,-0.6597093992917223
2000,-4.359249323734354,1.7918641520080503,1.5681304925321606,-1.5138359597401798,-2.934115611673725,-0.24120030079085944,-0.1319785836377708,0.4198653930297274,-1.6316846389963255,-0.3043977368007668,0.9748915564801939,-0.28223790803592963
2004,-4.387507700494562,1.1163877755824232,2.5820716323032804,-0.857873685915784,-1.92837696962046,0.5915609299114328,0.5154815690511457,-0.6598502368443274,-1.7498790802219935,0.4072615506075109,0.8606878021853794,-0.27510926317921036
2008,-4.214998325558722,0.5292985305790081,3.086947866940778,-0.19153207364067604,-2.140231137026925,1.139486452996942,-2.718231756851297,-0.5379770847254586,-1.9834201851058895,1.3493697401615485,1.073388564885652,1.0847203398793737
2012,-4.499842851469919,1.415904203984092,3.934316692416828,-0.5796590741886443,-1.5544205027842624,0.8312778529626992,-2.682387266064932,-0.2953872924178976,-2.0071876143488687,0.8103266619727517,1.908769491902198,0.5537799299183472
2016,-3.192919173341275,2.9306089405820703,5.730569621770942,-0.2942002177317211,-0.6518287019634225,1.2859966413585018,-1.4246842597874596,1.9871718953776933,-1.6671345637582755,0.14714239583608082,1.7816210025067125,0.13643718853217274
2020,-3.4767031270984248,3.209535302877481,5.654990704130656,0.6474747738906366,-0.2240924370630039,1.1348617759328854,-1.0660752562795168,2.112852295333512,-2.058304639436121,0.3661475179340242,2.1236038150953442,0.04260518298127204
2024,-3.3560441155359655,2.786760845639583,5.5597280510425335,1.51680626869703,0.23431748428887672,1.5531896738621873,-1.0848697602217694,1.3702690097963315,-1.7067300975258533,0.9917329118288739,2.1026060649786764,-0.07471612798123091
