year,state,abbr,class,race_type,round,caption,results,total_votes,winner,runner_up,color,source_url
2024,Arizona,AZ,I,regular,General,2024 United States Senate election in Arizona,"{""Ruben Gallego"": {""party"": ""Democratic"", ""votes"": 1676335, ""pct"": 50.06}, ""Kari Lake"": {""party"": ""Republican"", ""votes"": 1595761, ""pct"": 47.65}, ""Eduardo Heredia Quintana"": {""party"": ""Green"", ""votes"": 75868, ""pct"": 2.27}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 850, ""pct"": 0.02}}",3348814,Ruben Gallego,Kari Lake,deepskyblue,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Arizona
2024,Connecticut,CT,I,regular,General,2024 United States Senate election in Connecticut,"{""Chris Murphy"": {""party"": ""Democratic"", ""votes"": 1000695, ""pct"": 58.58}, ""Matthew Corey"": {""party"": ""Republican"", ""votes"": 678256, ""pct"": 39.7}, ""Robert F. Hyde"": {""party"": ""Cheaper Gas Groceries"", ""votes"": 14879, ""pct"": 0.87}, ""Justin Paglino"": {""party"": ""Green"", ""votes"": 14422, ""pct"": 0.84}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 7, ""pct"": 0.0}}",1708259,Chris Murphy,Matthew Corey,deepskyblue,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Connecticut
2024,Delaware,DE,I,regular,General,"United States Senate election in Delaware, 2024","{""Lisa Blunt Rochester"": {""party"": ""Democratic"", ""votes"": 283298, ""pct"": 56.59}, ""Eric Hansen"": {""party"": ""Republican"", ""votes"": 197753, ""pct"": 39.5}, ""Michael Katz"": {""party"": ""Independent Party"", ""votes"": 19555, ""pct"": 3.91}}",500606,Lisa Blunt Rochester,Eric Hansen,deepskyblue,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Delaware
2024,Florida,FL,I,regular,General,2024 United States Senate election in Florida,"{""Rick Scott"": {""party"": ""Republican"", ""votes"": 5977706, ""pct"": 55.57}, ""Debbie Mucarsel-Powell"": {""party"": ""Democratic"", ""votes"": 4603077, ""pct"": 42.79}, ""Ben Everidge"": {""party"": ""Independent"", ""votes"": 62683, ""pct"": 0.58}, ""Feena Bonoan"": {""party"": ""Libertarian"", ""votes"": 57363, ""pct"": 0.53}, ""Tuan TQ Nguyen"": {""party"": ""Independent"", ""votes"": 56586, ""pct"": 0.53}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 13, ""pct"": 0.0}}",10757428,Rick Scott,Debbie Mucarsel-Powell,red,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Florida
2024,Hawaii,HI,I,regular,General,2024 United States Senate election in Hawaii,"{""Mazie Hirono"": {""party"": ""Democratic"", ""votes"": 324194, ""pct"": 64.61}, ""Bob McDermott"": {""party"": ""Republican"", ""votes"": 160075, ""pct"": 31.9}, ""Shelby Billionaire"": {""party"": ""We the People"", ""votes"": 9224, ""pct"": 1.84}, ""Emma Pohlman"": {""party"": ""Green"", ""votes"": 8270, ""pct"": 1.65}}",501763,Mazie Hirono,Bob McDermott,deepskyblue,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Hawaii
2024,Indiana,IN,I,regular,General,2024 United States Senate election in Indiana,"{""Jim Banks"": {""party"": ""Republican"", ""votes"": 1659416, ""pct"": 58.64}, ""Valerie McCray"": {""party"": ""Democratic"", ""votes"": 1097061, ""pct"": 38.77}, ""Andrew Horning"": {""party"": ""Libertarian"", ""votes"": 73233, ""pct"": 2.59}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 187, ""pct"": 0.0}}",2829897,Jim Banks,Valerie McCray,red,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Indiana
2024,Maine,ME,I,regular,General,2024 United States Senate election in Maine,"{""Angus King"": {""party"": ""Independent"", ""votes"": 427331, ""pct"": 52.06}, ""Demi Kouzounas"": {""party"": ""Republican"", ""votes"": 284338, ""pct"": 34.64}, ""David Costello"": {""party"": ""Democratic"", ""votes"": 88891, ""pct"": 10.83}, ""Jason Cherry"": {""party"": ""Independent"", ""votes"": 20222, ""pct"": 2.46}}",820782,Angus King,Demi Kouzounas,yellow,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Maine
2024,Maryland,MD,I,regular,General,2024 United States Senate election in Maryland,"{""Angela Alsobrooks"": {""party"": ""Democratic"", ""votes"": 1650912, ""pct"": 54.64}, ""Larry Hogan"": {""party"": ""Republican"", ""votes"": 1294344, ""pct"": 42.84}, ""Mike Scott"": {""party"": ""Libertarian"", ""votes"": 69396, ""pct"": 2.3}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 6726, ""pct"": 0.22}}",3021378,Angela Alsobrooks,Larry Hogan,deepskyblue,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Maryland
2024,Massachusetts,MA,I,regular,General,2024 United States Senate election in Massachusetts,"{""Elizabeth Warren"": {""party"": ""Democratic"", ""votes"": 2041668, ""pct"": 59.81}, ""John Deaton"": {""party"": ""Republican"", ""votes"": 1365440, ""pct"": 40.0}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 6221, ""pct"": 0.18}}",3413329,Elizabeth Warren,John Deaton,deepskyblue,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Massachusetts
2024,Michigan,MI,I,regular,General,2024 United States Senate election in Michigan,"{""Elissa Slotkin"": {""party"": ""Democratic"", ""votes"": 2712686, ""pct"": 48.64}, ""Mike Rogers"": {""party"": ""Republican"", ""votes"": 2693680, ""pct"": 48.3}, ""Joseph Solis-Mullen"": {""party"": ""Libertarian"", ""votes"": 56697, ""pct"": 1.02}, ""Douglas Marsh"": {""party"": ""Green"", ""votes"": 53978, ""pct"": 0.97}, ""Dave Stein"": {""party"": ""Constitution"", ""votes"": 41363, ""pct"": 0.74}, ""Doug Dern"": {""party"": ""Natural Law"", ""votes"": 18779, ""pct"": 0.34}}",5577183,Elissa Slotkin,Mike Rogers,deepskyblue,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Michigan
2024,Minnesota,MN,I,regular,General,2024 United States Senate election in Minnesota,"{""Amy Klobuchar"": {""party"": ""Democratic (DFL)"", ""votes"": 1792441, ""pct"": 56.2}, ""Royce White"": {""party"": ""Republican"", ""votes"": 1291712, ""pct"": 40.5}, ""Rebecca Whiting"": {""party"": ""Libertarian"", ""votes"": 55215, ""pct"": 1.73}, ""Joyce Lacey"": {""party"": ""Independence"", ""votes"": 46377, ""pct"": 1.45}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 3578, ""pct"": 0.11}}",3189323,Amy Klobuchar,Royce White,deepskyblue,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Minnesota
2024,Mississippi,MS,I,regular,General,2024 United States Senate election in Mississippi,"{""Roger Wicker"": {""party"": ""Republican"", ""votes"": 763420, ""pct"": 62.81}, ""Ty Pinkins"": {""party"": ""Democratic"", ""votes"": 451981, ""pct"": 37.19}}",1215401,Roger Wicker,Ty Pinkins,red,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Mississippi
2024,Missouri,MO,I,regular,General,2024 United States Senate election in Missouri,"{""Josh Hawley"": {""party"": ""Republican"", ""votes"": 1651907, ""pct"": 55.57}, ""Lucas Kunce"": {""party"": ""Democratic"", ""votes"": 1243728, ""pct"": 41.84}, ""W.C. Young"": {""party"": ""Libertarian"", ""votes"": 35671, ""pct"": 1.2}, ""Jared Young"": {""party"": ""Better Party"", ""votes"": 21111, ""pct"": 0.71}, ""Nathan Kline"": {""party"": ""Green"", ""votes"": 20123, ""pct"": 0.68}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 19, ""pct"": 0.0}}",2972559,Josh Hawley,Lucas Kunce,red,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Missouri
2024,Montana,MT,I,regular,General,2024 United States Senate election in Montana,"{""Tim Sheehy"": {""party"": ""Republican"", ""votes"": 319682, ""pct"": 52.64}, ""Jon Tester"": {""party"": ""Democratic"", ""votes"": 276305, ""pct"": 45.5}, ""Sid Daoud"": {""party"": ""Libertarian"", ""votes"": 7272, ""pct"": 1.2}, ""Robert Barb"": {""party"": ""Green"", ""votes"": 4003, ""pct"": 0.66}}",607262,Tim Sheehy,Jon Tester,red,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Montana
