year,state,abbr,class,race_type,round,caption,results,winner,runner_up,color,source_url
2000,Arizona,AZ,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 1397076, ""pct"": NaN}, ""Jon Kyl (Incumbent)"": {""party"": ""Republican"", ""votes"": 1108196, ""pct"": 79.32}, ""Majority"": {""party"": ""Majority"", ""votes"": 998966, ""pct"": 71.5}, ""William Toel"": {""party"": ""Independent"", ""votes"": 109230, ""pct"": 7.82}, ""Vance Hansen"": {""party"": ""Green"", ""votes"": 108926, ""pct"": 7.8}, ""Barry Hess"": {""party"": ""Libertarian"", ""votes"": 70724, ""pct"": 5.06}}",Turnout,Jon Kyl (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Arizona
2000,California,CA,I,regular,General,"2000 U.S. Senate election, California","{""Dianne Feinstein (incumbent)"": {""party"": ""Democratic"", ""votes"": 5932522, ""pct"": 55.84}, ""Tom Campbell"": {""party"": ""Republican"", ""votes"": 3886853, ""pct"": 36.59}, ""Invalid or blank votes"": {""party"": ""Invalid or blank votes"", ""votes"": 519233, ""pct"": 4.66}, ""Medea Susan Benjamin"": {""party"": ""Green"", ""votes"": 326828, ""pct"": 3.08}, ""Gail Lightfoot"": {""party"": ""Libertarian"", ""votes"": 187718, ""pct"": 1.77}, ""Diane Beall Templin"": {""party"": ""American Independent"", ""votes"": 134598, ""pct"": 1.27}, ""Jose Luis Olivares Camahort"": {""party"": ""Reform"", ""votes"": 96552, ""pct"": 0.91}, ""Brian M. Rees"": {""party"": ""Natural Law"", ""votes"": 58537, ""pct"": 0.55}, ""Turnout"": {""party"": ""Turnout"", ""votes"": 5192, ""pct"": 51.92}}",Dianne Feinstein (incumbent),Tom Campbell,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_California
2000,Connecticut,CT,I,regular,General,General election results,"{""Joe Lieberman (incumbent)"": {""party"": ""Democratic"", ""votes"": 828902, ""pct"": 63.21}, ""Philip Giordano"": {""party"": ""Republican"", ""votes"": 448077, ""pct"": 34.17}, ""William Kozak"": {""party"": ""Concerned Citizens"", ""votes"": 25509, ""pct"": 1.95}, ""Wildey J. Moore"": {""party"": ""Libertarian"", ""votes"": 8773, ""pct"": 0.67}}",Joe Lieberman (incumbent),Philip Giordano,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Connecticut
2000,Delaware,DE,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 326993, ""pct"": NaN}, ""Tom Carper"": {""party"": ""Democratic"", ""votes"": 181566, ""pct"": 55.53}, ""William Roth (incumbent)"": {""party"": ""Republican"", ""votes"": 142891, ""pct"": 43.7}, ""Majority"": {""party"": ""Majority"", ""votes"": 38675, ""pct"": 11.83}, ""J. Burke Morrison"": {""party"": ""Libertarian"", ""votes"": 1103, ""pct"": 0.34}, ""Mark E. Dankof"": {""party"": ""Constitution"", ""votes"": 1044, ""pct"": 0.32}, ""Robert Mattson"": {""party"": ""Natural Law"", ""votes"": 389, ""pct"": 0.12}}",Turnout,Tom Carper,yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Delaware
2000,Florida,FL,I,regular,General,General election results,"{""Bill Nelson"": {""party"": ""Democratic"", ""votes"": 2989487, ""pct"": 51.04}, ""Bill McCollum"": {""party"": ""Republican"", ""votes"": 2705348, ""pct"": 46.19}, ""Willie Logan"": {""party"": ""Independent"", ""votes"": 80830, ""pct"": 1.38}, ""Joe Simonetta"": {""party"": ""Natural Law"", ""votes"": 26087, ""pct"": 0.45}, ""Darrell L. McCormick"": {""party"": ""Independent"", ""votes"": 21664, ""pct"": 0.37}, ""Joel Deckard"": {""party"": ""Reform"", ""votes"": 17338, ""pct"": 0.3}, ""Andy Martin"": {""party"": ""Independent"", ""votes"": 15889, ""pct"": 0.27}, ""Nikki Oldaker"": {""party"": ""Write-in"", ""votes"": 88, ""pct"": 0.0}}",Bill Nelson,Bill McCollum,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Florida
2000,Hawaii,HI,I,regular,General,General election results,"{""Daniel Akaka (Incumbent)"": {""party"": ""Democratic"", ""votes"": 251215, ""pct"": 72.68}, ""John Carroll"": {""party"": ""Republican"", ""votes"": 84701, ""pct"": 24.51}, ""Lauri A. Clegg"": {""party"": ""Natural Law"", ""votes"": 4220, ""pct"": 1.21}, ""Lloyd Jeffrey Mallan"": {""party"": ""Libertarian"", ""votes"": 3127, ""pct"": 0.9}, ""David Porter"": {""party"": ""Constitution"", ""votes"": 2360, ""pct"": 0.68}}",Daniel Akaka (Incumbent),John Carroll,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Hawaii
2000,Indiana,IN,I,regular,General,"2000 United States Senate election, Indiana","{""Turnout"": {""party"": ""Turnout"", ""votes"": 2145209, ""pct"": 55.0}, ""Richard Lugar (Incumbent)"": {""party"": ""Republican"", ""votes"": 1427944, ""pct"": 66.56}, ""Majority"": {""party"": ""Majority"", ""votes"": 744671, ""pct"": 34.71}, ""David Johnson"": {""party"": ""Democratic"", ""votes"": 683273, ""pct"": 31.85}, ""Paul Hager"": {""party"": ""Libertarian"", ""votes"": 33992, ""pct"": 1.58}}",Turnout,Richard Lugar (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Indiana
2000,Maine,ME,I,regular,General,"United States Senate election in Maine, 2000","{""Turnout"": {""party"": ""Turnout"", ""votes"": 634872, ""pct"": NaN}, ""Olympia Snowe (Incumbent)"": {""party"": ""Republican"", ""votes"": 437689, ""pct"": 68.94}, ""Majority"": {""party"": ""Majority"", ""votes"": 240506, ""pct"": 37.88}, ""Mark W. Lawrence"": {""party"": ""Democratic"", ""votes"": 197183, ""pct"": 31.06}}",Turnout,Olympia Snowe (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Maine
2000,Maryland,MD,I,regular,General,General election results,"{""Paul Sarbanes (incumbent)"": {""party"": ""Democratic"", ""votes"": 1230013, ""pct"": 63.18}, ""Paul Rappaport"": {""party"": ""Republican"", ""votes"": 715178, ""pct"": 36.73}, ""Write Ins"": {""party"": ""Other"", ""votes"": 1594, ""pct"": 0.08}, ""Corrogan R. Vaughn (Write In)"": {""party"": ""Independent"", ""votes"": 113, ""pct"": 0.01}}",Paul Sarbanes (incumbent),Paul Rappaport,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Maryland
2000,Massachusetts,MA,I,regular,General,General election results,"{""Ted Kennedy (incumbent)"": {""party"": ""Democratic"", ""votes"": 1889494, ""pct"": 72.69}, ""Jack E. Robinson III"": {""party"": ""Republican"", ""votes"": 334341, ""pct"": 12.86}, ""Carla Howell"": {""party"": ""Libertarian"", ""votes"": 308860, ""pct"": 11.88}, ""Philip F. Lawler"": {""party"": ""Constitution"", ""votes"": 42113, ""pct"": 1.62}, ""Dale E. Friedgen"": {""party"": ""Independent"", ""votes"": 13687, ""pct"": 0.53}, ""Philip Hyde III"": {""party"": ""Independent"", ""votes"": 8452, ""pct"": 0.33}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2473, ""pct"": 0.1}}",Ted Kennedy (incumbent),Jack E. Robinson III,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Massachusetts
