year,state,abbr,class,race_type,round,caption,results,winner,runner_up,color,source_url
2014,Alabama,AL,II,regular,General,"United States Senate election in Alabama, 2014","{""Jeff Sessions (incumbent)"": {""party"": ""Republican"", ""votes"": 795606, ""pct"": 97.25}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 22484, ""pct"": 2.75}}",Jeff Sessions (incumbent),Write-in,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Alabama
2014,Alaska,AK,II,regular,General,2014 United States Senate election in Alaska,"{""Dan Sullivan"": {""party"": ""Republican"", ""votes"": 135445, ""pct"": 47.96}, ""Mark Begich (incumbent)"": {""party"": ""Democratic"", ""votes"": 129431, ""pct"": 45.83}, ""Mark Fish"": {""party"": ""Libertarian"", ""votes"": 10512, ""pct"": 3.72}, ""Ted Gianoutsos"": {""party"": ""Independent"", ""votes"": 5636, ""pct"": 2.0}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1376, ""pct"": 0.49}}",Dan Sullivan,Mark Begich (incumbent),red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Alaska
2014,Arkansas,AR,II,regular,General,"United States Senate election in Arkansas, 2014","{""Tom Cotton"": {""party"": ""Republican"", ""votes"": 478819, ""pct"": 56.5}, ""Mark Pryor (incumbent)"": {""party"": ""Democratic"", ""votes"": 334174, ""pct"": 39.43}, ""Nathan LaFrance"": {""party"": ""Libertarian"", ""votes"": 17210, ""pct"": 2.03}, ""Mark Swaney"": {""party"": ""Green"", ""votes"": 16797, ""pct"": 1.98}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 505, ""pct"": 0.06}}",Tom Cotton,Mark Pryor (incumbent),red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Arkansas
2014,Colorado,CO,II,regular,General,"United States Senate election in Colorado, 2014","{""Cory Gardner"": {""party"": ""Republican"", ""votes"": 983891, ""pct"": 48.21}, ""Mark Udall (incumbent)"": {""party"": ""Democratic"", ""votes"": 944203, ""pct"": 46.26}, ""Gaylon Kent"": {""party"": ""Libertarian"", ""votes"": 52876, ""pct"": 2.59}, ""Steve Shogan"": {""party"": ""Independent"", ""votes"": 29472, ""pct"": 1.44}, ""Raúl Acosta"": {""party"": ""Independent"", ""votes"": 24151, ""pct"": 1.18}, ""Bill Hammons"": {""party"": ""Unity"", ""votes"": 6427, ""pct"": 0.32}}",Cory Gardner,Mark Udall (incumbent),red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Colorado
2014,Delaware,DE,II,regular,General,"United States Senate election in Delaware, 2014","{""Chris Coons (incumbent)"": {""party"": ""Democratic"", ""votes"": 130655, ""pct"": 55.83}, ""Kevin Wade"": {""party"": ""Republican"", ""votes"": 98823, ""pct"": 42.23}, ""Andrew Groff"": {""party"": ""Green"", ""votes"": 4560, ""pct"": 1.95}}",Chris Coons (incumbent),Kevin Wade,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Delaware
2014,Georgia,GA,II,regular,General,"United States Senate election in Georgia, 2014","{""David Perdue"": {""party"": ""Republican"", ""votes"": 1358088, ""pct"": 52.89}, ""Michelle Nunn"": {""party"": ""Democratic"", ""votes"": 1160811, ""pct"": 45.21}, ""Amanda Swafford"": {""party"": ""Libertarian"", ""votes"": 48862, ""pct"": 1.9}}",David Perdue,Michelle Nunn,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Georgia
2014,Idaho,ID,II,regular,General,"United States Senate election in Idaho, 2014","{""Jim Risch (incumbent)"": {""party"": ""Republican"", ""votes"": 285596, ""pct"": 65.33}, ""Nels Mitchell"": {""party"": ""Democratic"", ""votes"": 151574, ""pct"": 34.67}}",Jim Risch (incumbent),Nels Mitchell,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Idaho
2014,Illinois,IL,II,regular,General,"United States Senate election in Illinois, 2014","{""Dick Durbin (incumbent)"": {""party"": ""Democratic"", ""votes"": 1929637, ""pct"": 53.55}, ""Jim Oberweis"": {""party"": ""Republican"", ""votes"": 1538522, ""pct"": 42.69}, ""Sharon Hansen"": {""party"": ""Libertarian"", ""votes"": 135316, ""pct"": 3.76}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 44, ""pct"": 0.0}}",Dick Durbin (incumbent),Jim Oberweis,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Illinois
2014,Iowa,IA,II,regular,General,"United States Senate election in Iowa, 2014","{""Joni Ernst"": {""party"": ""Republican"", ""votes"": 588575, ""pct"": 52.1}, ""Bruce Braley"": {""party"": ""Democratic"", ""votes"": 494370, ""pct"": 43.76}, ""Rick Stewart"": {""party"": ""Independent"", ""votes"": 26815, ""pct"": 2.37}, ""Douglas Butzier"": {""party"": ""Libertarian"", ""votes"": 8232, ""pct"": 0.73}, ""Bob Quast"": {""party"": ""Independent"", ""votes"": 5873, ""pct"": 0.52}, ""Ruth Smith"": {""party"": ""Independent"", ""votes"": 4724, ""pct"": 0.42}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1111, ""pct"": 0.1}}",Joni Ernst,Bruce Braley,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Iowa
2014,Kansas,KS,II,regular,General,"United States Senate election in Kansas, 2014","{""Pat Roberts (incumbent)"": {""party"": ""Republican"", ""votes"": 460350, ""pct"": 53.15}, ""Greg Orman"": {""party"": ""Independent"", ""votes"": 368372, ""pct"": 42.53}, ""Randall Batson"": {""party"": ""Libertarian"", ""votes"": 37469, ""pct"": 4.32}}",Pat Roberts (incumbent),Greg Orman,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Kansas
