year,state,abbr,class,race_type,round,caption,results,total_votes,winner,runner_up,color,source_url
2022,Florida,FL,III,regular,General,"United States Senate election in Florida, 2022","{""Marco Rubio"": {""party"": ""Republican"", ""votes"": 4474847, ""pct"": 57.68}, ""Val Demings"": {""party"": ""Democratic"", ""votes"": 3201522, ""pct"": 41.27}, ""Dennis Misigoy"": {""party"": ""Libertarian"", ""votes"": 32177, ""pct"": 0.41}, ""Steven B. Grant"": {""party"": ""Independent"", ""votes"": 31816, ""pct"": 0.41}, ""Tuan TQ Nguyen"": {""party"": ""Independent"", ""votes"": 17385, ""pct"": 0.22}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 267, ""pct"": 0.0}}",7758014,Marco Rubio,Val Demings,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Florida
2022,Georgia,GA,III,regular,General,2022 United States Senate election in Georgia,"{""Raphael Warnock"": {""party"": ""Democratic"", ""votes"": 1946117, ""pct"": 49.44}, ""Herschel Walker"": {""party"": ""Republican"", ""votes"": 1908442, ""pct"": 48.49}, ""Chase Oliver"": {""party"": ""Libertarian"", ""votes"": 81365, ""pct"": 2.07}}",3935924,Raphael Warnock,Herschel Walker,blue,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Georgia#Runoff
2022,Hawaii,HI,III,regular,General,2022 United States Senate election in Hawaii,"{""Brian Schatz"": {""party"": ""Democratic"", ""votes"": 290894, ""pct"": 71.21}, ""Bob McDermott"": {""party"": ""Republican"", ""votes"": 106358, ""pct"": 26.04}, ""Feena Bonoan"": {""party"": ""Libertarian"", ""votes"": 4915, ""pct"": 1.2}, ""Emma Jane Pohlman"": {""party"": ""Green"", ""votes"": 4142, ""pct"": 1.01}, ""Dan Decker"": {""party"": ""Aloha ʻĀina"", ""votes"": 2208, ""pct"": 0.54}}",408517,Brian Schatz,Bob McDermott,blue,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Hawaii
2022,Idaho,ID,III,regular,General,2022 United States Senate election in Idaho,"{""Mike Crapo"": {""party"": ""Republican"", ""votes"": 358539, ""pct"": 60.68}, ""David Roth"": {""party"": ""Democratic"", ""votes"": 169808, ""pct"": 28.74}, ""Scott Cleveland"": {""party"": ""Independent"", ""votes"": 49917, ""pct"": 8.45}, ""Ray Writz"": {""party"": ""Constitution"", ""votes"": 8500, ""pct"": 1.44}, ""Idaho Sierra Law"": {""party"": ""Libertarian"", ""votes"": 4126, ""pct"": 0.7}}",590890,Mike Crapo,David Roth,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Idaho
2022,Illinois,IL,III,regular,General,2022 United States Senate election in Illinois,"{""68,705"": {""party"": """", ""votes"": 4098896, ""pct"": NaN}, ""Tammy Duckworth"": {""party"": ""Democratic"", ""votes"": 2329136, ""pct"": 56.82}, ""Kathy Salvi"": {""party"": ""Republican"", ""votes"": 1701055, ""pct"": 41.5}, ""20,300"": {""party"": """", ""votes"": 1441922, ""pct"": NaN}, ""5,818"": {""party"": """", ""votes"": 341740, ""pct"": NaN}, ""3,551"": {""party"": """", ""votes"": 233321, ""pct"": NaN}, ""3,300"": {""party"": """", ""votes"": 229413, ""pct"": NaN}, ""2,693"": {""party"": """", ""votes"": 157941, ""pct"": NaN}, ""2,322"": {""party"": """", ""votes"": 116350, ""pct"": NaN}, ""1,883"": {""party"": """", ""votes"": 98014, ""pct"": NaN}, ""1,634"": {""party"": """", ""votes"": 88603, ""pct"": NaN}, ""1,646"": {""party"": """", ""votes"": 88002, ""pct"": NaN}, ""2,221"": {""party"": """", ""votes"": 79666, ""pct"": NaN}, ""Bill Redpath"": {""party"": ""Libertarian"", ""votes"": 68671, ""pct"": 1.68}, ""1,247"": {""party"": """", ""votes"": 67794, ""pct"": NaN}, ""1,286"": {""party"": """", ""votes"": 64827, ""pct"": NaN}, ""1,075"": {""party"": """", ""votes"": 59035, ""pct"": NaN}, ""1,168"": {""party"": """", ""votes"": 51324, ""pct"": NaN}, ""955"": {""party"": """", ""votes"": 47972, ""pct"": NaN}, ""820"": {""party"": """", ""votes"": 45265, ""pct"": NaN}, ""380"": {""party"": """", ""votes"": 45056, ""pct"": NaN}, ""698"": {""party"": """", ""votes"": 39578, ""pct"": NaN}, ""628"": {""party"": """", ""votes"": 35243, ""pct"": NaN}, ""767"": {""party"": """", ""votes"": 35108, ""pct"": NaN}, ""747"": {""party"": """", ""votes"": 34498, ""pct"": NaN}, ""293"": {""party"": """", ""votes"": 32379, ""pct"": NaN}, ""228"": {""party"": """", ""votes"": 31002, ""pct"": NaN}, ""313"": {""party"": """", ""votes"": 29880, ""pct"": NaN}, ""351"": {""party"": """", ""votes"": 24936, ""pct"": NaN}, ""382"": {""party"": """", ""votes"": 21964, ""pct"": NaN}, ""389"": {""party"": """", ""votes"": 19652, ""pct"": NaN}, ""377"": {""party"": """", ""votes"": 19402, ""pct"": NaN}, ""419"": {""party"": """", ""votes"": 19370, ""pct"": NaN}, ""346"": {""party"": """", ""votes"": 17748, ""pct"": NaN}, ""364"": {""party"": """", ""votes"": 17566, ""pct"": NaN}, ""338"": {""party"": """", ""votes"": 17517, ""pct"": NaN}, ""287"": {""party"": """", ""votes"": 17089, ""pct"": NaN}, ""337"": {""party"": """", ""votes"": 16644, ""pct"": NaN}, ""233"": {""party"": """", ""votes"": 15670, ""pct"": NaN}, ""255"": {""party"": """", ""votes"": 14773, ""pct"": NaN}, ""135"": {""party"": """", ""votes"": 14252, ""pct"": NaN}, ""121"": {""party"": """", ""votes"": 14210, ""pct"": NaN}, ""222"": {""party"": """", ""votes"": 13116, ""pct"": NaN}, ""219"": {""party"": """", ""votes"": 12898, ""pct"": NaN}, ""224"": {""party"": """", ""votes"": 12798, ""pct"": NaN}, ""213"": {""party"": """", ""votes"": 12670, ""pct"": NaN}, ""330"": {""party"": """", ""votes"": 12417, ""pct"": NaN}, ""204"": {""party"": """", ""votes"": 12002, ""pct"": NaN}, ""189"": {""party"": """", ""votes"": 11327, ""pct"": NaN}, ""108"": {""party"": """", ""votes"": 11302, ""pct"": NaN}, ""251"": {""party"": """", ""votes"": 11027, ""pct"": NaN}, ""198"": {""party"": """", ""votes"": 10438, ""pct"": NaN}, ""91"": {""party"": """", ""votes"": 10248, ""pct"": NaN}, ""71"": {""party"": """", ""votes"": 9675, ""pct"": NaN}, ""273"": {""party"": """", ""votes"": 9668, ""pct"": NaN}, ""186"": {""party"": """", ""votes"": 9667, ""pct"": NaN}, ""167"": {""party"": """", ""votes"": 9465, ""pct"": NaN}, ""159"": {""party"": """", ""votes"": 9386, ""pct"": NaN}, ""210"": {""party"": """", ""votes"": 9260, ""pct"": NaN}, ""88"": {""party"": """", ""votes"": 8801, ""pct"": NaN}, ""137"": {""party"": """", ""votes"": 8005, ""pct"": NaN}, ""175"": {""party"": """", ""votes"": 7615, ""pct"": NaN}, ""150"": {""party"": """", ""votes"": 7202, ""pct"": NaN}, ""132"": {""party"": """", ""votes"": 6965, ""pct"": NaN}, ""158"": {""party"": """", ""votes"": 6943, ""pct"": NaN}, ""99"": {""party"": """", ""votes"": 6765, ""pct"": NaN}, ""139"": {""party"": """", ""votes"": 6393, ""pct"": NaN}, ""57"": {""party"": """", ""votes"": 6370, ""pct"": NaN}, ""144"": {""party"": """", ""votes"": 6080, ""pct"": NaN}, ""105"": {""party"": """", ""votes"": 6024, ""pct"": NaN}, ""114"": {""party"": """", ""votes"": 5963, ""pct"": NaN}, ""110"": {""party"": """", ""votes"": 5953, ""pct"": NaN}, ""111"": {""party"": """", ""votes"": 5854, ""pct"": NaN}, ""101"": {""party"": """", ""votes"": 5737, ""pct"": NaN}, ""160"": {""party"": """", ""votes"": 5284, ""pct"": NaN}, ""127"": {""party"": """", ""votes"": 5134, ""pct"": NaN}, ""102"": {""party"": """", ""votes"": 5025, ""pct"": NaN}, ""93"": {""party"": """", ""votes"": 4967, ""pct"": NaN}, ""79"": {""party"": """", ""votes"": 4763, ""pct"": NaN}, ""100"": {""party"": """", ""votes"": 4738, ""pct"": NaN}, ""70"": {""party"": """", ""votes"": 4575, ""pct"": NaN}, ""82"": {""party"": """", ""votes"": 4523, ""pct"": NaN}, ""28"": {""party"": """", ""votes"": 3547, ""pct"": NaN}, ""52"": {""party"": """", ""votes"": 3398, ""pct"": NaN}, ""76"": {""party"": """", ""votes"": 2909, ""pct"": NaN}, ""55"": {""party"": """", ""votes"": 2783, ""pct"": NaN}, ""48"": {""party"": """", ""votes"": 2745, ""pct"": NaN}, ""69"": {""party"": """", ""votes"": 2310, ""pct"": NaN}, ""39"": {""party"": """", ""votes"": 2165, ""pct"": NaN}, ""30"": {""party"": """", ""votes"": 2083, ""pct"": NaN}, ""25"": {""party"": """", ""votes"": 1986, ""pct"": NaN}, ""13"": {""party"": """", ""votes"": 1707, ""pct"": NaN}, ""24"": {""party"": """", ""votes"": 1646, ""pct"": NaN}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 34, ""pct"": 0.0}}",12296840,"68,705",Tammy Duckworth,yellow,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Illinois
2022,Indiana,IN,III,regular,General,2022 United States Senate election in Indiana,"{""Todd Young"": {""party"": ""Republican"", ""votes"": 1090165, ""pct"": 58.62}, ""Thomas McDermott Jr."": {""party"": ""Democratic"", ""votes"": 704411, ""pct"": 37.87}, ""James Sceniak"": {""party"": ""Libertarian"", ""votes"": 63814, ""pct"": 3.43}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1461, ""pct"": 0.08}}",1859851,Todd Young,Thomas McDermott Jr.,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Indiana
2022,Iowa,IA,III,regular,General,2022 United States Senate election in Iowa,"{""Chuck Grassley"": {""party"": ""Republican"", ""votes"": 681501, ""pct"": 56.01}, ""Michael Franken"": {""party"": ""Democratic"", ""votes"": 533330, ""pct"": 43.84}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1815, ""pct"": 0.15}}",1216646,Chuck Grassley,Michael Franken,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Iowa
2022,Kansas,KS,III,regular,General,2022 United States Senate election in Kansas,"{""Jerry Moran"": {""party"": ""Republican"", ""votes"": 602976, ""pct"": 60.0}, ""Mark Holland"": {""party"": ""Democratic"", ""votes"": 372214, ""pct"": 37.04}, ""David Graham"": {""party"": ""Libertarian"", ""votes"": 29766, ""pct"": 2.96}}",1004956,Jerry Moran,Mark Holland,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Kansas
2022,Kentucky,KY,III,regular,General,2022 United States Senate election in Kentucky,"{""Rand Paul"": {""party"": ""Republican"", ""votes"": 913326, ""pct"": 61.8}, ""Charles Booker"": {""party"": ""Democratic"", ""votes"": 564311, ""pct"": 38.19}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 193, ""pct"": 0.01}}",1477830,Rand Paul,Charles Booker,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Kentucky
2022,Louisiana,LA,III,regular,General,2022 United States Senate election in Louisiana,"{""John Kennedy"": {""party"": ""Republican"", ""votes"": 851568, ""pct"": 61.56}, ""Gary Chambers"": {""party"": ""Democratic"", ""votes"": 246933, ""pct"": 17.85}, ""Luke Mixon"": {""party"": ""Democratic"", ""votes"": 182887, ""pct"": 13.22}, ""Syrita Steib"": {""party"": ""Democratic"", ""votes"": 31568, ""pct"": 2.28}, ""Devin Lance Graham"": {""party"": ""Republican"", ""votes"": 25275, ""pct"": 1.83}, ""MV \""Vinny\"" Mendoza"": {""party"": ""Democratic"", ""votes"": 11910, ""pct"": 0.86}, ""Beryl Billiot"": {""party"": ""Independent"", ""votes"": 9378, ""pct"": 0.68}, ""Salvador P. Rodriguez"": {""party"": ""Democratic"", ""votes"": 7767, ""pct"": 0.56}, ""Bradley McMorris"": {""party"": ""Independent"", ""votes"": 5388, ""pct"": 0.39}, ""Aaron C. Sigler"": {""party"": ""Libertarian"", ""votes"": 4865, ""pct"": 0.35}, ""Alexander \""Xan\"" John"": {""party"": ""Independent"", ""votes"": 2753, ""pct"": 0.2}, ""W. Thomas La Fontaine Olson"": {""party"": ""Independent"", ""votes"": 1676, ""pct"": 0.12}, ""Thomas Wenn"": {""party"": ""Independent"", ""votes"": 1322, ""pct"": 0.1}}",1383290,John Kennedy,Gary Chambers,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Louisiana
