year,state,abbr,class,race_type,round,caption,results,winner,runner_up,color,source_url
2018,Arizona,AZ,I,regular,General,"United States Senate election in Arizona, 2018","{""Kyrsten Sinema"": {""party"": ""Democratic"", ""votes"": 1191100, ""pct"": 49.96}, ""Martha McSally"": {""party"": ""Republican"", ""votes"": 1135200, ""pct"": 47.61}, ""Angela Green"": {""party"": ""Green"", ""votes"": 57442, ""pct"": 2.41}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 566, ""pct"": 0.02}}",Kyrsten Sinema,Martha McSally,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Arizona
2018,California,CA,I,regular,General,"United States Senate election in California, 2018","{""Dianne Feinstein (incumbent)"": {""party"": ""Democratic"", ""votes"": 6019422, ""pct"": 54.16}, ""Kevin de León"": {""party"": ""Democratic"", ""votes"": 5093942, ""pct"": 45.84}}",Dianne Feinstein (incumbent),Kevin de León,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_California
2018,Connecticut,CT,I,regular,General,"United States Senate election in Connecticut, 2018","{""Chris Murphy (incumbent)"": {""party"": ""Total"", ""votes"": 825579, ""pct"": 59.53}, ""Chris Murphy"": {""party"": ""Democratic"", ""votes"": 787685, ""pct"": 56.8}, ""Matthew Corey"": {""party"": ""Republican"", ""votes"": 545717, ""pct"": 39.35}, ""Richard Lion"": {""party"": ""Libertarian"", ""votes"": 8838, ""pct"": 0.64}, ""Jeff Russell"": {""party"": ""Green"", ""votes"": 6618, ""pct"": 0.48}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 88, ""pct"": 0.0}}",Chris Murphy (incumbent),Chris Murphy,yellow,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Connecticut
2018,Delaware,DE,I,regular,General,"United States Senate election in Delaware, 2018","{""Tom Carper (incumbent)"": {""party"": ""Democratic"", ""votes"": 217385, ""pct"": 59.95}, ""Rob Arlett"": {""party"": ""Republican"", ""votes"": 137127, ""pct"": 37.81}, ""Demitri Theodoropoulos"": {""party"": ""Green"", ""votes"": 4170, ""pct"": 1.15}, ""Nadine Frost"": {""party"": ""Libertarian"", ""votes"": 3910, ""pct"": 1.09}}",Tom Carper (incumbent),Rob Arlett,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Delaware
2018,Florida,FL,I,regular,General,"United States Senate election in Florida, 2018","{""Rick Scott"": {""party"": ""Republican"", ""votes"": 4099505, ""pct"": 50.05}, ""Bill Nelson (incumbent)"": {""party"": ""Democratic"", ""votes"": 4089472, ""pct"": 49.93}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1028, ""pct"": 0.01}}",Rick Scott,Bill Nelson (incumbent),red,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Florida
2018,Hawaii,HI,I,regular,General,"United States Senate election in Hawaii, 2018","{""Mazie Hirono (incumbent)"": {""party"": ""Democratic"", ""votes"": 276316, ""pct"": 71.15}, ""Ron Curtis"": {""party"": ""Republican"", ""votes"": 112035, ""pct"": 28.85}}",Mazie Hirono (incumbent),Ron Curtis,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Hawaii
2018,Indiana,IN,I,regular,General,"United States Senate election in Indiana, 2018","{""Mike Braun"": {""party"": ""Republican"", ""votes"": 1158000, ""pct"": 50.73}, ""Joe Donnelly (incumbent)"": {""party"": ""Democratic"", ""votes"": 1023553, ""pct"": 44.84}, ""Lucy Brenton"": {""party"": ""Libertarian"", ""votes"": 100942, ""pct"": 4.42}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 70, ""pct"": 0.0}}",Mike Braun,Joe Donnelly (incumbent),red,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Indiana
2018,Maine,ME,I,regular,General,"United States Senate election in Maine, 2018","{""Angus King (incumbent)"": {""party"": ""Independent"", ""votes"": 344575, ""pct"": 54.31}, ""Eric Brakey"": {""party"": ""Republican"", ""votes"": 223502, ""pct"": 35.23}, ""Zak Ringelstein"": {""party"": ""Democratic"", ""votes"": 66268, ""pct"": 10.45}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 64, ""pct"": 0.01}}",Angus King (incumbent),Eric Brakey,yellow,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Maine
2018,Maryland,MD,I,regular,General,2018 United States Senate election in Maryland,"{""Ben Cardin (incumbent)"": {""party"": ""Democratic"", ""votes"": 1491614, ""pct"": 64.86}, ""Tony Campbell"": {""party"": ""Republican"", ""votes"": 697017, ""pct"": 30.31}, ""Neal Simon"": {""party"": ""Independent"", ""votes"": 85964, ""pct"": 3.74}, ""Arvin Vohra"": {""party"": ""Libertarian"", ""votes"": 22943, ""pct"": 1.0}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2351, ""pct"": 0.1}}",Ben Cardin (incumbent),Tony Campbell,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Maryland
2018,Massachusetts,MA,I,regular,General,"United States Senate election in Massachusetts, 2018","{""Elizabeth Warren (incumbent)"": {""party"": ""Democratic"", ""votes"": 1633371, ""pct"": 60.34}, ""Geoff Diehl"": {""party"": ""Republican"", ""votes"": 979210, ""pct"": 36.17}, ""Shiva Ayyadurai"": {""party"": ""Independent"", ""votes"": 91710, ""pct"": 3.39}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2799, ""pct"": 0.1}}",Elizabeth Warren (incumbent),Geoff Diehl,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Massachusetts
2018,Michigan,MI,I,regular,General,2018 United States Senate election in Michigan,"{""Debbie Stabenow (incumbent)"": {""party"": ""Democratic"", ""votes"": 2214478, ""pct"": 52.26}, ""John James"": {""party"": ""Republican"", ""votes"": 1938818, ""pct"": 45.76}, ""Marcia Squier"": {""party"": ""Green"", ""votes"": 40204, ""pct"": 0.95}, ""George Huffman III"": {""party"": ""Constitution"", ""votes"": 27251, ""pct"": 0.65}, ""John Howard Wilhelm"": {""party"": ""Natural Law"", ""votes"": 16502, ""pct"": 0.39}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 18, ""pct"": 0.01}}",Debbie Stabenow (incumbent),John James,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Michigan
2018,Minnesota,MN,I,regular,General,"United States Senate election in Minnesota, 2018","{""Amy Klobuchar (incumbent)"": {""party"": ""Democratic (DFL)"", ""votes"": 1566174, ""pct"": 60.31}, ""Jim Newberger"": {""party"": ""Republican"", ""votes"": 940437, ""pct"": 36.21}, ""Dennis Schuller"": {""party"": ""Legal Marijuana Now"", ""votes"": 66236, ""pct"": 2.55}, ""Paula Overby"": {""party"": ""Green"", ""votes"": 23101, ""pct"": 0.89}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 931, ""pct"": 0.04}}",Amy Klobuchar (incumbent),Jim Newberger,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Minnesota
2018,Mississippi,MS,I,regular,General,2018 United States Senate election in Mississippi,"{""Roger Wicker (incumbent)"": {""party"": ""Republican"", ""votes"": 547619, ""pct"": 58.49}, ""David Baria"": {""party"": ""Democratic"", ""votes"": 369567, ""pct"": 39.47}, ""Danny Bedwell"": {""party"": ""Libertarian"", ""votes"": 12981, ""pct"": 1.39}, ""Shawn O'Hara"": {""party"": ""Reform"", ""votes"": 6048, ""pct"": 0.65}}",Roger Wicker (incumbent),David Baria,red,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Mississippi
2018,Missouri,MO,I,regular,General,"United States Senate election in Missouri, 2018","{""Josh Hawley"": {""party"": ""Republican"", ""votes"": 1254927, ""pct"": 51.38}, ""Claire McCaskill (incumbent)"": {""party"": ""Democratic"", ""votes"": 1112935, ""pct"": 45.57}, ""Craig O'Dear"": {""party"": ""Independent"", ""votes"": 34398, ""pct"": 1.41}, ""Japheth Campbell"": {""party"": ""Libertarian"", ""votes"": 27316, ""pct"": 1.12}, ""Jo Crain"": {""party"": ""Green"", ""votes"": 12706, ""pct"": 0.52}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 7, ""pct"": 0.0}}",Josh Hawley,Claire McCaskill (incumbent),red,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Missouri
2018,Montana,MT,I,regular,General,"United States Senate election in Montana, 2018","{""Jon Tester (incumbent)"": {""party"": ""Democratic"", ""votes"": 253876, ""pct"": 50.33}, ""Matt Rosendale"": {""party"": ""Republican"", ""votes"": 235963, ""pct"": 46.78}, ""Rick Breckenridge"": {""party"": ""Libertarian"", ""votes"": 14545, ""pct"": 2.88}}",Jon Tester (incumbent),Matt Rosendale,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Montana
2018,Nebraska,NE,I,regular,General,2018 United States Senate election in Nebraska,"{""Deb Fischer ( inc. )"": {""party"": ""Republican"", ""votes"": 403151, ""pct"": 57.69}, ""Jane Raybould"": {""party"": ""Democratic"", ""votes"": 269917, ""pct"": 38.62}, ""Majority"": {""party"": ""Majority"", ""votes"": 133234, ""pct"": 19.06}, ""Jim Schultz"": {""party"": ""Libertarian"", ""votes"": 25349, ""pct"": 3.63}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 466, ""pct"": 0.07}}",Deb Fischer ( inc. ),Jane Raybould,red,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Nebraska
2018,Nevada,NV,I,regular,General,"United States Senate election in Nevada, 2018","{""Jacky Rosen"": {""party"": ""Democratic"", ""votes"": 490071, ""pct"": 50.41}, ""Dean Heller (incumbent)"": {""party"": ""Republican"", ""votes"": 441202, ""pct"": 45.38}, ""None of These Candidates"": {""party"": ""None of These Candidates"", ""votes"": 15303, ""pct"": 1.57}, ""Barry Michaels"": {""party"": ""Independent"", ""votes"": 9269, ""pct"": 0.95}, ""Tim Hagan"": {""party"": ""Libertarian"", ""votes"": 9196, ""pct"": 0.95}, ""Kamau Bakari"": {""party"": ""Independent American"", ""votes"": 7091, ""pct"": 0.73}}",Jacky Rosen,Dean Heller (incumbent),blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Nevada
2018,New Jersey,NJ,I,regular,General,"United States Senate election in New Jersey, 2018","{""Bob Menendez (incumbent)"": {""party"": ""Democratic"", ""votes"": 1711654, ""pct"": 54.01}, ""Bob Hugin"": {""party"": ""Republican"", ""votes"": 1357355, ""pct"": 42.83}, ""Madelyn Hoffman"": {""party"": ""Green"", ""votes"": 25150, ""pct"": 0.79}, ""Murray Sabrin"": {""party"": ""Libertarian"", ""votes"": 21212, ""pct"": 0.67}, ""Natalie Rivera"": {""party"": ""Independent"", ""votes"": 19897, ""pct"": 0.63}, ""Tricia Flanagan"": {""party"": ""Independent"", ""votes"": 16101, ""pct"": 0.51}, ""Kevin Kimple"": {""party"": ""Independent"", ""votes"": 9087, ""pct"": 0.29}, ""Hank Schroeder"": {""party"": ""Independent"", ""votes"": 8854, ""pct"": 0.28}}",Bob Menendez (incumbent),Bob Hugin,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_New_Jersey
2018,New Mexico,NM,I,regular,General,2018 United States Senate election in New Mexico,"{""Martin Heinrich (incumbent)"": {""party"": ""Democratic"", ""votes"": 376998, ""pct"": 54.09}, ""Mick Rich"": {""party"": ""Republican"", ""votes"": 212813, ""pct"": 30.53}, ""Gary Johnson"": {""party"": ""Libertarian"", ""votes"": 107201, ""pct"": 15.38}}",Martin Heinrich (incumbent),Mick Rich,blue,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_New_Mexico
2018,New York,NY,I,regular,General,"United States Senate election in New York, 2018","{""Kirsten Gillibrand (incumbent)"": {""party"": ""Total"", ""votes"": 4056931, ""pct"": 67.0}, ""Kirsten Gillibrand"": {""party"": ""Democratic"", ""votes"": 3755489, ""pct"": 62.02}, ""Chele Chiavacci Farley"": {""party"": ""Total"", ""votes"": 1998220, ""pct"": 33.0}}",Kirsten Gillibrand (incumbent),Kirsten Gillibrand,yellow,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_New_York
2018,North Dakota,ND,I,regular,General,"United States Senate election in North Dakota, 2018","{""Kevin Cramer"": {""party"": ""Republican"", ""votes"": 179720, ""pct"": 55.11}, ""Heidi Heitkamp (incumbent)"": {""party"": ""Democratic–NPL"", ""votes"": 144376, ""pct"": 44.27}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2042, ""pct"": 0.63}}",Kevin Cramer,Heidi Heitkamp (incumbent),red,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_North_Dakota
