year,state,abbr,class,race_type,round,caption,results,winner,runner_up,color,source_url
2010,Alabama,AL,III,regular,General,2010 United States Senate election in Alabama,"{""Richard Shelby (incumbent)"": {""party"": ""Republican"", ""votes"": 968181, ""pct"": 65.18}, ""William G. Barnes"": {""party"": ""Democratic"", ""votes"": 515619, ""pct"": 34.71}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1699, ""pct"": 0.11}}",Richard Shelby (incumbent),William G. Barnes,red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Alabama
2010,Alaska,AK,III,regular,General,Final/certified general election results,"{""Lisa Murkowski (incumbent, write-in)"": {""party"": ""Republican"", ""votes"": 101091, ""pct"": 39.49}, ""Joe Miller"": {""party"": ""Republican"", ""votes"": 90839, ""pct"": 35.49}, ""Scott McAdams"": {""party"": ""Democratic"", ""votes"": 60045, ""pct"": 23.46}, ""David Haase"": {""party"": ""Libertarian"", ""votes"": 1459, ""pct"": 0.57}, ""Timothy Carter"": {""party"": ""Independent"", ""votes"": 927, ""pct"": 0.36}, ""Ted Gianoutsos"": {""party"": ""Independent"", ""votes"": 458, ""pct"": 0.18}}","Lisa Murkowski (incumbent, write-in)",Joe Miller,red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Alaska
2010,Arizona,AZ,III,regular,General,2010 United States Senate election in Arizona,"{""John McCain (incumbent)"": {""party"": ""Republican"", ""votes"": 1005615, ""pct"": 59.07}, ""Rodney Glassman"": {""party"": ""Democratic"", ""votes"": 592011, ""pct"": 34.78}, ""David Nolan"": {""party"": ""Libertarian"", ""votes"": 80097, ""pct"": 4.71}, ""Jerry Joslyn"": {""party"": ""Green"", ""votes"": 24603, ""pct"": 1.45}}",John McCain (incumbent),Rodney Glassman,red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Arizona
2010,Arkansas,AR,III,regular,General,"United States Senate election in Arkansas, 2010","{""John Boozman"": {""party"": ""Republican"", ""votes"": 451618, ""pct"": 57.9}, ""Blanche Lincoln (incumbent)"": {""party"": ""Democratic"", ""votes"": 288156, ""pct"": 36.95}, ""Trevor Drown"": {""party"": ""Libertarian"", ""votes"": 25234, ""pct"": 3.24}, ""John Gray"": {""party"": ""Green"", ""votes"": 14430, ""pct"": 1.85}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 519, ""pct"": 0.07}}",John Boozman,Blanche Lincoln (incumbent),red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Arkansas
2010,California,CA,III,regular,General,"United States Senate election in California, 2010","{""Barbara Boxer (incumbent)"": {""party"": ""Democratic"", ""votes"": 5218137, ""pct"": 52.18}, ""Carly Fiorina"": {""party"": ""Republican"", ""votes"": 4217386, ""pct"": 42.17}, ""Gail Lightfoot"": {""party"": ""Libertarian"", ""votes"": 175235, ""pct"": 1.75}, ""Marsha Feinland"": {""party"": ""Peace and Freedom"", ""votes"": 135088, ""pct"": 1.35}, ""Duane Roberts"": {""party"": ""Green"", ""votes"": 128512, ""pct"": 1.29}, ""Edward Noonan"": {""party"": ""American Independent"", ""votes"": 125435, ""pct"": 1.25}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 67, ""pct"": 0.0}}",Barbara Boxer (incumbent),Carly Fiorina,blue,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_California
2010,Colorado,CO,III,regular,General,"United States Senate election in Colorado, 2010","{""Michael Bennet (incumbent)"": {""party"": ""Democratic"", ""votes"": 854685, ""pct"": 48.08}, ""Ken Buck"": {""party"": ""Republican"", ""votes"": 824789, ""pct"": 46.4}, ""Bob Kinsey"": {""party"": ""Green"", ""votes"": 38884, ""pct"": 2.19}, ""Maclyn Stringer"": {""party"": ""Libertarian"", ""votes"": 22646, ""pct"": 1.27}, ""Jason Napolitano"": {""party"": ""Independent"", ""votes"": 19450, ""pct"": 1.09}, ""Charley Miller"": {""party"": ""Independent"", ""votes"": 11351, ""pct"": 0.64}, ""J. Moromisato"": {""party"": ""Independent"", ""votes"": 5780, ""pct"": 0.33}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 83, ""pct"": 0.07}}",Michael Bennet (incumbent),Ken Buck,blue,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Colorado
2010,Connecticut,CT,III,regular,General,State Republican Convention results (first round),"{""Richard Blumenthal"": {""party"": ""Total"", ""votes"": 636040, ""pct"": 55.16}, ""Linda E. McMahon"": {""party"": ""Republican"", ""votes"": 498341, ""pct"": 43.22}, ""Warren B. Mosler"": {""party"": ""Independent"", ""votes"": 11275, ""pct"": 0.98}, ""John Mertens"": {""party"": ""Connecticut for Lieberman"", ""votes"": 6735, ""pct"": 0.58}, ""Linda McMahon*"": {""party"": ""Republican"", ""votes"": 737, ""pct"": 51.76}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 724, ""pct"": 0.06}, ""Rob Simmons*"": {""party"": ""Republican"", ""votes"": 632, ""pct"": 44.62}, ""Peter Schiff"": {""party"": ""Republican"", ""votes"": 44, ""pct"": 3.11}, ""Vincent Forras"": {""party"": ""Republican"", ""votes"": 7, ""pct"": 0.49}, ""Ethan Book"": {""party"": ""Republican"", ""votes"": 0, ""pct"": 0.0}}",Richard Blumenthal,Linda E. McMahon,yellow,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Connecticut
2010,Florida,FL,III,regular,General,2010 United States Senate election in Florida,"{""Marco Antonio Rubio"": {""party"": ""Republican"", ""votes"": 2645743, ""pct"": 48.89}, ""Charles Joseph Crist Jr."": {""party"": ""Independent"", ""votes"": 1607549, ""pct"": 29.71}, ""Kendrick Brett Meek"": {""party"": ""Democratic"", ""votes"": 1092936, ""pct"": 20.2}, ""Alexander Snitker"": {""party"": ""Libertarian"", ""votes"": 24850, ""pct"": 0.46}, ""Sue Askeland"": {""party"": ""Independent"", ""votes"": 15340, ""pct"": 0.28}, ""Rick Tyler"": {""party"": ""Independent"", ""votes"": 7394, ""pct"": 0.14}, ""Bernie DeCastro"": {""party"": ""Constitution"", ""votes"": 4792, ""pct"": 0.09}, ""Lewis Jerome Armstrong"": {""party"": ""Independent"", ""votes"": 4443, ""pct"": 0.08}, ""Bobbie Bean"": {""party"": ""Independent"", ""votes"": 4301, ""pct"": 0.08}, ""Bruce Riggs"": {""party"": ""Independent"", ""votes"": 3647, ""pct"": 0.07}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 108, ""pct"": 0.0}}",Marco Antonio Rubio,Charles Joseph Crist Jr.,red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Florida
2010,Georgia,GA,III,regular,General,"United States Senate election in Georgia, 2010","{""Johnny Isakson (incumbent)"": {""party"": ""Republican"", ""votes"": 1489904, ""pct"": 58.31}, ""Michael Thurmond"": {""party"": ""Democratic"", ""votes"": 996516, ""pct"": 39.0}, ""Chuck Donovan"": {""party"": ""Libertarian"", ""votes"": 68750, ""pct"": 2.69}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 88, ""pct"": 0.0}}",Johnny Isakson (incumbent),Michael Thurmond,red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Georgia
2010,Hawaii,HI,III,regular,General,"United States Senate election in Hawaii, 2010","{""Daniel Inouye (incumbent)"": {""party"": ""Democratic"", ""votes"": 277228, ""pct"": 74.81}, ""Campbell Cavasso"": {""party"": ""Republican"", ""votes"": 79939, ""pct"": 21.57}, ""Jim Brewer"": {""party"": ""Green"", ""votes"": 7762, ""pct"": 2.09}, ""Lloyd Jeffrey Mallen"": {""party"": ""Libertarian"", ""votes"": 2957, ""pct"": 0.8}, ""Jeff Jarrett"": {""party"": ""Independent"", ""votes"": 2697, ""pct"": 0.73}}",Daniel Inouye (incumbent),Campbell Cavasso,blue,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Hawaii
2010,Idaho,ID,III,regular,General,"United States Senate election in Idaho, 2010","{""Mike Crapo (incumbent)"": {""party"": ""Republican"", ""votes"": 319953, ""pct"": 71.17}, ""Majority"": {""party"": ""Majority"", ""votes"": 207896, ""pct"": 46.24}, ""Tom Sullivan"": {""party"": ""Democratic"", ""votes"": 112057, ""pct"": 24.93}, ""Randy Bergquist"": {""party"": ""Constitution"", ""votes"": 17429, ""pct"": 3.88}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 91, ""pct"": 0.02}}",Mike Crapo (incumbent),Majority,red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Idaho
2010,Illinois,IL,III,regular,General,"United States Senate election in Illinois, 2010","{""Mark Kirk"": {""party"": ""Republican"", ""votes"": 1677729, ""pct"": 47.31}, ""Alexi Giannoulias"": {""party"": ""Democratic"", ""votes"": 1641486, ""pct"": 46.29}, ""LeAlan Jones"": {""party"": ""Green"", ""votes"": 129571, ""pct"": 3.65}, ""Michael Labno"": {""party"": ""Libertarian"", ""votes"": 95762, ""pct"": 2.7}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1436, ""pct"": 0.04}}",Mark Kirk,Alexi Giannoulias,red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Illinois
2010,Indiana,IN,III,regular,General,2010 United States Senate election in Indiana,"{""Dan Coats"": {""party"": ""Republican"", ""votes"": 952116, ""pct"": 54.58}, ""Brad Ellsworth"": {""party"": ""Democratic"", ""votes"": 697775, ""pct"": 40.0}, ""Rebecca Sink-Burris"": {""party"": ""Libertarian"", ""votes"": 94330, ""pct"": 5.41}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 260, ""pct"": 0.01}}",Dan Coats,Brad Ellsworth,red,https://en.wikipedia.org/wiki/2010_United_States_Senate_election_in_Indiana
