year,state,abbr,class,race_type,round,caption,results,total_votes,winner,runner_up,color,source_url
2008,Alabama,AL,II,regular,General,2008 United States Senate election in Alabama,"{""Jeff Sessions"": {""party"": ""Republican"", ""votes"": 1305383, ""pct"": 63.36}, ""Vivian Davis Figures"": {""party"": ""Democratic"", ""votes"": 752391, ""pct"": 36.52}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2417, ""pct"": 0.12}}",2060191,Jeff Sessions,Vivian Davis Figures,red,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Alabama
2008,Alaska,AK,II,regular,General,2008 United States Senate election in Alaska,"{""Mark Begich"": {""party"": ""Democratic"", ""votes"": 151767, ""pct"": 47.77}, ""Ted Stevens"": {""party"": ""Republican"", ""votes"": 147814, ""pct"": 46.52}, ""Bob Bird"": {""party"": ""Independence"", ""votes"": 13197, ""pct"": 4.15}, ""Fredrick Haase"": {""party"": ""Libertarian"", ""votes"": 2483, ""pct"": 0.78}, ""Ted Gianoutsos"": {""party"": ""Independent"", ""votes"": 1385, ""pct"": 0.44}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1077, ""pct"": 0.34}}",317723,Mark Begich,Ted Stevens,deepskyblue,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Alaska
2008,Arkansas,AR,II,regular,General,2008 United States Senate election in Arkansas,"{""Mark Pryor"": {""party"": ""Democratic"", ""votes"": 804678, ""pct"": 79.53}, ""Rebekah Kennedy"": {""party"": ""Green"", ""votes"": 207076, ""pct"": 20.47}}",1011754,Mark Pryor,Rebekah Kennedy,deepskyblue,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Arkansas
2008,Colorado,CO,II,regular,General,2008 United States Senate election in Colorado,"{""Mark Udall"": {""party"": ""Democratic"", ""votes"": 1231049, ""pct"": 52.8}, ""Bob Schaffer"": {""party"": ""Republican"", ""votes"": 990784, ""pct"": 42.49}, ""Douglas Campbell"": {""party"": ""Constitution"", ""votes"": 59736, ""pct"": 2.56}, ""Bob Kinsey"": {""party"": ""Green"", ""votes"": 50008, ""pct"": 2.14}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 135, ""pct"": 0.01}}",2331712,Mark Udall,Bob Schaffer,deepskyblue,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Colorado
2008,Delaware,DE,II,regular,General,"United States Senate election in Delaware, 2008","{""Joe Biden"": {""party"": ""Democratic"", ""votes"": 257539, ""pct"": 64.69}, ""Christine O'Donnell"": {""party"": ""Republican"", ""votes"": 140595, ""pct"": 35.31}, ""Majority"": {""party"": ""Majority"", ""votes"": 116944, ""pct"": 29.38}}",515078,Joe Biden,Christine O'Donnell,deepskyblue,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Delaware
2008,Georgia,GA,II,regular,General,2008 United States Senate general election in Georgia,"{""Saxby Chambliss"": {""party"": ""Republican"", ""votes"": 1867097, ""pct"": 49.76}, ""Jim Martin"": {""party"": ""Democratic"", ""votes"": 1757393, ""pct"": 46.83}, ""Majority"": {""party"": ""Majority"", ""votes"": 318110, ""pct"": 14.88}, ""Allen Buckley"": {""party"": ""Libertarian"", ""votes"": 127923, ""pct"": 3.41}, ""Eleanor Garcia"": {""party"": ""Socialist Workers"", ""votes"": 43, ""pct"": 0.0}, ""William Salomone, Jr."": {""party"": ""Independent"", ""votes"": 29, ""pct"": 0.0}}",4070595,Saxby Chambliss,Jim Martin,red,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Georgia
2008,Idaho,ID,II,regular,General,General election results,"{""Jim Risch"": {""party"": ""Republican"", ""votes"": 371744, ""pct"": 57.65}, ""Larry LaRocco"": {""party"": ""Democratic"", ""votes"": 219903, ""pct"": 34.11}, ""Majority"": {""party"": ""Majority"", ""votes"": 151841, ""pct"": 23.55}, ""Rex Rammell"": {""party"": ""Independent"", ""votes"": 34510, ""pct"": 5.35}, ""Kent Marmon"": {""party"": ""Libertarian"", ""votes"": 9958, ""pct"": 1.54}, ""Pro-Life"": {""party"": ""Independent"", ""votes"": 8662, ""pct"": 1.35}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 3, ""pct"": 0.0}}",796621,Jim Risch,Larry LaRocco,red,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Idaho
2008,Illinois,IL,II,regular,General,2008 United States Senate election in Illinois,"{""Dick Durbin"": {""party"": ""Democratic"", ""votes"": 3615844, ""pct"": 67.84}, ""Steve Sauerberg"": {""party"": ""Republican"", ""votes"": 1520621, ""pct"": 28.53}, ""Kathy Cummings"": {""party"": ""Green"", ""votes"": 119135, ""pct"": 2.24}, ""Larry A. Stafford"": {""party"": ""Libertarian"", ""votes"": 50224, ""pct"": 0.94}, ""Chad N. Koppie"": {""party"": ""Constitution"", ""votes"": 24059, ""pct"": 0.45}}",5329883,Dick Durbin,Steve Sauerberg,deepskyblue,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Illinois
2008,Iowa,IA,II,regular,General,"United States Senate election in Iowa, 2008","{""Tom Harkin"": {""party"": ""Democratic"", ""votes"": 941665, ""pct"": 62.66}, ""Christopher Reed"": {""party"": ""Republican"", ""votes"": 560006, ""pct"": 37.26}, ""Majority"": {""party"": ""Majority"", ""votes"": 381659, ""pct"": 25.39}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1247, ""pct"": 0.08}}",1884577,Tom Harkin,Christopher Reed,deepskyblue,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Iowa
2008,Kansas,KS,II,regular,General,General election results,"{""Pat Roberts"": {""party"": ""Republican"", ""votes"": 727121, ""pct"": 60.06}, ""Jim Slattery"": {""party"": ""Democratic"", ""votes"": 441399, ""pct"": 36.46}, ""Majority"": {""party"": ""Majority"", ""votes"": 285722, ""pct"": 23.6}, ""Randall Hodgkinson"": {""party"": ""Libertarian"", ""votes"": 25727, ""pct"": 2.12}, ""Joseph L. Martin"": {""party"": ""Reform"", ""votes"": 16443, ""pct"": 1.36}}",1496412,Pat Roberts,Jim Slattery,red,https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_Kansas
