year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
1916,-0.5970168928268668,6.443800014447992,0.0874902452817688,-0.15125129711135657,0.2973186534238826,0.11919179392525588,0.9344373348850771,2.6517123232829705,0.45842768118713995,-0.49905501900752935,-0.0060553111865710675,0.045163614808057674,-0.41356253949968735,0.626111740907652,0.45993062611482277,-1.3601370102154609,0.39576523685921017,-0.11812892964919908,-0.18246898554423163,0.077919871759486,0.010836236245837622,0.42724140975792796,-0.020425543001034847,0.17370681379539143
1920,-9.907989375625323,1.0875019869731615,1.2144778745774085,-0.3492513420685922,0.021803218835332833,0.02774420902198611,-2.8911554794417613,0.6432243306813513,0.726952077032227,0.6687777338209502,-0.3470177159465843,0.55682863373132,0.5345836418709669,-0.23935830831809435,0.7001140187830662,-0.6125946278061201,-0.3739889102042955,-0.14713578068069008,-0.37299407898514925,0.2589405904297546,0.09611488992469366,-0.14893538634513176,0.5650172104515625,-0.12423125187528615
1924,-9.989878696725516,2.223587631415935,1.1868679626716125,-0.42215689548517943,0.0096512448666845,-0.25946169663110025,-1.2466722249555073,-0.7188617844359936,0.21273136687957678,1.9857360469809566,-0.1852928574133841,0.4804964590595274,-0.08869982957640397,-0.5806405979025614,-0.4496001450465962,-0.29807673896769965,0.26439074373318444,0.2657117719978056,-0.1266807741912933,-0.07793434535125367,-0.10607431953979922,0.35017268019684494,-0.15734604973356478,-0.04467725352911131
1928,-6.360010495484987,-1.2804660897391165,0.3715799662735074,-0.18312704226860307,-0.1901213955949537,-0.011908298500264366,0.8525105691009773,-2.220620057609282,0.11223281122125162,-0.23243969226914202,-0.1803780249820787,0.05758350765410493,-1.6135282266801436,0.9498072566162605,-0.4362198380170274,-1.3933281595964777,-0.08356873888299833,0.7914207203316498,-0.7597343507163432,-1.2316460808225609,-0.08104292451210271,-0.26850324258749436,-0.48848684826479827,-0.08099361782707733
1932,3.3377235770904243,9.398641668956678,-0.3858917362163103,0.1371310612858251,0.1863130856217209,-0.3661741379592873,4.252794093839139,0.7967359923884976,-0.47507853353070384,0.8269061439881427,0.3655035260757697,-0.17956003315668256,0.3591428643003624,-0.4350492322696618,-0.33434468450403865,0.23397900685912193,-0.5457768254459547,-0.4924034280429385,0.2354388184580778,0.032822830246313175,0.004021361991570928,0.04820826363593558,-0.10274116782363779,0.06626239685737823
1936,5.645392931109061,9.890316636807778,-0.594684012945493,0.12305304328912149,0.2900149116294523,-0.21973329861752067,2.4185095120603903,0.6460095955280319,-0.8848148851292397,-0.4858891788252583,0.668439123992305,-0.28801940508528806,1.1500170086183115,-0.07559689778052707,0.6988192428044402,0.03844947108189625,0.408770695568987,0.34576537915812444,-0.28742905884060477,-0.24121042717970625,-0.5120306760649282,0.10001158557275423,-0.28182897147219377,-0.19089556228447083
1940,1.552761394832267,6.9723266224188905,-0.0017161567541124443,0.022780647676019818,0.025447442962977566,-0.06999810295952305,-1.152199392739983,-0.6282766834863412,0.39822415055485433,-0.16282110976241762,0.2531125732541419,-0.11562360723116775,0.372228919449292,0.11280114268787443,-0.027610259810694628,-0.2511020623569714,0.29708072414627273,-0.0025462154507264684,-0.046263575081947284,0.09553642584716311,0.13048944752326683,-0.43477626338981623,0.15553443827947241,0.008454881532612047
1944,0.7844912958281468,5.245262433961367,-0.05184362460801321,-0.006380119122534626,-0.0006371058158078313,-0.09575514980584192,-0.9400965706222119,-0.9890134939779578,0.27633455444835486,-0.7374865215944706,0.06773676007440271,0.040960440311991454,0.0678120067292301,0.17218928882849596,-0.1896790217647666,-0.359852091366522,0.09411162588664242,-0.20250181669051553,-0.12893336295503402,0.1752607145916943,0.292494580108888,0.13339977122474062,0.31957898920596606,0.04809845840858599
1948,0.5477742556502256,3.8410511449788465,-0.698573392056949,0.35611808034955916,-0.09422489670964353,0.43296167257050355,0.9315268162330937,0.5646685448815313,-0.0572221980984275,-1.280134087739887,0.2831656162436606,-0.19808414742845212,-0.42807806683038657,-1.1632443322395087,-0.04430622091701656,1.7143315758122635,-0.12571076745499435,-0.0995451801752412,0.8292393678144128,-0.08583435226642981,0.08355324097315464,-0.003634704565910792,-0.273942695772708,-0.23315952076406432
1952,-4.486550753570645,-1.1378919346591034,-0.021984871683638253,0.10765303114971125,-0.2296417561660764,0.05170732541815412,-2.0701621636560796,-0.9873945050125791,-0.9214014082573666,-1.1870444681075887,-0.07388660203622993,-0.10693209693417126,-0.10793343745498615,0.23768602949591933,0.12204880967181758,1.378372634725956,-0.3421159173189224,-0.13999793700202634,0.2096204717817468,0.29099118566056836,-0.40512379420456557,0.17258752573974753,-0.2813750975859594,0.44888971600162814
1956,-5.547300437559178,-1.3722007333465436,-0.2853341731254168,0.07366331458625693,0.01825889256770592,-0.3097815494470602,0.32064208001750516,-0.29175356624512333,-1.1422469118698693,-1.5472050593097006,-0.08552165676438055,-0.138251201391691,1.2150002228911787,0.7411113734105629,-0.27961899780971056,0.8931454297865756,-0.14610750181800625,-0.4188791921429602,0.6337239079986253,0.7318701776193491,0.07069877896372222,-0.2964544513955758,0.1645517985368921,-0.005760387501220279
1960,0.033984290184092415,-0.20326284318438292,-0.5440635771709623,0.11985261009497697,-0.13637210781767672,1.3235240474909313,-0.10412659429632236,-0.6608170741142151,-0.5524181349839354,-0.4703836783148794,-0.08823905807457495,-1.5656938552810384,-0.7532301564385755,0.0864966009119441,0.28822088969905274,0.1238531346077402,0.40930469873505,-0.07549258643792792,-0.5508662377563434,0.18737982361159536,-0.05432778854943966,0.02158969687857761,0.21823012296301061,-0.020100517262828424
1964,9.110351090633134,2.0484249032898765,-0.9100923777859264,0.949355791972657,-0.2721768840612644,5.925993373284995,1.8263414182828301,1.0802424383178646,0.8299529917807693,0.25772776911733186,0.2924596513457986,1.66473959549556,-0.10566168887566238,-0.35076892562427586,0.4731913952854917,2.1207895728198802,0.027689071307219808,0.2654665966718914,-0.21623013366883884,0.16583954171535123,0.1525986617238975,0.046710918256839006,-0.31041940041611593,-0.13102083360773698
1968,0.38985132970678166,-1.791198700288773,-1.6754570989217132,0.33018613230436755,-0.24691097147421576,1.648305733279201,-0.25537374361097975,-0.3727427480967488,-0.10625520756034897,-0.4888115746557866,-1.1074451885419943,0.3819951565901588,-0.949239177878349,0.6729419042762753,-0.026866771739460036,0.13323208544100712,0.01822420424147587,-0.539255962845829,0.5380552780977147,-0.46619315191209193,-0.4882683464342527,0.13416805230853568,0.503276346555824,-0.24543523312572096
1972,-5.041151223907226,-7.424006512830942,-4.916053356643489,-0.7198440120147465,0.26792686408795496,-0.9603484589935696,0.7029916770080407,-0.3842616214502502,0.3937743356066381,-0.892818618185484,0.7414696477053621,-1.1687204830884779,0.3302854206328672,-0.46563604248952667,0.032497135637024915,-1.7030508660433734,0.0019279229436238582,-0.006597808213003373,0.037310202876296245,0.11974850994098707,-0.2842711862431383,0.18407410765713095,-0.15769806257627927,-0.09968824544207454
