year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
1916,7.513796890203341,0.15744691375761244,0.8964587930278171,4.796238276556378,0.18862997587077468,-0.826207311741143,-0.6478643269551022,0.060905234171284316,0.05803201504774818,-1.7600068433695857,-0.1271543770790071,1.7388724397597217,0.25710173445807505,0.542772440980029,0.8969605485079102,-1.1774991169553388
1920,8.450411492116332,-0.4088033208977613,-3.8447582274741308,2.317095676442203,0.1426152815144041,-0.2618651533254086,-4.342165573611858,0.057588491678372725,0.12169319761889,1.6953545562173455,0.0662234571215065,2.119654112444062,-1.2211746833517898,0.4217447285629233,1.6350042625309429,0.43931334198887534
1924,9.37729181620969,0.0014074904981987552,-0.4568364840201315,0.5549925508412945,-0.20839226151542992,0.21457627837820853,-5.456995694309168,0.04618700509076542,0.26556817900944524,2.469778346152923,0.19755295119998528,-1.2575733710704817,0.042737686694223696,-0.08749194095628368,1.3298321803873216,2.100858109453557
1928,2.697910696345433,-0.15694470564961507,2.7019006323217933,-2.0541280000878333,-0.22328176535191807,0.029956375053245162,-3.4168852327172967,-0.18289392486216072,0.21748405221899375,-1.8816326951977038,0.7183062625032277,-2.572677468341983,0.7845778928623723,1.0712594359459147,2.292306475935974,-0.33839406858536514
1932,7.347535946679754,0.6983344526038884,5.311954678105629,1.6589571366509963,0.15243495329867732,-0.15561592393770243,-0.27236017062024925,-0.15009292299512336,-0.003607947708043271,0.9475798113812702,-0.4170063779137008,-2.560980740578239,-0.7294081118667596,0.16288127111687853,-1.7797649495506838,-0.06539694294178182
1936,6.4179888946269505,-0.003016169693679623,3.0765074980781346,0.006726491397361985,0.07591138492604703,-0.8489911795594014,1.9598114354964995,0.05952882093411392,-0.07694748968286749,0.11794150277218013,-0.3466689645604895,0.567914371352598,1.0383628122494666,1.6224208402157814,-2.185218034215259,-0.7297411583650794
1940,6.08685804443898,-0.6898588828221232,-1.361194485855452,-1.9746656175459973,0.2777509679411618,-0.5977294806568284,0.43951183985495285,0.0686336310929829,-0.2593951392325414,-0.3324444038603344,-0.5843686179550505,0.3201852428858559,0.48577514814993555,-0.487579202136531,0.1157819065284339,-0.574156816791311
1944,4.553599270506078,-0.542781352781449,-1.1322118146835887,-2.478465521065821,0.1990096694622406,-0.4776074632176767,0.3461323726338284,-0.05975716636553237,-0.13882403336437454,-0.9920480440343865,-0.42511396283839253,-0.3041617340357848,0.005767553384217257,-0.6683035563044211,0.014128330204147974,-1.4288677615284624
1948,3.0779035043924377,0.5544648979801798,1.1192045105075121,0.9306468044706849,0.29789871544331126,-0.5622575978454688,-1.743511481781422,0.046727738158205454,-0.1452309262193254,0.8669936190630771,-0.2623721622702505,-0.2463010135462309,1.1156999794326778,-1.0784720752887844,-1.3758905631574254,-3.0064259546831935
1952,1.2360862253517375,0.3804878593224212,-2.8783533058882327,-1.8717859463822486,0.21732178463994425,-0.15056158124380226,-2.1637939155189536,-0.03120811218503631,-0.1814268999300148,-0.58572527720367,0.0030990574680389775,0.014263500750616191,0.545269561538676,0.5455001175292256,-2.015196290997055,-2.0270193463645616
