year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
1916,7.303780012556689,-1.2609305770902313,0.27730395251550033,4.701521066641885,0.9104061913115992,-0.9610721527056161,0.09815918712508383,-2.119365798644064,-0.06687523033485412,-1.8586753425616602,0.9623900479954959,1.425620487796818,0.35124234522000203,0.444569413967295
1920,8.34521471849466,3.573020812488433,0.6454179338771618,2.450964113161741,0.34051896857547476,-4.958263793088976,-0.08978949526503405,-1.92956819215955,0.7357690926004729,0.9817240243120287,-0.1626596916460882,-0.030473791333455194,1.868684956537017,-0.3355775328998679
1924,9.229559428397112,0.3248684645389731,0.17451320115155228,0.9037754165669709,0.02419772900247253,-5.92347175069475,-0.3216367205736637,1.6877033187610497,-0.1380292128261411,0.9074183986510655,-1.0311599224333212,-1.9483331712050909,1.4093988237031034,-0.664535282556599
1928,2.5366514526707844,-2.823203819564976,0.6531948438491204,-1.9529457445302574,0.16273577750167223,-3.027655283307056,-0.02838670660462247,2.6399201263171608,-1.0323769775335803,-2.4123299380214243,1.7725362593646627,-0.12594835043417058,1.8830156937050049,-0.5974785508131979
1932,7.030635737292505,-5.518883179162461,0.41005709335674295,1.7268039623744458,-0.0007548993470717599,-0.9248722253904775,0.08711211892933957,2.4087670739502136,1.0945849673818853,0.26459924165829646,-1.1965663875710992,0.32117831434340083,-2.07540675402461,0.43120602925028934
1936,6.2257895670008665,-3.173662783947946,1.5909535795559397,0.15458266812463073,0.8630684067865185,1.268217549942697,0.13925564121223818,-0.45032284142937656,-1.2153732796706034,0.3826820976394878,-0.28519446894185946,1.2674110873309532,-2.7011403239755776,0.4616547754815374
1940,6.070206048810331,1.1458358162651472,-0.6471464112583708,-1.9445982158816226,0.6108272272657729,-0.12208666578657448,0.4028530667061029,-0.3567499794798993,-0.6315597957855912,-0.05064593931065476,0.0032078427988461253,1.1359976830577023,-0.17486192180628138,0.7602833883259192
1944,4.49096932323168,0.9603124395961091,-0.8026134296797051,-2.4878599768017735,0.4983785613869234,-0.05962253648325591,0.2660606908265396,0.2444121991849471,-0.11448201689575291,-0.6987673401363322,0.41793131926247434,1.7569469917433267,-0.30786628845209507,0.6359198582217966
1948,2.6442412001790783,-1.1947325155789674,-0.6183355068589635,0.9493700900460178,0.6188353759477909,-2.237370491360677,0.014604880147880861,0.19302353865122446,-0.14381679059701102,-1.0516271281439118,-2.0794782933971496,2.5561083128228463,-1.4723573924398385,-0.08399396893598898
1952,0.9697350742937014,2.848786951219042,0.779992899046647,-1.9029128490925564,0.13478017695231442,-2.3523180896401197,0.10131838844441221,-0.06968039616628546,-0.16450413538598352,-1.3408439258544633,-0.24224397290593808,1.7431263163777064,-1.9019877417382163,-0.028042506853814885
1956,1.8521277386827244,-0.6181313436368133,0.9378851932522536,0.3723215092965398,0.1311748875601005,-1.6782544943764164,0.3058203945349215,0.207359174240917,1.4969532885899761,1.0933803851255979,0.29083035439902427,2.886465469504576,-3.0371309458515836,0.14423561087932976
1960,-0.7409112921622614,0.250811437372934,1.2021162751955181,-1.3974466875383709,2.121388925231067,-0.6868047462255907,1.7713455421760893,0.4332955250965249,-0.27969191631027723,-1.2962520377564508,-0.007586524408093571,0.489332212064244,0.1659535799620371,0.10146182404077757
1964,-5.4158615035295865,-0.7689065179951843,-0.2546452423731488,0.7251253375503957,3.51909002173357,-1.2780881575150769,-2.1039092584610706,-1.685310649071035,-0.7469823412722588,0.3981410309652812,-0.40318774984091205,0.13657355749636121,1.603728419994158,3.682692972129636
1968,-3.17137550663931,0.07135482650590148,-0.8335193857869394,-1.0825811089902815,2.0590480906584934,-0.6851023883601124,-0.08729269892850826,-0.8614241363525338,0.6744960684386602,-2.1162225910182153,1.1422741373562708,0.39806660173907443,-0.5220355039054553,1.7233219405394398
1972,-3.9946304873479757,-3.1829881221898577,-0.05203685815314612,0.4823288834906611,2.0089859362067375,0.7162761761648744,2.246092633234871,-1.271176461155612,0.798278049601854,1.1459366489060714,0.1374988776728493,0.9196863842197811,0.015704250029366023,-1.1104519390063212
1976,-0.7792852964961312,-0.49198422154068355,-0.05514078776236636,-0.03900471302056269,-1.2194580404310709,-2.4232863420329966,2.2360610503935527,-0.3335034675070589,0.8107197683916011,-0.3454523292362829,0.715729905404973,-0.2677373213917196,-1.8079413069614054,1.8668888677556406
1980,-2.7719104731343345,1.1432121824557708,-1.491093995403327,-0.9709179251165527,-0.8432250498612048,-2.1803389365288766,0.7718580967524754,-0.6780361204217862,0.32160039713995314,-0.3428253467696468,1.1099925694111554,-1.297290244385476,-2.7903649608035406,0.4684033358250769
1984,-3.131240505214212,-1.3071380034972586,-0.9826372833826001,-0.39649493735360153,-0.8429962586161786,-0.42552119349530637,1.2631985253630098,-0.9205261939072237,-0.4462647551861819,0.85474028257203,0.3865848478099304,-0.45843777329644586,-2.557051159321809,-2.118511802278471
1988,-3.2395732445178473,-2.892297259908151,-1.2900314957373917,1.6222245937429778,-0.31165844350768607,-0.23192042974209745,0.14332413473269937,-0.25143671741440915,-0.8262271857331799,1.640653808975149,-0.15261739264838373,0.7022899292628362,-1.7536409682088305,-0.4867678900774459
1992,-2.215964678327025,-0.2843663717305503,-0.11797362611782979,0.8844437211310304,-0.34992785140996263,-0.03690845383858566,1.290960568410361,-0.15613569349987877,-0.22965675121440998,0.8979640289394996,-0.21793130749974524,0.8550534885915775,0.029543211300868684,0.7007954285189252
1996,-3.6242280021810274,-0.08702641898248788,-0.6629372436962926,-1.6091259524471224,-1.7290023640308674,0.34356559243410856,0.06394720800694687,-0.42344513819811297,-0.2080044595268365,-0.4839832938857244,-0.07015979599151166,0.04775363843536404,1.4523216069963611,1.0613621269727933
2000,-4.394913589770515,1.7239584906961585,0.10537686408252847,-1.525272592097221,-2.8433872797777338,1.5886007198088163,-0.053705341790014925,0.13536922764050058,-0.3548588923709079,-0.588828368878123,-0.43830876817031683,-1.5175397220573106,1.3849087149727815,0.17980454927237638
2004,-4.388968838753201,1.029182592543236,-0.2860951600413092,-0.9169675370412687,-1.8219521410657202,2.579877808265799,0.5170813343586534,-0.8045117037511694,0.0553617397889305,0.27353662803408857,-0.44340629894195877,-1.1142240708632785,1.67101168735165,-0.7333602326336468
