year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
1916,7.50702580826708,0.051793443818949216,0.9552304494653301,4.759358676890165,0.1906596473900523,-0.8663545127088551,-0.5831809848666805,0.07551490269815876,0.02048186467651355,-1.3531984051024033,-0.2099814836671085,1.8749887874523354,0.0070261494337645735,0.5156796391878655,0.7950433065464015,-0.9415276102244701,-1.376617140156849
1920,8.452978236778314,-0.36008982660651,-3.872139648105377,2.320048312792663,0.13974894046234732,-0.2347683544179265,-4.435225826085541,0.034434062450038605,0.15393411555146175,1.354933733505831,0.13754219317801386,1.9947930640410327,-0.9109283547770354,0.5924879576270038,1.7419463836221871,0.2739599913281863,0.8617071095970903
1924,9.374990455409314,0.02879770999049494,-0.46261416057233956,0.542359707328864,-0.2254593460916181,0.2450768303929087,-5.47992928160398,0.035809071542115004,0.28804834954945496,2.2711049594633375,0.25629027453971276,-1.3219941015422307,0.1118798463431597,-0.06373671718446874,1.4299526512153593,2.0659515146789276,0.6159965753747865
1928,2.7039295293028256,-0.11823496491852752,2.7513212902404827,-2.0548620295574436,-0.2405638801933472,0.049134409808128304,-3.237059668879285,-0.1840402594477933,0.15871764208490852,-1.5776378766273356,0.5977428858899296,-2.525222417752994,0.9014666000961132,0.9657979621767463,2.310147783440732,-0.16100432565972253,-1.6558025180829263
1932,7.32745353837639,0.5704139461518154,5.347390113101896,1.6152620498539487,0.15342606184424884,-0.18706113158919058,-0.3055860568883805,-0.1273976868492926,0.018825709917509592,1.0964383290985213,-0.3518843162454279,-2.4637527042436815,-0.9809540079979845,0.2549204737180385,-1.8486455913969,0.028161707572267953,0.10263451128749164
1936,6.410368417260516,0.11405784338560804,3.0678337348537084,0.0976975269879022,0.07622463543469296,-0.7937917264253217,1.8795415886919333,0.0443632978200367,-0.09712007973014751,-0.01210266272972343,-0.3903718848574056,0.48540109939808235,1.4939387632048429,1.4035269090831672,-2.185555876876272,-0.863070769214097,0.43286343090431
1940,6.091818342069733,-0.7270742175029915,-1.3212765597693845,-2.001778673857847,0.28581453959226255,-0.6315344353004448,0.48256714671048007,0.08212884576424329,-0.2471531907750841,-0.157378525407174,-0.5843467598135419,0.3937502432717823,0.27703504513704674,-0.5327862671941809,0.07429565950847716,-0.4796577313315928,-0.35824465358777446
1944,4.561337255220792,-0.5387062057227854,-1.1014686154398565,-2.484122230494291,0.20324822623898348,-0.49112932962299044,0.39166023908060055,-0.05491331927212388,-0.13914438660815856,-0.8589379709892049,-0.448370420602412,-0.27201452685921457,-0.08825115365274333,-0.6697847498260793,-0.0007878070341683351,-1.376445182541181,-0.5563101824444407
1948,3.065592176930516,0.3609238180710473,1.1836441499624188,0.8302271923106547,0.2886269554896847,-0.6378524446436888,-1.6710803305245332,0.08537571464357245,-0.1439637289468335,1.4565212419824243,-0.2790415305810169,-0.025006459911999804,0.4029023142959988,-1.2091710767131358,-1.497283340760798,-2.5939029289895608,-1.4651844718955898
1952,1.2436215988434973,0.376805964650785,-2.8609442788527137,-1.8945730339419435,0.20320113112861954,-0.15688656450433316,-2.1137872196177323,-0.031145883825495345,-0.19674744115544215,-0.370457414725279,-0.05168052799167886,0.03132413266520021,0.5690268238124159,0.46256891831309915,-2.007009614011483,-1.8942679176070012,-1.0284079608417906
1956,2.3045276204465206,0.39122549997832,0.5702363935353957,0.28920222880504126,0.3894055392665622,-0.3388873708982858,-1.1790679883926716,0.2714705021720213,-0.289339418083649,-0.12089909571688638,-0.04638135506715541,-0.18746528693902828,-1.2819623701480405,0.7410246758073207,-3.088866723085113,-2.803258581065856,1.3076147174862471
1960,-0.6247711369726348,0.3700130520625508,-0.26642032150093486,-1.4393657995242308,-0.0009550011031742149,-2.216290225433244,-0.7057763930621928,-0.030505343196810954,-1.7304582923674963,-0.2417725068459295,-0.057936922878893723,-0.3913697754308957,0.21720342916045793,1.164028461648564,0.1044975528112751,-0.4336333621564524,-1.4294739688168854
1964,-5.273053122915118,-0.2788048943486099,0.7350488063446549,0.8698220588818876,0.37371017917527233,-3.748488878693725,-1.4197230195609318,-0.06123756745075109,2.0734082785342807,0.029263851552131934,-3.7870023121613157,1.5933845996999063,0.6529857147718494,-0.40386652555582697,1.202771615534158,-0.3689700546413301,0.32519635384033446
