year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
1916,-0.5977628306643882,6.440143872772591,0.09438261722853367,-0.1802247034152778,0.29658783786797105,0.10853051195200229,0.9339917572245333,2.7490697578542513,0.12816105030714808,-0.4910827935223689,-0.028072517701201657,0.07280745750399938,-0.501451051093738,1.4286073904473737,0.3883585632917253,0.26411094940848484,0.2853743256207885,-0.0714286268565704
1920,-9.91086410235292,1.0866551319511313,1.221098306253596,-0.3415220608554746,-0.006393537915607851,0.03159359982227004,-2.8854288346526156,0.6749651474105047,0.7252384530284974,0.7119622384282108,-0.3395348304522926,0.5935663207763432,0.5259904686203435,0.6243338205248032,0.7151294683665174,-0.07229717394384137,0.037958536589826945,-0.4750383035777423
1924,-9.986828604305929,2.2221876091453505,1.1874105570677989,-0.4208004350203254,-0.01357259870453926,-0.25769791708264733,-1.2585675772729665,-0.7335496404417229,0.2729925098842593,2.0192415137890114,-0.1822506715470657,0.4513861109819314,-0.06547721739032328,0.2665993727757269,-0.30004087054729006,-0.5840912600386984,0.04750428067848767,0.28802511137062664
1928,-6.365365511135849,-1.2846534627002326,0.3876680814947394,-0.18983362144403138,-0.19709521265453467,-0.019160716698970882,0.8725067872989768,-2.2285347750300404,0.3145931942986669,-0.18297488856610133,-0.17115872507918767,0.04637008548571137,-1.7739158709922218,1.514023279866218,-0.808809571485624,1.0340999671011395,0.42785182362697094,1.0202346074008162
1932,3.333614109470421,9.398488459265513,-0.3715003766939636,0.13336891008344576,0.19162831233302258,-0.3632160348671265,4.269607363173294,0.7347002533556118,-0.47595604553100035,0.840587885011578,0.38214302671267303,-0.20951837454564,0.4318422902169615,-0.326394967947772,-0.278757920196065,-0.3987070494429077,-0.570703998881027,-0.16881381668315912
1936,5.645928694434951,9.892349280891725,-0.6082578670678489,0.1056398620511838,0.3016006509612618,-0.2269166365589292,2.4197632959991036,0.6510835699164361,-0.6151109565323869,-0.4930639021959669,0.6680530344635129,-0.26426101212995123,1.117145474844478,-0.017459013048484604,0.5632919036445831,0.00207848998314176,0.33972569402248287,1.0708538377325652
1940,1.554354169595256,6.972036116207193,-0.0026157993804628386,0.021687752958096922,0.032648245719765295,-0.0691598333143678,-1.1535084926540113,-0.6284149330495867,0.3599585281234626,-0.17480173273203325,0.24835705275898898,-0.12746237255657078,0.3832742858888585,0.3020665218567261,0.022702658003358644,0.2097293230018705,0.31285001474583995,-0.33214654115322606
1944,0.7819915409472327,5.244084852908894,-0.04738765282664115,0.005685786792024657,-0.009271890382680326,-0.08874345166393438,-0.9595077212029645,-0.9463098019375434,0.1401755430199627,-0.7451240465223182,0.07644489169660533,0.05207626777310509,0.04916394363297875,0.46536372487688427,-0.07822142000641033,0.0013333823940686748,0.20815159790774582,-0.4121356650675861
1948,0.5506645620340559,3.8436147244910073,-0.7108334331494841,0.3605016492333006,-0.06210139063716854,0.4224115403806656,0.9521160623317096,0.5204686887510354,0.2126560051017433,-1.2781897761354595,0.2808084008685025,-0.21069684778367986,-0.2949998538413149,-1.8992068359450007,-0.2636085745364134,-1.038915845469506,-0.430413024062691,-0.013829382374949758
1952,-4.487674707777813,-1.135487612615784,-0.02735385853651313,0.13938680636654172,-0.23348197087077102,0.05498049843716048,-2.0877341183875155,-0.9732418335102254,-0.8809403546217851,-1.233354655669284,-0.056510538238329515,-0.10804777277144198,-0.0898256920380356,-1.3807469418791416,0.26094840060726254,0.2356682248852667,-0.5256060265050835,0.33898947256232703
1956,-5.545596993425365,-1.3702839479707736,-0.29325848586938363,0.07695513585969468,0.017090978186457113,-0.29584764190894336,0.30809802229225264,-0.3298299187766027,-1.2888586458684208,-1.6388374257687646,-0.1136537614776372,-0.16551720979186943,1.300220599516445,-0.9223363367620727,-0.022425696696641725,0.6089811314311532,-0.4081304829726262,-0.5545415267450725
