year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
1916,7.505372367188944,0.06780144811398693,0.9386855282627072,4.758300558818774,0.18059983089500875,-0.8473450481905354,-0.5701446104436698,0.07671581086253786,0.011659655015134935,-1.3559250260084195,-0.21079942606901853,1.8834663217960197,0.03770911996453314,0.5366677449449575,0.7927644013839017,-0.9816296658196201,-1.392032626542891,0.04272120696179621
1920,8.455838560345029,-0.35796125317250693,-3.880778907488377,2.286502195516082,0.1411111631364435,-0.24655262755508686,-4.422474716916376,0.042832925254891324,0.1737681307337565,1.3360415373332168,0.15785821418183704,2.056584737167953,-0.9278256312288057,0.5868294498286974,1.7329564909888275,0.2833725981413938,0.8428427487632538,-0.1439679753101386
1924,9.379995804049077,0.013590389440641275,-0.4727042588253011,0.5629577285793054,-0.22085138301602453,0.23569941067724012,-5.48086268005764,0.035110781790611015,0.29304342264849176,2.241767960935333,0.2693074972483298,-1.3090175073521053,0.09134531929065538,-0.05671389198446716,1.4336021293432766,2.0704280683322427,0.6155736266585223,-0.07397142021158579
1928,2.7078041611414703,-0.1551917926745021,2.752698024539778,-2.0700280316703115,-0.22994985264651588,0.02356025130486143,-3.2349553436655087,-0.18203631564455264,0.16838102397322546,-1.565145592686179,0.595980667637505,-2.489581729699556,0.8214021755099279,0.8702359397475321,2.301424907424613,-0.1445286503568845,-1.7003667758564156,-0.6149763951129114
1932,7.332481153304133,0.5536591166913232,5.333826673092401,1.6228681138769154,0.16983082677928427,-0.20643921811016522,-0.3082235690569372,-0.13131103953253895,0.04094282137819941,1.0931043625833394,-0.34024957375070547,-2.439977038571484,-1.045806708745574,0.2443516065016634,-1.8533473301152597,0.0368326030452732,0.07774498219239777,-0.21193629430989472
1936,6.4131210287395515,0.10765060253942743,3.0655544726782136,0.07027989182006751,0.08758941329334521,-0.8072582149634262,1.876372099945677,0.04834963906479601,-0.0867155501488575,0.0021542241522658164,-0.3917828318226859,0.49353646563530856,1.4503400460143445,1.3207175978509191,-2.2007632498826437,-0.8848575702999176,0.4181962510612529,-0.5669699189407976
1940,6.083134180354323,-0.702883754227629,-1.3339791411588364,-1.9557870061198184,0.27808996338341063,-0.5938006197351868,0.4635747980411119,0.07675560770257092,-0.28891082566229276,-0.1763699276657981,-0.6063364081869229,0.3066742130410699,0.3803787515391115,-0.4367292077250453,0.07186293670393497,-0.529364007718332,-0.30639395339772363,0.665342841218617
1944,4.551662409186633,-0.5200476719940159,-1.1116687812578323,-2.4485075521928303,0.19614702982295756,-0.4599409636549497,0.37347801424657023,-0.06013827643359142,-0.17408944311034383,-0.8687340660656501,-0.4694825259632492,-0.3414860255192766,-0.019495408845585857,-0.6006422649369333,-0.004629853702092334,-1.4097254863148618,-0.5229162087161549,0.5424084857033263
1948,3.065223183218531,0.3460031048370069,1.1898913814931131,0.7976719157856852,0.2972045559689194,-0.6522854363306136,-1.6697150661471,0.08751123083346166,-0.11279060210262785,1.4964896848181402,-0.26230007834856145,0.023631880027210304,0.3117470047035066,-1.2679582235516678,-1.493698902914663,-2.575220126577142,-1.4789813265520244,-0.17619231155059262
1952,1.2375479856415788,0.36459254707315253,-2.853459119521049,-1.9311952042167553,0.20566959361463655,-0.1718180866947451,-2.1165006664512447,-0.02582984971382348,-0.1817596608465246,-0.33896641802489086,-0.04411238324491575,0.07038250849646346,0.5134487381896655,0.3560795859388327,-2.0164048321305703,-1.8704798072408273,-1.057466358808854,-0.44524914194144344
1956,2.293027565977355,0.42569031154036746,0.5493216953944638,0.3293234836730696,0.3755204306701402,-0.30714066008113866,-1.1927830866418245,0.2661157447069279,-0.31431167538815286,-0.13927305157636566,-0.05154195093454163,-0.23634429868537396,-1.2599948668276124,0.773217415511304,-3.0872624357546927,-2.8169539675436135,1.30961536019258,0.10281093523516692
1960,-0.6426693120073536,0.4174787016705345,-0.29995083314244336,-1.302158565893565,-0.03581804135011039,-2.1268514700793872,-0.7317184775614161,-0.04528708248077412,-1.827856641903115,-0.28363283949752577,-0.0936989724484066,-0.5869610530350181,0.44026903274377127,1.343463288884403,0.12221159786906344,-0.5191607199447581,-1.34806510771053,0.9626701151361751
1964,-5.274180005786742,-0.26167717230985427,0.7330493787067865,0.8913429543518588,0.36834524494737003,-3.731892413466693,-1.4237679257325948,-0.06511798468109584,2.0618833450132885,0.03252165868680375,-3.788236081467447,1.5725283690628507,0.700638898608371,-0.3464304203294131,1.214060192891568,-0.40251447607051966,0.35587523527732295,0.29585434404061906
1968,-3.013894478535021,0.13131625635980804,-0.08786884537533343,-0.92510179151339,0.09472133481662447,-2.112278994309136,-0.8716069232340231,-0.11947276023580469,0.09620367218327587,-2.2530162017822355,-1.5783161628924758,0.6303786216172679,-0.7254767062884103,-0.5080719212194583,-0.45409635581730173,-0.5917624146577001,-1.59132071035103,0.19258072534319298
1972,-3.864810536931158,-0.2734815830355363,3.398205037971321,0.44953892197362577,0.012485836942496522,-1.9141631858935517,0.47732454782311545,0.13609263308621264,-2.531223945391132,0.06354646522015474,0.8878683760072699,1.5673924951095812,-0.6974484560004869,-0.1343130849783618,0.040298144130642755,-1.2279914415119,1.2466388118155933,-0.4225872866018564
1976,-0.5401074203092863,-1.063777814816074,0.7812110007731514,-0.12833843197086248,-0.11601580980514821,1.5045068061394216,-2.4154745031916947,-0.10690641991740799,-2.6126559440864607,-0.7354993379998211,-2.187982735115104,0.6141390824094234,-0.9932249288126844,0.047379576794510166,-1.815719111836659,-0.14107950326003676,-0.2724308432176608,-0.19437575379683814
1980,-2.547112868932402,0.8213180331827903,-0.8481485380273334,-1.107194528079429,0.5708157637143054,1.028369525611338,-2.3631832837880093,0.1608103780507496,-0.8916523101623205,-1.792350421433956,-0.4697185213052063,0.8547727374153263,-0.23994144042544377,-1.4831548786671704,-2.670941336893871,1.1196240582964567,0.18180634714738506,0.33415899643825214
1984,-3.0344862134407014,-1.82977753002781,1.577940731645214,-0.3484273209946627,-0.5638940817470035,0.7451965967349061,-0.6172115243451255,0.07265018964211978,-1.5866705576177798,-0.19129219515322962,2.0249295502375206,1.0082925798755114,0.0585761938455638,-0.7731445221790055,-2.761103749591486,0.35066565824718177,0.4962952875290057,-0.01311826593193305
1988,-3.059427129208388,-1.9843722875620717,3.1866628881288164,1.7301877114072914,0.056202142811399736,0.15341022001524024,-0.3851746947029073,-0.0008092890767343133,-0.5327204538919765,0.2540821146523508,0.46929195800267626,0.3173367447207176,0.43539601842756304,-1.1726978495661031,-2.050497982411099,-0.6904942888839933,1.400716959445016,0.9505083987633869
1992,-2.1935707102679243,-1.463795860505185,0.20438135784697736,1.0634979335388615,4.059139466727542,-0.1509803197777557,0.05554366955664998,1.6990254966515244,-1.4322687980806128,0.35362581165569806,-0.3760821140983208,-0.30475590033881655,-0.058666218427290376,0.15862812244504607,-0.3784029618649238,-0.1747380739131153,0.2772365995994239,-0.4783284255737561
1996,-3.6944286803614803,0.7662574230090227,-0.012115559117365771,-1.458405760362515,4.067832685483615,1.432810824722798,0.2596746008809722,-0.689126994696009,0.1415553121614972,-0.518387451419199,-0.7544664973552349,0.0981391655470126,0.2577248621065516,-0.6998393613401092,1.3869183295375722,0.09124844375311053,-0.28999487178772965,-0.17863464520424086
2000,-4.744450070574879,-0.09629496064964901,-1.7343795780271305,-1.176870456065283,0.9261371110898518,2.6366443687670413,1.142845919998472,-2.607181728545292,0.03699167703943259,0.01874251532707248,-0.02084472666192311,-0.5403569876278594,0.5343690096610367,0.06502636283766841,1.0535395794658338,1.1155996536771002,-0.26634814930419626,0.1158579930405131
2004,-4.695391437504846,1.428572655116469,-1.1047770266046477,-0.728815025918668,1.4186925539395445,1.5452653881677139,2.263342133485715,-2.8778018607703215,-0.2281486022085856,0.10130748069808819,1.0653568954048114,0.5645846190355895,0.11993431726645683,-0.44244990651280874,1.5168974201606298,1.0067308628116103,0.5346603915273114,0.2801391951822221
