year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1916,7.502553879333118,-1.6046379337933085,-0.9915923240157646,3.5756614818622037,1.6207007395297581,-0.7838436585319519,-3.074112535587916,-0.935448307909135
1920,8.328774527647582,3.795542262455539,-4.902334758174044,3.318633687240403,0.191351059713171,-1.0373074186934097,-1.1113985517025837,0.30629063625943476
1924,9.099653794683908,0.6294673338682107,-5.7784884695024195,1.821712597998597,-0.4336710731456146,-1.0646590221429741,3.101943717513155,0.7064578006595408
1928,2.8052802512631554,-2.937398818746506,-2.8087984935306216,-2.733854909416948,0.36725199361540356,-2.649441260047035,2.2960809304856244,-1.2012845273458523
1932,6.957097705722248,-5.767846157652958,-0.9574696042787104,1.4817600758632512,0.13280186480537035,2.183693348485657,1.9514302686423173,0.5883241782448283
1936,6.15117606195462,-3.5167134827123347,1.1338040546127917,0.014368481071213758,0.9097703504591658,2.6882750850539763,-0.7877868772712653,0.3564189862089825
1940,5.89768845763674,0.9595485057338328,-0.5431283516202737,-1.9248857777589363,0.6621402248155752,0.7655132074536221,-0.9277039103619735,0.1591575648558446
1944,4.424560179979811,0.6743437544398114,-0.41790879704283684,-2.829116615918693,0.7416878585733231,0.8514866017547273,-0.807312857072551,-0.09322122868291076
1948,2.8226990179925835,-1.6373315397565744,-2.1703732647990024,0.32571317724206467,1.1181252259784114,2.061980154863109,-0.7078519593015126,0.2632319552727439
1952,1.16934139208915,2.4564383323160595,-2.3259205955267217,-2.5056400977191298,0.5854343483544182,2.052597365772284,-0.7312348494353212,-0.3742585416052045
1956,1.9234472919888295,-1.02859239280355,-1.586132039577587,0.3098624133749034,0.49914871407991773,3.916966904150061,-0.8020666959966356,-0.006425995395825362
1960,-0.607686720057516,0.03560819431202889,-0.7506161370665553,-1.735491674133719,2.2379418163577727,-0.21737415788055758,0.14833621983859963,-1.65472237375102
1964,-5.611419349592361,-0.8170012185250335,-1.6601630333807735,0.6813977828888106,3.8178936306618714,-1.9359181994608075,-2.017478737264101,3.1723602326618043
1968,-3.2672842368399384,-0.12590030207571812,-1.0835927573733835,-1.837334149691179,2.341964197513836,-0.2886507759841989,-1.6273357913734152,-0.4243926982152509
1972,-4.121152553787422,-2.994833628232289,0.7581213735706993,1.5123482278106257,1.299901713734695,0.5648268071698364,-0.7292933494394024,-1.9925018101025793
1976,-0.9543602591122013,-0.7227086308612982,-2.84265609159248,-0.42490014667339554,-0.8944317660981732,1.4055888964925323,-0.9249560050269335,-1.5316764859677807
1980,-3.1059553757382417,1.197659248049454,-2.4499978024137357,-0.8970680385402754,-1.097761425828207,1.9369625702049391,-0.20162414728007316,-1.2372119516161981
1984,-3.34470399331542,-1.0613869527599864,-0.24159904967062268,0.49765023273650516,-1.6847469885541007,2.354236572989878,0.3388354386655936,-1.938142426000343
1988,-3.379443779014393,-2.9053851972380293,-0.055614795353290614,1.9994799268530383,-0.5078374081522812,1.9323066974422645,-0.046006752486884545,-0.03954727961203717
1992,-2.194599067567143,-0.4523243560370025,-0.08777135806012586,0.7947889880211213,-0.04696012744887985,0.45196993467713686,-0.7316767231351264,-0.4639994879917344
1996,-3.6214650134737947,-0.051187833114605966,0.12056516681265228,-1.7854798585731946,-1.5488287627082031,-1.5044182915543693,-0.8848780281406925,0.3948790552102834
2000,-4.291543165927682,1.9045719421245704,1.568985435522425,-1.7187738738086173,-2.758538683837539,-1.8016167801659453,0.3030611443195239,0.22679762101341705
2004,-4.3833652415505995,1.383538929847565,2.5899850865100085,-0.4310322803637542,-2.1880445454247424,-1.6158966194294442,-0.2044422579552078,-0.35401074989526615
2008,-4.100719172650471,1.0431292344847483,3.419802731949692,0.6491303269402531,-2.5892092668991133,-2.0266481579107296,0.5225356026016239,2.284057987415824
2012,-4.4831625002180635,1.9310150337152527,4.150996032095164,0.11649058191471107,-2.010812087238613,-2.3149368736106135,0.7968467622642453,2.1363737662041067
2016,-3.0424421907804073,3.1302636719662913,6.045250406781659,-0.45634718969147114,-0.6499166515701794,-1.8652940678710372,2.2844341263526893,0.68631718868433
2020,-3.323750232792426,3.4036488017530995,5.967545181536408,0.45857733892022956,-0.16589831314502765,-2.257204789875564,2.442351953487211,0.47207549483161904
2024,-3.2492197078736633,3.0784731992427288,5.899102253587442,1.7223492915513825,0.050543361857983735,-1.803194073351385,2.131303864661018,0.4941013965683771
