year,PC1,PC2,PC3,PC4,PC5
1916,7.081318081003999,-0.5870801437527948,-1.5285620763808139,3.9831038266670644,3.003453619751815
1920,7.980841231318428,4.182803447461067,-5.180617161236692,2.9945755800414915,0.2545025174253827
1924,9.303212159275684,1.356571866903713,-5.3831735718094,2.05249357243974,-2.4154232123368677
1928,2.9641833679309117,-1.189772310961753,-2.3233752031480543,-1.375416583591677,-1.0661759659778804
1932,7.4453356003607,-5.6326438140844495,-0.650484289384759,1.7832398184844227,-0.2043701077262941
1936,6.323035241650101,-3.612891292757252,1.1535744690222853,0.14260047586835117,2.1563713163469327
1940,5.811410200287297,1.233586028021605,-0.479001631319062,-1.7353202731927735,1.5521740136507296
1944,4.391307377954037,0.8845194933503153,-0.29941137601101725,-2.6290802931945563,1.5953509910684902
1948,2.990003014028138,-1.9765394118555555,-2.1523102541615757,0.10347740591242198,1.7490066370733655
1952,1.2631429846821831,1.5393977655900388,-2.2703973679740805,-3.31471470046361,1.2277597502346107
1956,2.216494681507339,-2.457643354371278,-1.65991032560879,-0.7981116771782669,1.5362453375317178
1960,-0.5292600860996013,0.1571506198322186,-0.6454690270804482,-1.6759520523061633,1.6005882081226817
1964,-5.857907621965762,0.7315095871065271,-1.4909643057288116,2.4824933953378308,3.728764608608779
1968,-3.356512931573336,0.2242075882720578,-1.0806960397848315,-1.4263156561709744,2.7454020906608
1972,-4.018756195285624,-3.4273378963483494,0.48894085820877725,1.1246825473741258,1.337768699911925
1976,-0.8539068812968172,-1.5386914115684454,-3.049546460396377,-1.341376352716563,0.004243648448737363
1980,-2.918388319217733,-0.2715983318691897,-2.5719166588848474,-2.2823055948128284,-0.6834541729943218
1984,-3.0526914722487044,-2.7631986545436877,-0.4699308509840435,-1.063297417139754,-1.350632929626975
1988,-3.126829681065668,-3.8526549454111763,-0.1925809383830144,1.3437786049068947,-0.1917993157860678
1992,-2.2029762687241763,-0.8489592159120375,-0.26849901726802905,0.4266345659287214,0.321651646101685
1996,-3.8219379136915914,0.5575859620161451,0.09245460933667188,-1.2274223206191104,-0.7722078021833364
2000,-4.478421357089299,2.08820847993824,1.5590328400055935,-1.5845673123666648,-2.621116273873858
2004,-4.610475642133327,1.4184678840570109,2.4058389392546977,-0.4726380627558801,-1.9458191139575085
2008,-4.326946929243907,1.5740298705871871,3.445446169623956,1.3227818127521291,-2.667688549190835
2012,-4.722381735822173,2.491206999978115,4.233703925797751,0.8434981428810401,-2.461901403092071
2016,-3.1241984343551454,3.223787343050836,6.241763770003806,-0.1603090266117553,-2.2946437227648957
2020,-3.424843123337705,3.524774495663859,6.124832590805505,0.7172067236169555,-2.229113098145042
2024,-3.3438493468482413,2.971203351607028,5.951258383485601,1.7662608509093882,-1.9089374172816997
