year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
1916,7.513571003097559,0.02844043028088104,0.9567974223402618,4.7654976847537185,0.18646128928515268,-0.8630440821525031,-0.594888714668289,0.05844633556029635,0.01949825225745171,-1.339178857643058,-0.17483231059582083,1.8287931546669933,0.008585808922460948,0.3831270116429153,0.8217564368813439,0.4339972883623236,-1.3693199236025173,-0.11076908466537276,-0.9301265933023808,0.005197518869226074,0.38652838771584597,0.15353541740578774,0.4026483616824526
1920,8.44024436098121,-0.36653437040149006,-3.8307710137480924,2.2447683014819964,0.09945594255056674,-0.22207796553095738,-4.443162864692576,0.08097669776071005,0.1533633077556089,1.4870176139760278,0.13710232922833734,2.1460077601468934,-0.7153585121171948,0.66874381384857,1.7735957350330351,0.22678822523635467,0.8006511458605408,-0.06038621657201135,0.2510371252868847,0.14709131180106347,-0.34032900099661056,0.0018297325117720498,-0.6774698817176457
1924,9.35647883049426,-0.03138502375372096,-0.47516722860374216,0.529709128781766,-0.2139567728264781,0.2375971518052228,-5.487476892112484,0.005205324772426134,0.2890696079805747,2.351750966999905,0.21428548990337404,-1.3661429315280533,0.02203558944244392,-0.1261683452800251,1.4103829824992653,0.1605837525393193,0.6221167545763265,0.09468864821292278,2.034569747024612,-0.2924847848331119,0.6295309311558024,-0.11250389308833579,0.1602433274756371
1928,2.694954907043915,-0.07888449239188249,2.74983920872873,-2.0666004066251507,-0.24003748430453478,0.013600269304686384,-3.179081122672015,-0.20003183919326809,0.13535809726169762,-1.2970400622190532,0.5486252597211927,-2.4777285660568866,1.0252460933780039,0.6531909375399815,2.2122616415990315,1.1541418906920815,-1.7470309636903951,-0.2519221199231939,-0.1896756764542228,0.006472407834916697,-0.35592738330540474,-0.7829759587905671,-0.20869424598241204
1932,7.327078804122489,0.5081928800013384,5.375451288214064,1.5764858390587124,0.1380095753219015,-0.19035955961893639,-0.350029065452891,-0.07869631310051661,0.0251747878329813,1.0316583132601125,-0.29879585519132756,-2.3533602281334693,-0.8827897254993332,0.410019572948899,-1.8311738111032043,-0.4107101675173187,0.026333460421573418,-0.25318968677902426,0.06862134747389396,0.0109425598873617,-0.06995750642490053,0.4409744064483392,-0.8207347504652837
1936,6.409646273532741,0.16021456290055375,3.0161646770030073,0.09160353197036936,0.10054671125055707,-0.7945265992809433,1.8215830466242016,0.056183698629623274,-0.059026278202350124,-0.05426337009156821,-0.3923669913695921,0.4583784912619535,1.4498265728303243,1.339785872816459,-2.2872128135435728,0.011669188113652411,0.5262161962501585,-0.4374250134318455,-0.9131994069994555,-0.33876346110991656,0.16504144300964174,-0.35656630572441445,0.3531591449575938
1940,6.075572648966592,-0.6223547091117516,-1.3146194425767173,-1.9231385195597366,0.25444849046148366,-0.5687691792063404,0.4082711834196526,0.0450045587436273,-0.2921631739095688,-0.30537611243565965,-0.5498343520763747,0.2625302609618423,0.1857590307941761,-0.19612488813886136,0.14958088017666227,-0.674070096378272,-0.30539556206810675,0.3418115613380628,-0.4519618904760222,0.12176858015521161,-0.6701914044653471,0.1201101047764965,0.7684899301155873
1944,4.566887191422197,-0.5537795149677659,-1.1152118592161442,-2.4481376646269153,0.21037160571917732,-0.48107433518993054,0.38839490313069125,-0.04739868012341091,-0.15828834862040853,-0.8787445052917694,-0.4526592054848872,-0.34263506164577257,-0.07176577261683376,-0.6222979724822861,0.00798436207005045,-0.1343486736836062,-0.5480089838996846,0.4417890151420087,-1.400700568883137,0.2818579044831718,0.061585888461388225,0.15463607478248165,0.11451416294311628
1948,3.0511822260127954,0.4148081518199636,1.1780395944922482,0.8133248489698653,0.2883192629705016,-0.655887839659171,-1.7090531861058254,0.06692737561273723,-0.11525787624119693,1.350835743963061,-0.2701902020134825,0.01914860363912513,0.09993992143382263,-0.9601283960295345,-1.491649548723064,-1.0170130201265815,-1.4834858941608233,0.0061170953811350995,-2.5457422100753226,-0.44372617645975587,-0.20729604834261342,-0.29631233296633264,0.28193024635343
1952,1.2500018331647198,0.3066671335600347,-2.849861627991374,-1.9481039783071117,0.1953584620337938,-0.1826923745860569,-2.1157047719006146,0.004695534696526233,-0.16858090353080843,-0.47229672290938196,0.00035539242672718663,0.11378878679515202,0.5759485553393892,0.19941731693073889,-1.9362047282997445,-0.25300401538686573,-1.1587737176274284,-0.631124931460683,-1.7886916025022552,0.005848551725636059,0.3025788004437063,0.39243539225900864,-0.2499577523936396
