year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
1916,-0.5971707766653258,6.443536892266018,0.08865299217348262,-0.15748054510561965,0.2943642173283339,0.11938957077517794,0.9366755485065698,2.65289886741273,0.4618267772828309,-0.5089531682351061,-0.003507407248128195,0.03946728300346636,-0.407197468218289,0.6533419475131622,0.4485660419554433,-1.3515265689672904,0.32614678437009104,-0.06670665584876408,-0.1788205272864737,0.09608299686911156,0.3791630294073281,-0.02327612065705195,-0.17097781198611334,0.2601204724027541,0.11774691211320447
1920,-9.907557583998875,1.0881891435275621,1.2156670255810451,-0.3477158056550997,0.015188334713063582,0.028618929784148154,-2.8928082466618132,0.6436343355151406,0.7395778937824192,0.6609521563090548,-0.3444525616372693,0.5538947529143677,0.5425001969216797,-0.2169879540127304,0.7022370098789759,-0.6112223393239155,-0.4023436379832852,-0.1110482089676505,-0.3676372612367953,0.27268142490585323,0.10123035130453294,0.11892473148561954,0.5406869452457025,-0.13849099072031157,-0.08543724167024636
1924,-9.989496136778442,2.2243355533417493,1.1891820033344116,-0.4201610876682297,0.0018537256349984695,-0.2584009888183883,-1.248132490118265,-0.7191659130746989,0.22894820202149882,1.9740089714752038,-0.18326734339035233,0.47654015704414626,-0.06375212247682199,-0.5470374734548336,-0.45595931492704284,-0.29407567727785555,0.18928851223049759,0.333429141680562,-0.11221657402263752,-0.08104646967654193,0.37090447136421906,-0.1373216441753002,-0.2772158593077092,-0.0023049195004955624,0.07586410364862611
1928,-6.359847262085856,-1.2807521686281715,0.37273015876572363,-0.18165165292126112,-0.1937481307547151,-0.010847603495026174,0.8520636743318089,-2.2220216872942435,0.12345098782416436,-0.2320284449671189,-0.1831530963991397,0.05644441378410733,-1.602350951851362,0.9573201179510876,-0.428809762724065,-1.3884902413178752,-0.016866430095477336,0.807031268596243,-0.7150841213080402,-1.246175843445141,-0.4323551845143953,-0.08005899410548668,-0.3613677840915234,-0.17558629490733157,-0.11971485955970994
1932,3.3371872984526094,9.398296451263423,-0.3867343333374413,0.13369796108494225,0.1875757796788812,-0.36588665994427566,4.2547970767230545,0.7961291093073644,-0.47493743341931594,0.8304485602492527,0.36150464039900665,-0.17587145546527924,0.3543588010010378,-0.43993919879517357,-0.33121947457825357,0.23162839445489908,-0.5461126432419643,-0.5031172767241308,0.20658810462144142,0.02433717533518547,-0.029291411384973865,-0.0040700035671223924,-0.11271995650908227,0.047831586680027995,-2.7465356467462433e-05
1936,5.644829002689665,9.89004386137673,-0.5933615155043519,0.1185247620762016,0.2917351368884398,-0.22072393197901974,2.4204098214791236,0.6461372186249845,-0.8921799870190278,-0.4907691705870456,0.6674621574017386,-0.2917652930108969,1.1504723054679977,-0.0767144657676384,0.7012752308255686,0.04022794134480442,0.4253677802519125,0.3442844857985452,-0.2724852982043135,-0.24386858800656885,-0.008978135112245107,-0.5099330867861092,-0.24721556687243065,-0.1735620030428858,0.12785742911629644
1940,1.5528430045247765,6.971977036148002,-0.007738831387470065,0.021555211406866812,0.024467649289870715,-0.06835229708479318,-1.1503157804575084,-0.6266518788806986,0.3885249932570943,-0.15018138056449515,0.24754111999270298,-0.09845821770639981,0.3449120798061525,0.06484659914439676,-0.018571728673863627,-0.27182144816854037,0.3962997817172131,-0.09258020608373525,-0.06804540072043644,0.09161626203119985,-0.37449689489851945,0.18019174567918297,0.29840063549390705,-0.028004997503292352,-0.0698571578298925
1944,0.7844811932853186,5.24552369322866,-0.048536344419266096,-0.0032862725493007006,0.00010303438205064538,-0.09720680833947541,-0.9403138327296526,-0.9896393758521245,0.28014004995067804,-0.7503076732398772,0.07434218479855716,0.026640117350109297,0.08313050851593644,0.209369815698362,-0.19552942768382675,-0.3470950421778288,0.011242608971714876,-0.13957140115177585,-0.11754207473560498,0.1930118280812441,0.3244251775996558,0.2831215236832281,0.20903465183297948,0.07238646188970116,-0.06103707515547414
1948,0.5476983231997127,3.8408168428040184,-0.7003279853666939,0.3589888125421817,-0.08728845238931694,0.4321066279106844,0.931491948983805,0.5635691271975234,-0.07180508144307272,-1.2738438359113384,0.27798532987998176,-0.19368034455533575,-0.43994465452736004,-1.182632693418074,-0.045621533556689596,1.7108838162699285,-0.10502095554786955,-0.14664262082857057,0.8157229809282751,-0.10834623630556214,-0.05145145588497704,0.08193873662457099,-0.22345195484099983,-0.22697747649491112,0.11440814926602973
1952,-4.486114460369665,-1.138187960197865,-0.02752238355584708,0.1118902640225919,-0.2284988876666083,0.05289051627879724,-2.070498440443697,-0.98441235238829,-0.947690162287148,-1.1637339302617296,-0.08110449745521098,-0.0852284934516075,-0.1513595222005692,0.17167733378668615,0.12462481032556103,1.3591827773844978,-0.2503983909266407,-0.24374322481012475,0.16069958456312164,0.2851693497204525,-0.3183553197371919,-0.4257628256163158,-0.2330890852281272,0.5077727320947847,0.19409510762122423
1956,-5.547422320187807,-1.372285672876071,-0.28378420031664675,0.0737513037178523,0.019390538823154512,-0.3103854249235996,0.3188353084258093,-0.2921720768665909,-1.165163896809088,-1.5341231972222025,-0.08861422078039383,-0.1359320348765907,1.187418810495296,0.7013732245222385,-0.27437072450073213,0.893093145167281,-0.08440694063303406,-0.5045281165162809,0.6146142757106069,0.7364661636676724,-0.3277902958355911,0.09835106996020279,0.27031037395644003,-0.030262850373628733,-0.03034769398304332
1960,0.03392117807557072,-0.20345054578547642,-0.5430879581599493,0.12193328222459572,-0.13348842503430502,1.323715622348659,-0.10356071017005933,-0.6607505289492535,-0.551097049470457,-0.4663725469044387,-0.08915681206180474,-1.5640969445203634,-0.7535066533127692,0.09632823697204777,0.28789604587335765,0.1255552114737405,0.37986429802858823,-0.030371546071766578,-0.5575939230289255,0.19523348290635953,0.20172599028668275,-0.03610857216757526,0.1797374097940488,-0.02262573163202505,-0.056748073653361826
1964,9.11049889085216,2.0480854850903705,-0.9187516482112198,0.9588116481079741,-0.2549338484792506,5.923788402991462,1.8254752586373697,1.079182051255182,0.8336651418413003,0.24921338191511946,0.29796046894252204,1.664069677888062,-0.09203313472988092,-0.3501923105226679,0.47133857266963575,2.1208812401740103,0.025917330114694447,0.2914820479189176,-0.18919875802085798,0.15857254838773882,-0.027702624742597184,0.1411288343412063,-0.32105402141639594,-0.13933954784567532,0.04273124874997763
1968,0.38998149692784945,-1.791461197505551,-1.6781882684158462,0.3353385911845378,-0.2392761993839986,1.6466495630891753,-0.25648191149352517,-0.37267502724361945,-0.10287145071411251,-0.4870643261276971,-1.1015414598384028,0.3759090186171927,-0.9412460534125822,0.7038176989683256,-0.031802168514473074,0.14033718013005458,-0.03676511763807582,-0.512896891983102,0.5153527751902549,-0.44838549891306373,0.374943069827992,-0.4817468061518256,0.4577919955192317,-0.1890503164967441,0.07363369762735844
1972,-5.042323043373594,-7.424595929692229,-4.908231654208909,-0.740436781704818,0.25793826892995625,-0.9624947722565205,0.7050113793886882,-0.3843699013759204,0.3880230252527302,-0.9011125994961691,0.7444119902272981,-1.1821738721574677,0.3331148638844532,-0.45324866824635207,0.03046834286462526,-1.6972795058568704,-0.01967271077497466,0.003652981006268869,0.042695619906271486,0.11677387314099383,0.11854329418748842,-0.2995917170661386,-0.19110675639886432,-0.08048669672758162,0.10143715897442669
