year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
1916,7.509192404411786,0.05499337212835646,0.9261497671211613,4.776544461887294,0.1932104013812809,-0.8609738287303955,-0.5906122846487648,0.063343888107177,0.01511281426625315,-1.291934776165654,-0.20800979209008683,1.8497730790827807,0.07197230090690482,0.40357542724018014,0.7750450535762836,-0.9992535792395367,-1.3672205130913584,-0.2105262078670104,-0.46187594997014175
1920,8.44245967313768,-0.36035054356904284,-3.866644000051445,2.2698477731089124,0.11763327725816064,-0.22912614714880272,-4.448610841829755,0.05849328578665774,0.16402232647662102,1.392764665281155,0.1688523585939487,2.0758647391782596,-0.9260873346777876,0.6263601197169774,1.7214315815195889,0.31114160433929827,0.8266089307117734,-0.1824641671362915,-0.01731662504120816
1924,9.366672204989658,0.009507098754956587,-0.46836856751772377,0.5387596360568512,-0.23208176343613612,0.2245695465408886,-5.469494244108953,0.023244945475179978,0.2729007764146629,2.3963912393141324,0.2253352363014972,-1.2965842488854105,0.09886282059797809,-0.0847860686133776,1.381414140570529,2.065800213321324,0.5450787686904279,-0.11198231332996647,-0.02476937854007837
1928,2.7142709616502647,-0.17776713867095997,2.7376473806855572,-2.062852081430106,-0.22559116748934005,0.014224961293245712,-3.201985635947553,-0.1993060233874559,0.16798067017998364,-1.4419976036086846,0.5876091955089102,-2.521932222426649,0.8859937119307525,0.5878257791806749,2.304621917744165,-0.15029119053670947,-1.6890523710072203,-0.9802511443200594,-0.4867455955213629
1932,7.323185627907965,0.558375847492092,5.350968101269427,1.5988519767703622,0.15082932016183534,-0.18464650610051525,-0.35138319398701173,-0.09979583635936415,0.03962939967627386,0.9999145519480888,-0.31085108635843456,-2.4083369093664655,-1.0785494627414378,0.47826853799253416,-1.8540975652793181,0.04884164542212033,0.09364647035244068,0.016731882406904482,0.5140008343998335
1936,6.409238708434097,0.11188298007909134,3.0628457677996814,0.06910352958529883,0.08504249846453896,-0.8013475805224098,1.8362846718304544,0.06394654392055958,-0.08167216578268781,-0.08581179052553917,-0.36959775383454263,0.5059052245481007,1.4637219393121061,1.3384150797058199,-2.210472551824272,-0.900277972420532,0.4470310241405358,-0.5432579967272598,0.26994075704670595
1940,6.0848467428257775,-0.6939640980962223,-1.3309434000315983,-1.952664540845054,0.27269998488270963,-0.5820936563294634,0.43726098981829614,0.08826037521053091,-0.2833321729626802,-0.23636389817581693,-0.5812652285530714,0.31433403582397185,0.3522221960014796,-0.3174547345331406,0.08086656881386367,-0.5388916428615629,-0.27455860234167606,0.7868662293733152,0.0560820075036193
1944,4.555247340147678,-0.5155905530820714,-1.1213748334174167,-2.434813150634553,0.20324061463288753,-0.4657452752375402,0.36168517384910426,-0.0699687562019514,-0.1662674654832956,-0.8791010676544614,-0.46211781452564527,-0.3559808164456359,-0.03377800427574388,-0.5885966475541933,-0.004978551247365,-1.4259051189849068,-0.4908507718533234,0.5460187167238323,-0.1559510428870326
1948,3.0517573481902267,0.36864170642693217,1.1885499255198755,0.7917099453162963,0.2881892200349095,-0.6495350462438658,-1.7059416739932012,0.08185577305967184,-0.11196738362027225,1.3592250352638144,-0.2609815785113492,0.02190286909138464,0.23187818051603165,-1.0245715726518365,-1.4950409262876287,-2.594462562447465,-1.467228463217339,0.29120914315654856,0.9325526881087983
1952,1.2277545256878923,0.3694908562057337,-2.858584853278744,-1.9283774630389676,0.1949836164113321,-0.15988045773942042,-2.144139437516822,-0.02407767512427459,-0.17217697715776473,-0.4636657260864517,-0.012664090755238125,0.06107603133422178,0.5024584746727244,0.38604684762658337,-1.9868009614609023,-1.8576390255933597,-1.0155660360651684,-0.33950596377206305,0.3536216873688508
