year,incumbent_party,challenger_party,incumbent_nominee,challenger_nominee,d_candidate,r_candidate,Mandate,Contest,Incumbent,No 3rd party,ST economy,LT economy,Policy change,No unrest,No scandal,No Military failure,Military Success,Incumbent rizz,No challenger rizz,false_keys,npv_raw,npv_raw_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_incumbent_relative,npv_incumbent_relative_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,pv_winner,ec_winner,incumbent_won_pv,incumbent_won_ec,d_votes,r_votes,total_votes
1908,R,D,William Howard Taft (R),William Jennings Bryan (D),William Jennings Bryan,William Howard Taft,True,True,False,True,True,False,True,True,True,True,True,False,True,3.0,-0.085253249008,8.53% R+,0.103039476477,10.30% D+,0.103039476477,10.30% D+,0.103039476477,10.30% D+,0.103039476477,10.30% D+,0.085253249008,8.53% Incumbent+,-0.103039476478,10.30% Challenger+,-0.103039476478,10.30% Challenger+,-0.103039476478,10.30% Challenger+,-0.103039476478,10.30% Challenger+,R,R,True,True,6408979,7678335,14889239
1912,R,D,William Howard Taft (R),Woodrow Wilson (D),Woodrow Wilson,Theodore Roosevelt,False,False,True,False,True,True,False,True,True,True,False,False,True,6.0,0.144477721031,14.45% D+,0.229730970039,22.97% D+,0.229730970039,22.97% D+,0.229730970039,22.97% D+,0.229730970039,22.97% D+,-0.144477721031,14.45% Challenger+,-0.229730970039,22.97% Challenger+,-0.229730970039,22.97% Challenger+,-0.229730970039,22.97% Challenger+,-0.229730970039,22.97% Challenger+,D,D,False,False,6296284,4122721,15044278
1916,D,R,Woodrow Wilson (D),Charles Evans Hughes (R),Woodrow Wilson,Charles Evans Hughes,False,True,True,True,True,False,True,True,True,True,True,False,True,3.0,0.031189132195,3.12% D+,-0.11328858883600001,11.33% R+,-0.11328858883600001,11.33% R+,-0.11328858883600001,11.33% R+,-0.11328858883600001,11.33% R+,0.031189132195,3.12% Incumbent+,-0.113288588837,11.33% Challenger+,-0.113288588837,11.33% Challenger+,-0.113288588837,11.33% Challenger+,-0.113288588837,11.33% Challenger+,D,D,True,True,9126868,8548728,18536585
1920,D,R,James M. Cox (D),Warren G. Harding (R),James M. Cox,Warren G. Harding,False,False,False,True,False,False,True,False,True,False,True,False,True,8.0,-0.261699416929,26.17% R+,-0.29288854912400003,29.29% R+,-0.29288854912400003,29.29% R+,-0.29288854912400003,29.29% R+,-0.29288854912400003,29.29% R+,-0.261699416929,26.17% Challenger+,-0.292888549124,29.29% Challenger+,-0.292888549124,29.29% Challenger+,-0.292888549124,29.29% Challenger+,-0.292888549124,29.29% Challenger+,R,R,False,False,9139661,16144093,26765180
1924,R,D,Calvin Coolidge (R),John W. Davis (D),John W. Davis,Calvin Coolidge,False,True,True,False,True,True,True,True,False,True,True,False,True,4.0,-0.25217445157,25.22% R+,0.009524965358999993,0.95% D+,0.009524965358999993,0.95% D+,0.009524965358999993,0.95% D+,0.009524965358999993,0.95% D+,0.25217445157,25.22% Incumbent+,-0.009524965359,0.95% Challenger+,-0.009524965359,0.95% Challenger+,-0.009524965359,0.95% Challenger+,-0.009524965359,0.95% Challenger+,R,R,True,True,8386242,15723789,29097107
1928,R,D,Herbert Hoover (R),Al Smith (D),Al Smith,Herbert Hoover,True,True,False,True,True,True,False,True,True,True,True,False,True,3.0,-0.174196672091,17.42% R+,0.077977779479,7.80% D+,0.077977779479,7.80% D+,0.077977779479,7.80% D+,0.077977779479,7.80% D+,0.174196672091,17.42% Incumbent+,-0.077977779479,7.80% Challenger+,-0.077977779479,7.80% Challenger+,-0.077977779479,7.80% Challenger+,-0.077977779479,7.80% Challenger+,R,R,True,True,15015464,21427123,36807012
1932,R,D,Herbert Hoover (R),Franklin D. Roosevelt (D),Franklin D. Roosevelt,Herbert Hoover,False,True,True,True,False,False,False,False,True,True,False,False,False,8.0,0.177602161285,17.76% D+,0.35179883337600004,35.18% D+,0.35179883337600004,35.18% D+,0.35179883337600004,35.18% D+,0.35179883337600004,35.18% D+,-0.177602161285,17.76% Challenger+,-0.351798833376,35.18% Challenger+,-0.351798833376,35.18% Challenger+,-0.351798833376,35.18% Challenger+,-0.351798833376,35.18% Challenger+,D,D,False,False,22821277,15761254,39751898
1936,D,R,Franklin D. Roosevelt (D),Alf Landon (R),Franklin D. Roosevelt,Alf Landon,True,True,True,True,True,True,True,True,True,True,False,True,True,1.0,0.242526704358,24.25% D+,0.064924543073,6.49% D+,0.064924543073,6.49% D+,0.064924543073,6.49% D+,0.064924543073,6.49% D+,0.242526704358,24.25% Incumbent+,0.064924543073,6.49% Incumbent+,0.064924543073,6.49% Incumbent+,0.064924543073,6.49% Incumbent+,0.064924543073,6.49% Incumbent+,D,D,True,True,27752648,16681862,45647699
1940,D,R,Franklin D. Roosevelt (D),Wendell Willkie (R),Franklin D. Roosevelt,Wendell Willkie,False,True,True,True,True,True,True,True,True,True,False,True,True,2.0,0.099518852037,9.95% D+,-0.143007852321,14.30% R+,-0.143007852321,14.30% R+,-0.143007852321,14.30% R+,-0.143007852321,14.30% R+,0.099518852037,9.95% Incumbent+,-0.143007852321,14.30% Challenger+,-0.143007852321,14.30% Challenger+,-0.143007852321,14.30% Challenger+,-0.143007852321,14.30% Challenger+,D,D,True,True,27313945,22347744,49902113
1944,D,R,Franklin D. Roosevelt (D),Thomas Dewey (R),Franklin D. Roosevelt,Thomas E. Dewey,False,True,True,True,True,True,True,True,True,False,True,True,True,2.0,0.074931368767,7.49% D+,-0.024587483270000002,2.46% R+,-0.024587483270000002,2.46% R+,-0.024587483270000002,2.46% R+,-0.024587483270000002,2.46% R+,0.074931368767,7.49% Incumbent+,-0.024587483271,2.46% Challenger+,-0.024587483271,2.46% Challenger+,-0.024587483271,2.46% Challenger+,-0.024587483271,2.46% Challenger+,D,D,True,True,25612916,22017929,47977063
1948,D,R,Harry S. Truman (D),Thomas Dewey (R),Harry S. Truman,Thomas E. Dewey,False,True,True,False,True,False,True,True,True,False,True,False,True,5.0,0.044823557538,4.48% D+,-0.030107811229000005,3.01% R+,-0.030107811229000005,3.01% R+,-0.030107811229000005,3.01% R+,-0.030107811229000005,3.01% R+,0.044823557538,4.48% Incumbent+,-0.030107811229,3.01% Challenger+,-0.030107811229,3.01% Challenger+,-0.030107811229,3.01% Challenger+,-0.030107811229,3.01% Challenger+,D,D,True,True,24178347,21991292,48792535
1952,D,R,Adlai Stevenson II (D),Dwight D. Eisenhower (R),Adlai Stevenson,Dwight D. Eisenhower,True,False,False,True,True,False,False,True,False,False,True,False,False,8.0,-0.108505721164,10.85% R+,-0.153329278702,15.33% R+,-0.153329278702,15.33% R+,-0.153329278702,15.33% R+,-0.153329278702,15.33% R+,-0.108505721164,10.85% Challenger+,-0.153329278702,15.33% Challenger+,-0.153329278702,15.33% Challenger+,-0.153329278702,15.33% Challenger+,-0.153329278702,15.33% Challenger+,R,R,False,False,27375090,34075529,61751942
