year,stop,stop_key,effective_pv,unit,winner,result_color_name,color_css
1952,-0.016717029258,-0.016717,-0.016707029258,OK,D,BLUE,blue
1952,0.107642836009,0.107643,0.107652836009,OR,D,BLUE,blue
1952,-0.049671007373,-0.049671,-0.049661007373,PA,D,BLUE,blue
1952,-0.090068961518,-0.090069,-0.090058961518,RI,D,BLUE,blue
1952,-0.122936099427,-0.122936,-0.122946099427,SC,R,RED,red
1952,0.276942979576,0.276943,0.276952979576,SD,D,BLUE,blue
1952,-0.105775351091,-0.105775,-0.105765351091,TN,D,BLUE,blue
1952,-0.044125433816,-0.044125,-0.044115433816,TX,D,BLUE,blue
1952,0.069996132857,0.069996,0.070006132857,UT,D,BLUE,blue
1952,0.021172230195,0.021172,0.021182230195,VA,D,BLUE,blue
1952,0.323659533432,0.323660,0.323669533432,VT,D,BLUE,blue
1952,-0.012141135073,-0.012141,-0.012131135073,WA,D,BLUE,blue
1952,0.113950216174,0.113950,0.113960216174,WI,D,BLUE,blue
1952,-0.146978707194,-0.146979,-0.146988707194,WV,R,RED,red
1952,0.147685720295,0.147686,0.147695720295,WY,D,BLUE,blue
1956,-0.325368695825,-0.325369,-0.325378695825,AL,R,RED,red
1956,-0.220380552895,-0.220381,-0.220390552895,AR,R,RED,red
1956,0.066940918030,0.066941,0.066950918030,AZ,D,BLUE,blue
1956,-0.042855825315,-0.042856,-0.042845825315,CA,D,BLUE,blue
1956,0.042787219059,0.042787,0.042797219059,CO,D,BLUE,blue
1956,0.120600685611,0.120601,0.120610685611,CT,D,BLUE,blue
1956,-0.049292559151,-0.049293,-0.049282559151,DE,D,BLUE,blue
1956,-0.008581648474,-0.008582,-0.008571648474,FL,D,BLUE,blue
1956,-0.492276225336,-0.492276,-0.492286225336,GA,R,RED,red
1956,0.030140824833,0.030141,0.030150824833,IA,D,BLUE,blue
1956,0.069862589763,0.069863,0.069872589763,ID,D,BLUE,blue
1956,0.038326585864,0.038327,0.038336585864,IL,D,BLUE,blue
1956,0.048020154198,0.048020,0.048030154198,IN,D,BLUE,blue
1956,0.158342207643,0.158342,0.158352207643,KS,D,BLUE,blue
1956,-0.063145472941,-0.063145,-0.063135472941,KY,D,BLUE,blue
1956,-0.016240880621,-0.016241,-0.016230880621,LA,D,BLUE,blue
1956,0.035488897984,0.035489,0.035498897984,MA,D,BLUE,blue
1956,0.046706063570,0.046706,0.046716063570,MD,D,BLUE,blue
1956,0.263312527903,0.263313,0.263322527903,ME-AL,D,BLUE,blue
1956,-0.039160124737,-0.039160,-0.039150124737,MI,D,BLUE,blue
1956,-0.078043545371,-0.078044,-0.078033545371,MN,D,BLUE,blue
1956,-0.156170252613,-0.156170,-0.156180252613,MO,R,RED,red
1956,-0.491748968187,-0.491749,-0.491758968187,MS,R,RED,red
1956,-0.011300309790,-0.011300,-0.011290309790,MT,D,BLUE,blue
1956,-0.167266756790,-0.167267,-0.167276756790,NC,R,RED,red
1956,0.082327087251,0.082327,0.082337087251,ND,D,BLUE,blue
1956,0.156292297967,0.156292,0.156302297967,NE-AL,D,BLUE,blue
1956,0.168688906933,0.168689,0.168698906933,NH,D,BLUE,blue
1956,0.150556884773,0.150557,0.150566884773,NJ,D,BLUE,blue
1956,0.006247288478,0.006247,0.006257288478,NM,D,BLUE,blue
1956,0.005370382049,0.005370,0.005380382049,NV,D,BLUE,blue
1956,0.070097324729,0.070097,0.070107324729,NY,D,BLUE,blue
1956,0.068287949256,0.068288,0.068297949256,OH,D,BLUE,blue
1956,-0.051374498044,-0.051374,-0.051364498044,OK,D,BLUE,blue
1956,-0.049062431377,-0.049062,-0.049052431377,OR,D,BLUE,blue
1956,-0.022130715651,-0.022131,-0.022120715651,PA,D,BLUE,blue
1956,0.011192563391,0.011193,0.011202563391,RI,D,BLUE,blue
1956,-0.355843989594,-0.355844,-0.355853989594,SC,R,RED,red
1956,0.013707772262,0.013708,0.013717772262,SD,D,BLUE,blue
1956,-0.147842345204,-0.147842,-0.147832345204,TN,D,BLUE,blue
1956,-0.041157626604,-0.041158,-0.041147626604,TX,D,BLUE,blue
1956,0.137226675459,0.137227,0.137236675459,UT,D,BLUE,blue
1956,0.016064986982,0.016065,0.016074986982,VA,D,BLUE,blue
1956,0.289472748502,0.289473,0.289482748502,VT,D,BLUE,blue
1956,-0.069341688694,-0.069342,-0.069331688694,WA,D,BLUE,blue
1956,0.083386682202,0.083387,0.083396682202,WI,D,BLUE,blue
1956,-0.072435737141,-0.072436,-0.072425737141,WV,D,BLUE,blue
1956,0.047563445855,0.047563,0.047573445855,WY,D,BLUE,blue
1960,0.020466710142,0.020467,0.020476710142,AK,D,BLUE,blue
1960,-0.011417254691,-0.011417,-0.011427254691,AL,T,YELLOW,yellow
1960,-0.180841586819,-0.180842,-0.180851586819,AL,R,RED,red
1960,-0.069633561947,-0.069634,-0.069643561947,AR,R,RED,red
1960,0.113210054670,0.113210,0.113220054670,AZ,D,BLUE,blue
1960,0.007114074364,0.007114,0.007124074364,CA,D,BLUE,blue
1960,0.098906914492,0.098907,0.098916914492,CO,D,BLUE,blue
1960,-0.072973053937,-0.072973,-0.072983053937,CT,R,RED,red
1960,-0.014717115272,-0.014717,-0.014727115272,DE,R,RED,red
1960,0.031931037272,0.031931,0.031941037272,FL,D,BLUE,blue
1960,-0.249490936049,-0.249491,-0.249500936049,GA,R,RED,red
1960,0.001016539006,0.001017,0.001006539006,HI,R,RED,red
1960,0.136522691806,0.136523,0.136532691806,IA,D,BLUE,blue
1960,0.077338937103,0.077339,0.077348937103,ID,D,BLUE,blue
1960,-0.000222784429,-0.000223,-0.000232784429,IL,R,RED,red
1960,0.105959736391,0.105960,0.105969736391,IN,D,BLUE,blue
1960,0.215092710358,0.215093,0.215102710358,KS,D,BLUE,blue
1960,0.073453052003,0.073453,0.073463052003,KY,D,BLUE,blue
1960,-0.216656383948,-0.216656,-0.216666383948,LA,R,RED,red
1960,-0.205053753564,-0.205054,-0.205063753564,MA,R,RED,red
1960,-0.070630778113,-0.070631,-0.070640778113,MD,R,RED,red
1960,0.142591385365,0.142591,0.142601385365,ME-AL,D,BLUE,blue
1960,-0.018505224492,-0.018505,-0.018515224492,MI,R,RED,red
1960,-0.012640751632,-0.012641,-0.012650751632,MN,R,RED,red
1960,-0.003520010378,-0.003520,-0.003530010378,MO,R,RED,red
1960,0.054534974971,0.054535,0.054544974971,MS,D,BLUE,blue
1960,-0.284686478491,-0.284686,-0.284696478491,MS,R,RED,red
1960,0.026677070579,0.026677,0.026687070579,MT,D,BLUE,blue
