year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes,D_delta,R_delta,total_delta,pres_margin,pres_margin_delta,pres_margin_str,pres_margin_delta_str,national_margin,national_margin_delta,national_margin_str,national_margin_delta_str,relative_margin,relative_margin_delta,relative_margin_str,relative_margin_delta_str,third_party_share,third_party_share_str,third_party_national_share,third_party_national_share_str,third_party_relative_share,third_party_relative_share_str,two_party_margin,two_party_margin_str,two_party_margin_delta,two_party_margin_delta_str,two_party_national_margin,two_party_national_margin_str,two_party_national_margin_delta,two_party_national_margin_delta_str,two_party_relative_margin,two_party_relative_margin_str,two_party_relative_margin_delta,two_party_relative_margin_delta_str,color
1948,ID,107370,101514,5932,214816,4,0,0,0,0.027260539252,0,D+2.7,0,0.044823557538,0,D+4.5,0,-0.017563018286,0,R+1.8,0,0.027614330403694324,2.76%,0.05375609199235088,5.38%,-0.026141761588656557,-2.61%,0.028034698684437295,D+2.8,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.01933528400050421,R+1.9,0.0,0.0,deepskyblue
1948,IL,1994715,1961103,28228,3984046,28,0,0,0,0.008436649577,0,D+0.8,0,0.044823557538,0,D+4.5,0,-0.036386907961,0,R+3.6,0,0.00708525955774607,0.71%,0.05375609199235088,5.38%,-0.04667083243460481,-4.67%,0.008496851978528841,D+0.8,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.03887313070641266,R+3.9,0.0,0.0,deepskyblue
1948,IN,807833,821079,27302,1656214,13,0,0,0,-0.007997758744,0,R+0.8,0,0.044823557538,0,D+4.5,0,-0.052821316282,0,R+5.3,0,0.01648458472153961,1.65%,0.05375609199235088,5.38%,-0.03727150727081127,-3.73%,-0.008131808225367607,R+0.8,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.055501790910309115,R+5.6,0.0,0.0,red
1948,KS,351902,423039,13878,788819,8,0,0,0,-0.090181651304,0,R+9.0,0,0.044823557538,0,D+4.5,0,-0.135005208842,0,R+13.5,0,0.017593389611558544,1.76%,0.05375609199235088,5.38%,-0.03616270238079233,-3.62%,-0.09179666581068752,R+9.2,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.13916664849562901,R+13.9,0.0,0.0,red
1948,KY,466756,341210,14692,822658,11,0,0,0,0.152610197676,0,D+15.3,0,0.044823557538,0,D+4.5,0,0.107786640138,0,D+10.8,0,0.01785918328150945,1.79%,0.05375609199235088,5.38%,-0.03589690871084143,-3.59%,0.15538525135958692,D+15.5,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.10801526867464542,D+10.8,0.0,0.0,deepskyblue
1948,LA,136344,72657,207335,416336,10,0,0,0,0.152970197148,0,D+15.3,0,0.044823557538,0,D+4.5,0,0.108146639610,0,D+10.8,0,0.4979992121747819,49.80%,0.05375609199235088,5.38%,0.444243120182431,44.42%,0.30472103004291845,D+30.5,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.2573510473579769,D+25.7,0.0,0.0,yellow
1948,MA,1151788,909370,45988,2107146,16,0,0,0,0.115045658915,0,D+11.5,0,0.044823557538,0,D+4.5,0,0.070222101377,0,D+7.0,0,0.021824781007106296,2.18%,0.05375609199235088,5.38%,-0.031931310985244585,-3.19%,0.11761252655060893,D+11.8,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.07024254386566742,D+7.0,0.0,0.0,deepskyblue
1948,MD,286521,294814,15400,596735,8,0,0,0,-0.013897291092,0,R+1.4,0,0.044823557538,0,D+4.5,0,-0.058720848630,0,R+5.9,0,0.02580710030415511,2.58%,0.05375609199235088,5.38%,-0.02794899168819577,-2.79%,-0.014265440752750136,R+1.4,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.06163542343769164,R+6.2,0.0,0.0,red
1948,ME-AL,111916,150234,2637,264787,5,0,0,0,-0.144712542534,0,R+14.5,0,0.044823557538,0,D+4.5,0,-0.189536100072,0,R+19.0,0,0.009958948135671313,1.00%,0.05375609199235088,5.38%,-0.04379714385667957,-4.38%,-0.14616822429906542,R+14.6,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.19353820698400692,R+19.4,0.0,0.0,red
1948,MI,1003448,1038595,67566,2109609,19,0,0,0,-0.016660433284,0,R+1.7,0,0.044823557538,0,D+4.5,0,-0.061483990822,0,R+6.1,0,0.03202773594538135,3.20%,0.05375609199235088,5.38%,-0.02172835604696953,-2.17%,-0.017211684572753856,R+1.7,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.06458166725769536,R+6.5,0.0,0.0,red
