year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1916,7.342837668344112,-1.2226066042232404,0.5418525104805929,4.773471254273465,0.903843050398163,-0.22263801290841476,0.02685562438222333,-1.9474279660880733,1.7977356411460497,-1.5135542337447712,1.082267812333673,-0.15043080244902557,0.4857034537267177
1920,8.329705724873609,3.5302676280248826,0.43576777607644285,2.43505810143137,0.40820919316801396,0.19581401914514687,-0.04132160188877346,-2.1118781140876703,-1.583899754846909,0.24433999210594423,4.8545427940337955,1.1722690254044212,1.5024299268965366
1924,9.193568326332171,0.34783866865144386,0.0401642602917118,0.8964568483697816,0.014560774893337609,0.4118954964629327,-0.2711192690838607,1.6082586841464885,-2.1759249392538806,1.9438301564657934,5.863653856344275,-0.09077487567243615,1.0356237801543278
1928,2.6209703605838346,-2.782863551012178,0.9795392213639578,-1.9925920053253476,0.22816890809563373,1.0419458163299844,-0.12598119377487899,2.64278798709354,2.1949498108453924,0.08363579078593565,3.2771905472309695,-0.7339041620689,2.037219261560964
1932,6.9856112028580375,-5.47001613470916,0.34931156784097134,1.7878773648166113,-0.09751547794059526,-0.7309092845958636,0.10947362385052535,2.590074658747347,-0.9845591320435445,-0.5543010491164206,0.8516183477342373,0.5286051014295602,-2.1680844376179773
1936,6.225457754788496,-3.2249532410550494,1.5111121311627251,0.045154021903879314,0.990192532579921,-0.4239317371345238,0.15425490413594595,-0.6421792495463242,-0.2697761213102815,-1.0183934943678545,-1.3570329184296865,-0.9883555458251442,-2.784747765530303
1940,6.0841711521036785,1.1207762574881708,-0.6843697268843636,-1.9823287883516998,0.7005691480839048,-0.7028426841579497,0.4008715997047784,-0.4906563835377442,0.15490160459082036,-0.9649994002533535,0.12097686464730997,-0.4735423040912822,-0.22438854587535556
1944,4.518257259426614,0.9438818039861481,-0.7865590321311756,-2.500697604169361,0.5691428919813071,-0.507662773851557,0.2428235297445858,0.17539282542521173,0.8796294582960984,-1.67746686994771,0.1069364485810027,-0.025998274274969084,-0.2670043920314986
1948,2.6204594690534218,-1.136496901419595,-0.605317720660367,1.0675944879285582,0.5115031746192961,-0.14954724745652942,0.03782145548103681,0.42852667592290994,-0.6090712123982132,-3.0917534982704216,2.250479604178032,-1.082203272301257,-1.4586496791340327
1952,0.965772458379163,2.8545996851623885,0.7942586697631357,-1.8631558726014514,0.1178092512616651,0.0800266758965682,0.08690897752330425,-0.028694801272390675,0.7005250497376909,-2.0262569507171717,2.4271640877028307,-0.3847405084297145,-1.8804089387408058
1956,1.849750908139925,-0.7772987879676617,0.5706563945367422,0.2396580894446732,0.33024396351550983,-0.14282022495041058,0.364609931226094,-0.14601856187147966,-0.6983423733394318,-2.5123823082169885,1.4620790131798127,2.0425406155516552,-3.2570770001040668
1960,-0.7360135774856722,0.3167227944977675,1.3560587811975138,-1.3325657224206706,2.038777116871853,-0.0483348489174626,1.7323520022119756,0.5971067173350398,0.881476748312383,-0.7496124649674609,0.8160647102043533,-0.5301111232439002,0.2777790743126047
1964,-5.4152515145220566,-0.8038165024398155,-0.2714662449193252,0.7040211982082968,3.59739738658548,-3.5939786565712217,-2.108688795016241,-1.7812862160749559,-0.18641155338419457,-0.017508145735187757,1.2645200861792916,-0.7022350482967136,1.6138799157884185
1968,-3.165784264776834,0.15234655294722962,-0.5406576281865226,-0.8944208453112436,1.9022058343293677,-1.5154016702913755,-0.19100224972682084,-0.4999381313012607,2.783518516876778,-0.7250019754098934,0.8846656549985566,0.27065309322535375,-0.17089792178536525
1972,-3.9952730109706662,-3.2291176095359657,-0.19121790414517306,0.47937619376444235,2.020217722148074,1.0346409102134717,2.27801526825707,-1.322354343056038,-0.5384409831568744,-0.644386003121566,-0.8571686672034122,1.046697178958861,0.014038924865857798
1976,-0.7908923909076979,-0.5283629209000498,-0.0538758572324034,-0.0043361659368239625,-1.2223739850866286,-1.7820192125743923,2.2001817338204956,-0.31180502741575716,1.063501350006129,0.2428015535002814,2.437928822339812,0.8333883820421095,-1.751999121413245
1980,-2.7957486184866913,1.1180540677479311,-1.4505296997648411,-0.8951680331630117,-0.8981790283958719,-0.3361074605969981,0.7300933096458575,-0.6091544942170016,1.4907418377790775,1.304917471814628,2.2001619955583895,0.389119721217492,-2.6608443788105434
1984,-3.1420174166193005,-1.3766763270622338,-1.0930806076157564,-0.42635311150073285,-0.8131162369905184,2.1437476622696905,1.288422059701947,-1.0370284834378565,-0.09489740399301975,0.7119879309385879,0.30225879860900134,-0.13445447787973228,-2.551813810883803
1988,-3.226856540738183,-3.04574158560244,-1.5299451153506454,1.4518908003142132,-0.09740928245099914,0.5490712235931858,0.20781273574157832,-0.6296504701119897,-1.0721317570979474,-0.21251701191599723,0.013322044082294603,-0.3298998894021091,-1.8717797565650993
1992,-2.1997833376877978,-0.3828078932543776,-0.27675889033613,0.7607799753208044,-0.1929596691272536,-0.6665155239218474,1.330156804267828,-0.42097147033605264,-0.7326446458908241,-0.5952426627616327,-0.06954207967946952,0.0704156352212454,-0.0721045714895582
1996,-3.6035097941646046,-0.07179587099477114,-0.5828658735361475,-1.5846014361103355,-1.7398955437716526,-1.0087988787562816,0.03956654944814364,-0.37194873162417796,0.46865258354120487,-0.1805468815890301,-0.2650442958790676,-0.3868278322942593,1.5682442294920806
2000,-4.399445300790621,1.801330150822697,0.2508380670310698,-1.4620738989960582,-2.9636926198280067,-0.23715836661526452,-0.0765348144599283,0.3242664280915675,0.21208722718450254,1.1559705087834078,-1.4625533853218255,-0.7762982720190873,1.5071996644003671
2004,-4.397063738923252,1.0854854060944141,-0.23510465377593134,-0.8566509804349257,-1.9336729638697703,0.5977081252618837,0.5218154396310887,-0.6566730958683324,-0.34772704113048936,0.9498953753940015,-2.5478169552528938,-0.2027187275965292,1.7522546830251777
2008,-4.230263682140186,0.4861904028697942,0.6679254627369693,-0.20980931111765705,-2.1322546299189717,1.1428895713736886,-2.7302657125099112,-0.5407577695376121,-1.255282326251649,1.2354470115684177,-3.0720841426342047,0.8217732427692229,1.9628461065876344
2012,-4.515804835986197,1.3859318766229118,0.3009446890139727,-0.5798599597875786,-1.554211580374865,0.8455581164784015,-2.6863859489921547,-0.2858345317857324,-0.6753780122869152,2.051823582461161,-3.889186191024076,0.3913958617093882,1.9988235364122768
