year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
1916,7.512406819118435,0.056262450663124096,0.9546714642566945,4.766467607256614,0.1842419233616876,-0.8559927167406629,-0.5946866543946653,0.057654510665287595,0.016024095840079397,-1.3387961294838242,-0.17930461079359677,1.8266903078378418,0.056216531451492795,0.3822775131290567,0.8207947059800031,0.4349172237441734,-1.3563878588376534,-0.0827248029256017,-0.9288335981512946,0.19914418569588568,0.369842594475082,0.11535455905439942,0.4744133780734207,-0.04173548481520116
1920,8.436955397723567,-0.3127489438544132,-3.8390434777723534,2.240596570293582,0.0963379185982671,-0.20077312924839383,-4.45043887354383,0.07918659478684369,0.14399285799896133,1.4840880422659644,0.12667107877180664,2.128730630317078,-0.6757380269826895,0.6476102156020093,1.767210982648386,0.3875274897560151,0.8366121098978079,-0.014777275848555137,0.24691994730343964,0.4821136048480308,-0.4226918916591829,0.10334337545900521,-0.5547588462707609,-0.04428544491105677
1924,9.35780356530787,-0.05947385580677804,-0.47252007847092875,0.5315811755029494,-0.20923089461213,0.227606682279719,-5.484662000200278,0.004233320934122275,0.2967525895768281,2.338468410222094,0.21962011066552628,-1.3646411346941885,0.03290702083651803,-0.10758299528978851,1.430524824271873,0.17686537696399618,0.6055008730089052,0.09841301310652695,2.0328703951695246,-0.3199047365158941,0.6510790836763222,-0.2047993393270935,0.11573191773124102,0.1532464813516605
1928,2.6918234307429807,-0.045197537231750684,2.75108941698762,-2.067286744602103,-0.2406296318976562,0.014461997908431013,-3.1829173621622884,-0.2005590897116022,0.13191418731951018,-1.304254319593677,0.5474264561126164,-2.477804958731904,1.042694973705722,0.664679667765277,2.205249619592041,0.9972491960787776,-1.7459506439262258,-0.2767154073963611,-0.18987319108551048,0.08642250935419298,-0.4646685598023282,-0.8300587850937937,-0.062203960750652286,-0.38166760976207165
1932,7.328944215246248,0.5126084951105744,5.373313578658064,1.5776967252977858,0.1389489894282847,-0.18340665627769395,-0.3487116403548058,-0.08066848740338446,0.02074502804842006,1.0372340035278127,-0.302883516275813,-2.352778418476869,-0.8963828771600655,0.3908300060268855,-1.8327576565067352,-0.1485023325564713,0.038535198534078746,-0.22619809417375367,0.06385445501590137,0.10271500187182835,-0.06702302241272047,0.5242504510461834,-0.828436730137124,0.15220465413815212
1936,6.410791180322935,0.18678476080028866,3.0126033629357263,0.09232704190856948,0.09800378002367918,-0.7823064550024151,1.8213651867608218,0.055162651446447296,-0.06388139532985111,-0.04929204546063863,-0.3959233855980536,0.4568492251290043,1.4567993050323962,1.3310872452113423,-2.2923432475108787,0.10278589510412965,0.5431772410092935,-0.4154621536765015,-0.9155709839319671,-0.1806758616295951,0.01085632622844058,-0.2933845154009813,0.3609930597570381,0.36906711137515513
1940,6.0789700328429594,-0.6378707802253464,-1.3131932297932276,-1.9188782372782098,0.2530413812264149,-0.576750831634527,0.4204556078166734,0.04647447597926272,-0.28169512777891575,-0.3031324418531601,-0.5445731426712427,0.26382793162068546,0.13509554966140763,-0.188958497992005,0.1696150453185657,-0.8501807072798425,-0.33141873314670495,0.2972590762351861,-0.4448751900622279,-0.17757019731687168,-0.5786618313336466,0.1629030854631833,0.6675977310971857,-0.04438556999850774
1944,4.56691187633492,-0.5347499572687946,-1.1187221932444897,-2.448831560136173,0.2073824567694579,-0.47177328822328657,0.39339308763117925,-0.046767115131722756,-0.15871673008065346,-0.8751265051877302,-0.4554333863163039,-0.35004522998023196,-0.04385357445276687,-0.6272719790050267,0.005904558068820514,-0.17477937776694402,-0.544645529721143,0.44225439364066643,-1.3959281918887134,0.3241387147682336,0.0576191612137516,0.15872669775533185,0.12231436350683467,-0.0841654537053412
1948,3.054977500526906,0.43045006716815265,1.1745289396199763,0.8133309493206539,0.2904170023898858,-0.6456088918642746,-1.703474222824648,0.06576165480453411,-0.12312888542525491,1.367292984541402,-0.28201458081420966,0.020221785946513054,0.07575260272935083,-0.9947021244242233,-1.5023622112844188,-0.6514265125825176,-1.4704420956516333,0.08442524414985075,-2.5507403430428375,-0.2597172459911958,-0.3641330363651727,-0.06206748691594362,0.21309027737258132,0.8035335385454115
1952,1.2570730380106836,0.23515874849157659,-2.842728377015536,-1.9443157330167848,0.20217044021967787,-0.20715523205699343,-2.099864311775794,0.0055848598605415635,-0.15534117874497988,-0.46950011676343006,0.00897960284021027,0.13232913842155664,0.5217084068438097,0.21433940498705287,-1.911442494094473,-0.34629911497809607,-1.212007383270127,-0.7019073447592905,-1.7830645935017824,-0.3531580895905209,0.42587308598533985,0.2778492478310619,-0.3723769969961551,-0.07160908996476081
1956,2.2909587562831994,0.41780384380311253,0.5568013758872482,0.34144359982687983,0.3596997777640855,-0.29238861258440385,-1.2805948315357358,0.25567298834275576,-0.3057293191535431,-0.3550391777281489,0.036261206310919614,-0.25423155030339833,-1.2786615530484116,0.7438098451030226,-2.962338291896497,-0.737637056871189,1.2608127377219438,-0.710688895832779,-2.7121598292325655,0.45536010615187267,0.22783130869230103,0.36134141772110684,0.018275897612653153,-0.21854139720622898
1960,-0.6450363082046292,0.42846239778555373,-0.32764134598127087,-1.297948795895554,-0.02302663674503572,-2.129184610382897,-0.7185077069966328,-0.06111348486174422,-1.844005190103666,-0.2702574197073201,-0.12384456391805854,-0.6028068654848879,0.5101082529201266,1.1989473838030684,0.046647207575360276,0.15658667811959187,-1.3142129546974783,0.6312759870341248,-0.5303557515717184,0.507573740616439,0.261933208808876,0.2563403073832284,0.5117332703461299,-0.5676634601201771
1964,-5.2711040582209785,-0.20791789401534413,0.7893273796896138,0.8633933643931452,0.32967157819112314,-3.711623065483755,-1.442452917861557,-0.05217934905241438,2.03739143901185,-0.19814836585064535,-3.7201061152825714,1.596265780645287,0.6167559586987806,-0.27558754743974245,1.3252441912999278,-0.7845607765337922,0.29182946734806814,-0.008052674936483387,-0.2830376435953517,0.26489715239093065,-0.09172467260986895,0.41550218464635474,0.2502972526249727,0.3265450568833648
