year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1916,-0.6639599602888698,6.412119835663417,-0.23077222543510417,0.41801427676150327,1.4998317662705054,2.5988656796763765,-0.02290402613959487,-0.7610815875705095,-0.8650747021519656,-0.07165652808180957,-0.6240886963418917,0.3282368547276287,-0.8021681675697521
1920,-9.341833349814019,1.6186436185539625,0.387777455883182,0.1825712477911689,-4.116974366085173,0.6090633041183948,-0.9259926121057396,-1.457554235010242,0.5167915767015167,-0.5613893450133878,0.4506402562068994,1.239906602937941,-0.16853168352613784
1924,-9.529078013388231,2.6957548980224617,0.6319309771457247,-0.05407946824639175,-2.608105015572858,-0.7052907876047991,-0.9613787342321246,-0.6020748781757758,2.062688695299553,0.528074475810458,-0.04631380910455996,1.2328911118508492,0.4146218609425492
1928,-6.217412010882366,-0.9833448499547107,0.17959352019372957,0.16200326792168232,-0.21647386000839355,-2.5839537562218564,-0.2707061418176738,-0.1944355628029813,0.17498490050636595,1.160252072700325,-2.0869457399381934,1.7337452714350583,-1.0474348439043217
1932,2.850251200081679,8.932576669877797,0.3062581606476893,-0.22316013222816497,5.318962297885798,0.8070468638297157,0.022443145670003783,0.5022123426807646,0.8981291810873808,-0.27190087773229005,0.2706486846650427,-1.2845678259911544,0.7274103701685684
1936,5.20902436308637,9.439740920288942,0.17914697794868528,0.07315139250776315,4.097380097598819,0.6885126879714911,0.7863511500766558,0.6559509469901542,-0.7616686650023091,0.1843588167360055,1.3061595474170284,-1.6234964259166773,-0.3504527433550883
1940,1.6420176614198798,6.938371912329955,-0.3210760705242913,0.0313938247824193,-0.3855353448436971,-0.44486919665027663,0.4359413607880681,-0.1643863389743482,-0.5153450730058525,0.14355016670980608,0.6142940434977535,-1.0139827563403685,-0.18271874499092733
1944,0.8592202962924015,5.24199291927437,-0.4501207019860999,-0.04026664226955863,-0.41399182659671685,-0.837213785646458,0.17766448765037687,-0.01764806502411541,-0.9804287974734794,0.01320915677372949,0.15877006496551135,-0.6487108459674517,-0.06068329337827093
1948,0.2560962719734173,3.414030066491154,0.3132804295561143,0.32099073920478705,1.4547195164900246,0.6582461369624527,0.21862259900049097,0.6264883177166057,-1.0520825658027093,0.10683878659088858,-0.17122243180524116,-2.245735751541317,1.5760441949994113
1952,-4.335883105531409,-1.0796122031565698,0.4512199508688822,-0.0637804652484918,-2.604781874215146,-0.9150387777704053,0.09150175433758326,1.17855357639206,-0.8724999824135823,-0.666395551037314,-0.18736012044777847,-0.8816616785806326,0.12176425415738276
1956,-5.665437556744198,-1.4195061509215123,0.4603111769717815,-0.37566007515979144,-0.2659395381969614,-0.3820718400461495,-0.11457142048989907,1.378240366972466,-1.1309230904512366,-1.3519439454410236,0.8123395317823999,-0.10682950653701817,-0.09197107965086691
