year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
1916,7.515307814704685,0.020825506498056676,0.9428874798907889,4.773572315766713,0.19034534486947427,-0.8625929669544637,-0.602272676699395,0.055408346159197555,0.017368500717951384,-1.3491074215077135,-0.17084985557644064,1.8143233055013266,0.050849737798711485,0.36947029645223606,0.8276666942605047,0.4116387084178111,-1.3495236421095613,-0.08641482199430542,-0.9362328271225991,0.5082476129089808,0.24843047451070527,-0.14000415782525583
1920,8.435810073289833,-0.35797709762140356,-3.850095936734521,2.253823597779031,0.1057332666897407,-0.21882682177844964,-4.438487221584466,0.07401227342978527,0.15384646355930445,1.5054336654147893,0.12962779931965585,2.128797063294041,-0.8322300615373946,0.6792008128511391,1.7469105329528385,0.22098930284782786,0.8136966130964118,-0.03387962465972347,0.2689239419240328,-0.5373417663321267,-0.039686432710289786,0.3494393502891984
1924,9.356462451599048,-0.03348302673543102,-0.47480381625127477,0.5248867454224149,-0.21155480055754008,0.23346831338933485,-5.480468842167986,0.013787695280661642,0.2887910016612026,2.3860563201177185,0.21287802407459333,-1.3513670241269813,0.03904415313776512,-0.1352441479427965,1.3899376213018184,0.2698173210488054,0.6289156970926602,0.0995423886652484,2.0333132510755068,0.31154456383942436,0.01925025142441194,-0.6001567593624032
1928,2.695008306680682,-0.07302543131108107,2.7444596037544153,-2.0579614315029175,-0.23927492052688254,0.021176623091602436,-3.20590259201353,-0.20290848421436186,0.14627802545730836,-1.3112108800500852,0.5616041762953085,-2.4897951897246995,0.9452715812921152,0.7029401284387466,2.222727040089678,1.1810017512887803,-1.6747612283524023,-0.14841125313573342,-0.20690469072023526,-0.15470172901882306,-0.777139347435291,0.44404293745942525
1932,7.327900228281665,0.5213807871240305,5.367206943515674,1.58151536955774,0.13614697227914963,-0.1832155974562161,-0.34643776409049937,-0.08801883353744304,0.0252337947078011,1.022609703180153,-0.30913758764741506,-2.3667626273582028,-1.003288314596068,0.4261778579474427,-1.8342312412205892,-0.29623360478105376,0.02623194595961822,-0.25610716936481814,0.07166568983765265,-0.7235099141280638,0.3934840831024935,-0.053445999427596765
1936,6.4153280009054905,0.15833073025955025,3.0256295278059318,0.08088540240008313,0.09775542520333011,-0.8034887554473089,1.8428175669868114,0.06625290799142912,-0.06783757979754654,-0.043078951446677,-0.3942047812079149,0.49316156796339317,1.454468023520378,1.3304086418768755,-2.266081697754728,0.17825744412141822,0.49076889825669895,-0.40073481676617567,-0.9127292478516844,0.07424335645194206,-0.36230822883305924,-0.37331698117039797
1940,6.083606585126077,-0.6355538254187668,-1.2999935074735187,-1.9519984799639647,0.2497522714121534,-0.5882869600974765,0.43200158519892645,0.0711679375839262,-0.3018427001304226,-0.269450314541669,-0.5470651531897673,0.3215819006691948,0.3295228015875159,-0.2839201373373172,0.16552586156867444,-0.8831420919696744,-0.36973811465774137,0.23727181470136888,-0.4477393779193895,0.24931955880967915,-0.05604414708928217,0.4726264851216897
1944,4.56255815839425,-0.5524594408756761,-1.1271350409818088,-2.433497065097018,0.20870803657792136,-0.4689420544595334,0.3699758574079172,-0.06448504425287271,-0.14696409272434272,-0.9053396324643664,-0.4479784459702568,-0.37592006614255125,-0.045145377083238354,-0.5843609331691622,0.00816277858464924,-0.24510294063778376,-0.5096743571855853,0.4356312626971355,-1.4022118417578255,0.1886699532990932,0.17584626565345945,0.10629694919141182
1948,3.0567502638974533,0.41102100905968514,1.1818611151310587,0.8029161240577385,0.2895381848818121,-0.6628280815485195,-1.6968687121083377,0.07619103157817228,-0.12204919196781447,1.3534002903646356,-0.2737329133298177,0.03865870652314632,0.18235928877121454,-1.031670855450176,-1.4902791726592328,-0.8817368456643327,-1.5051397793507797,-0.09310395986758051,-2.5633514383053737,-0.15637002499283725,-0.4131957938835444,-0.3457824158833891
1952,1.2456022883458984,0.323577847650515,-2.8590336789851243,-1.9319153970915017,0.1979738019454325,-0.17023309068556944,-2.1305355558661048,-0.011010850074388427,-0.15933812301753225,-0.5096043405032687,0.004102620268529951,0.07506520577666384,0.5441700825921411,0.2770785839014244,-1.9446832854693585,-0.13038291161387716,-1.100009392983314,-0.5936001713220792,-1.7994717836978276,-0.24161300525502938,0.4244882068328659,-0.28945640071607126
1956,2.2911106373203145,0.45076337698328844,0.556347703362004,0.33882173053696385,0.35960395629051284,-0.30214386243430763,-1.2619362730290247,0.2637217595420632,-0.308982471869153,-0.3568973430335526,0.038027094741403346,-0.25099548295703333,-1.250606849317593,0.8225979393177257,-2.968800035247211,-0.7252429826487511,1.2902010961859063,-0.6854777360619543,-2.6991121183837024,0.3367665066217582,0.4445698587931859,0.27380631081977963
1960,-0.6433852476920369,0.40056079477656276,-0.32703706882606154,-1.2916683431456975,-0.0225215876398484,-2.140457039535946,-0.725500300941532,-0.06416141654561928,-1.8269596217998831,-0.2988256210818064,-0.11254708345740451,-0.6071379437400296,0.47647593871475274,1.2437392922176127,0.07368812050796793,0.22930317935734967,-1.3218494325473658,0.7164622916764095,-0.5373926423906902,0.6131447898718367,0.4430276707283916,0.3085846228799079
1964,-5.272842778658334,-0.25365212540711934,0.7865767592067047,0.876598360718288,0.3342577583981831,-3.717328476896505,-1.4491895173293814,-0.05656272844167743,2.045925488150755,-0.21703429908311786,-3.708925199988121,1.5900342049390348,0.6597796298870169,-0.2154106421875283,1.3353689543332126,-0.9175553633724531,0.2851995055413982,-0.07015594137639178,-0.2856891717799603,0.06549965178070206,0.23904356492296502,-0.040285735189010234
1968,-3.0025750715886756,0.12107540782113568,-0.12253911571573783,-0.9052017091324226,0.09901081887129545,-2.0505660017344054,-0.893842223015095,-0.0527001400572316,0.15328512970315145,-2.4215473025596403,-1.5136723544722959,0.6170846300702708,-0.8064066684453728,-0.19770549270558996,-0.4548544114776462,0.0709688530846718,-1.35604576451534,0.9336100261976633,-0.6448043958892786,-0.39965803092048785,-0.4844494097276232,-0.46842946550506703
1972,-3.856994823121453,-0.41670081393552816,3.3658709081958613,0.43930070126641324,0.037617040234565184,-1.9381979665340143,0.5046155080441047,0.134496768433559,-2.503750510752377,0.08395277007191589,0.8504506473617336,1.5396720538987503,-0.635132418616378,-0.3189236086048123,-0.05168498661311759,0.5997614276251526,1.2541482433605273,-0.2541226925247917,-1.2925598283928459,-0.1130793867748193,0.3799777714371214,-0.39026099134212183
