year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
1916,-0.5969787571051107,6.443938702644306,0.08782157924228572,-0.15112559146601406,0.296862048351036,0.11937987872673744,0.9341154615188458,2.6556312697396307,0.431193051030929,-0.49631735239135266,-0.001169751050833081,0.04510034459258933,-0.428613509425567,0.6373177542919036,0.46244457896296076,-1.364403275384348,0.37695771558337665,-0.026618443189908473,-0.14838834911496704,0.13472597157004754,-0.44778923009942395,0.05578757386801088,-0.020967176701683455
1920,-9.907882838883994,1.087209934040623,1.2137252467577986,-0.3497134164377576,0.021949289901848672,0.02748701827338699,-2.8920285539825414,0.6436824739986131,0.741361058520195,0.6743182374733886,-0.3518117382609957,0.5585141486531601,0.5424045387928279,-0.23379882508204086,0.7004191186117655,-0.6093808314288974,-0.359611586405983,-0.18581105778877263,-0.3306791292280258,0.2095192805246868,0.11589735412621688,0.10665219481663867,0.5902465454596978
1924,-9.989762096377623,2.2235293100288263,1.1874617000613072,-0.42179457459249636,0.009016133024512573,-0.25974101279403866,-1.2478127790023033,-0.7180099882664406,0.22189825487974243,1.9912405299582485,-0.1841919281192123,0.47922601587408065,-0.07981482529820108,-0.5716228772899143,-0.45401965459439325,-0.29635942658424624,0.2710963004584482,0.21196969524684525,-0.12891057881035947,-0.09967760468629334,-0.3234939539522957,-0.15575514499807577,-0.17523597325209833
1928,-6.359986965932991,-1.280560129136565,0.3712040513570034,-0.1836772502730446,-0.18992613576573647,-0.011913504310328976,0.8542741849731963,-2.223701790079587,0.11783184883145689,-0.2177195711489738,-0.17986005127822438,0.05910842397746108,-1.6261769937631199,0.9523451174824628,-0.45269593914227596,-1.3908651118085151,-0.08058190260141349,0.6043187149452746,-0.8588250404032693,-1.235130876997392,0.2926929051920725,-0.11731755361023755,-0.5000196587497362
1932,3.337449859605822,9.398880172841553,-0.38442073992141346,0.13779978074617077,0.18564600063581777,-0.3661211060122745,4.252005557194836,0.7994546997196917,-0.5025164397262307,0.819481349144142,0.3703791338292674,-0.18290977772586708,0.3557509977877057,-0.4278926774175,-0.3310121890122277,0.22952319479203281,-0.5530632406647071,-0.43878785783757623,0.2684754080356125,0.0899834947132358,-0.07022074354560714,0.05582432335661219,-0.07953001024293027
1936,5.64472040434221,9.890194273142562,-0.5951696726495748,0.12202469302502687,0.290659483080834,-0.21999094127445426,2.4202190399877104,0.642807973881313,-0.842959950214635,-0.48591614677266315,0.6680623534310428,-0.2884205508757778,1.1597984972666018,-0.07686075004538319,0.6954645010287798,0.042109812664012126,0.41246421160928287,0.233078584627131,-0.34632709833666137,-0.27717660788870757,-0.040245642704291276,-0.5916225097617683,-0.3054043047854517
1940,1.5527769721723421,6.972474112165393,-0.001453199651436706,0.023345371151631576,0.025129562686889723,-0.07011045774948828,-1.1530495347548633,-0.6257763229872475,0.38957490937401423,-0.16193300957069257,0.2551522485523566,-0.11604786625736085,0.3678975164208881,0.11984495092447942,-0.020516377681935743,-0.2547200600332672,0.29212387020893477,0.010539800054904699,-0.031138068443183554,0.08299752793812933,0.4195199338137645,0.18063591413131744,0.17691620840863717
1944,0.7844673075762855,5.245270163888404,-0.05210326013843899,-0.006300994480976865,-0.0006515536432617982,-0.09580163796719156,-0.9400125649995621,-0.988286619635462,0.2760879453882293,-0.7377228537094843,0.06733164602855739,0.04256822575414417,0.06976660780810529,0.17415990151811148,-0.1885326924295324,-0.36134649389242346,0.09495305962608291,-0.1423777601960543,-0.08870819539475752,0.1871234248463117,-0.1737287653948196,0.30699217769018705,0.32761780779018507
1948,0.5477323487887799,3.8407379450280406,-0.7000894992925165,0.3549688274445412,-0.09288282119591848,0.433166747262925,0.9332742210968613,0.5593537660337706,-0.02600777786120244,-1.2798707663822915,0.2734410339405439,-0.1951065916024165,-0.4151673394659079,-1.1813077327437105,-0.05139523293347949,1.7222407633518215,-0.09966635596554732,-0.16276661589009175,0.7929195403430798,-0.15575217299353325,0.039922484155573874,-0.0034453792355169147,-0.30524697587325567
1952,-4.486462537616672,-1.1371220733430254,-0.01875687823663173,0.11084005020935468,-0.23176547397674377,0.05213069796442083,-2.073211759216071,-0.9801729587321808,-0.96121933134292,-1.2006962534243701,-0.05457340246362564,-0.11460284438886782,-0.13511001404874703,0.2410510223239398,0.13305840239510944,1.362292139997708,-0.386979519161435,0.03366271274543229,0.21252133197910866,0.40795369115694957,-0.1730389670425013,-0.30308934057436704,-0.26803097960640626
