year,PC1,PC2
1916,-0.4964925163448274,6.541872250479435
1920,-9.851533010121948,0.620446257742102
1924,-9.906807982244022,1.829385272989423
1928,-6.291756926350301,-1.4269387139672627
1932,3.4649903291191464,9.864746993831668
1936,5.4910437055621095,10.181629130574407
1940,1.1605095043543658,6.694105037490555
1944,0.4317229024496278,4.989950927852004
1948,0.5998237071789415,4.0916397454697
1952,-4.660922806421255,-1.3599465183902206
1956,-5.4826045761576045,-1.272830497407315
1960,0.017714593678129446,-0.14640458130630082
1964,9.893203138728447,2.8914332457765055
1968,0.34077386243448754,-1.6590426039888355
1972,-5.087752597442771,-7.2112278438980395
1976,-0.0644582703226887,0.6488777273062946
1980,-3.1451298484182386,-3.370425396803446
1984,-4.633641590675931,-5.720711976100219
1988,-0.7163213738807345,-2.8378110291519696
1992,2.9343722297136434,0.30954273401212207
1996,4.22297339523599,-0.16295192482874793
2000,1.940706190683289,-3.2741241322482195
2004,1.5939897170791335,-3.9641473548371104
2008,5.410315490275781,-1.7793190062832982
2012,4.140000478822064,-3.195889924891363
2016,2.6008258142393395,-3.879040271209216
2020,3.7510481798573703,-3.285755341289347
2024,2.3434082589684526,-4.117062206923309
