year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
1916,-0.5966573761058265,6.443832524351511,0.08735366163741737,-0.1522092468004616,0.29746102330711227,0.12004246978137219,0.9380681467417274,2.663028595617072,0.46243167312418987,-0.5049865245804462,0.00011918044833466603,0.049271092824780434,-0.4337281649882596,0.6420917181874888,0.3814459420998844,-1.3569465434557806,0.5111625569911651,-0.07986576487392555,-0.1494507328385078,0.17129610660430508,-0.22618339190466832,-0.08230192994182892
1920,-9.909095447853975,1.0875776976419222,1.2118810783643819,-0.3471137893072249,0.017374187699863694,0.02061914541807416,-2.898028631154205,0.6733605841281506,0.7748518021214319,0.6766748276930025,-0.33871610828027393,0.5888567719162935,0.5138200244755533,-0.23126759899097385,0.6178916110761445,-0.612053458748526,-0.15820697321557803,-0.22293084223918772,-0.3211774223524939,0.25432384659847984,0.5768902133580026,0.14178395439770927
1924,-9.98905695884627,2.2238029668509136,1.1890385679754274,-0.4235337973451428,0.010602906310304217,-0.2561765861461374,-1.243612098208466,-0.7332959457399401,0.20069836621585424,1.9878680845991554,-0.18508973839724704,0.46337613197529953,-0.06649837934946136,-0.5715844637775439,-0.40428373884560603,-0.29782826623075037,0.35334024211058396,0.21018132485180804,-0.16483375815047158,-0.12994767220963852,-0.2617132589637404,-0.24989071105564323
1928,-6.359830880267864,-1.2806301132479174,0.37112899373899766,-0.18363053186144832,-0.19057146816830917,-0.011136188950479282,0.8517343017408471,-2.2310465589318187,0.04533700177243981,-0.2213710634835656,-0.17927793284931692,0.052450628565763144,-1.6524663490143807,0.9602109686725797,-0.38688218873172153,-1.3937382930868036,-0.37537263814032834,0.6600368743315455,-0.8791259990214103,-1.1964822765984382,-0.36483813467273934,-0.023969220004606124
1932,3.336739236373434,9.398846584083248,-0.3859169985123335,0.13856301381233793,0.18442680283481938,-0.36886635922582167,4.252710047802662,0.7941778217402597,-0.48492201318504746,0.8404815639776261,0.37280573451409854,-0.172897106547875,0.3341952864096898,-0.4354165455320026,-0.3585648059519905,0.22547755429535882,-0.4058736208967819,-0.5406907693528655,0.2857824241617424,0.11214529249636956,-0.0028559207813687176,-0.020858386184565866
1936,5.644914991990534,9.890219100944968,-0.596806243553094,0.12181968206414415,0.29064273037167854,-0.22020855020375213,2.419467528003075,0.647814089232373,-0.8941832550349097,-0.5012266033987326,0.6615274710733221,-0.2868583798764288,1.16237135780429,-0.050092027204592465,0.7797231939746588,0.0361425781670994,0.20450436314230566,0.2748756318716005,-0.3418796114356104,-0.3286576279209407,-0.25665002573325785,-0.47683594953525815
1940,1.5539492577015377,6.97244620617464,0.00020272499972449345,0.021179603981283514,0.028538197651826417,-0.064580202176819,-1.1496312490430214,-0.6414860721710638,0.3774384484321789,-0.17782799177345943,0.24580122002685958,-0.1381353238005179,0.4047337087561026,0.12300134658158883,0.06243193779638745,-0.25174293059520036,0.06852883611113118,0.17492322573122074,-0.034709466794319785,0.016678741372081425,0.2321257252787076,0.36998085062003755
1944,0.7838642708584076,5.245279337679332,-0.05260321922300652,-0.004478743425779508,-0.0028055867448142403,-0.09892231927366525,-0.9436837532971993,-0.9763548323411989,0.30145120152301497,-0.7401993719454312,0.07377638596012089,0.05592901667958032,0.06187643279046909,0.17788767875391598,-0.2568785686993983,-0.3599399677281611,0.2678044144896488,-0.18672797623653484,-0.08670065117014028,0.22460253151080226,0.20014061520173718,0.2119747926607784
1948,0.5481375534887861,3.8405301710091218,-0.6993669769327604,0.35414605791058207,-0.09058546400950704,0.4353544559897919,0.9362835313649613,0.5503780566111439,-0.0409663990521596,-1.2749140789158155,0.26694738158619175,-0.2046186492199111,-0.40483013042800164,-1.1983368520989286,-0.05028643272902855,1.720755979675672,-0.17407264537161804,-0.15291525971750372,0.7857728275877414,-0.2068019967765941,-0.22175723205723488,-0.021514363554328994
1952,-4.487187242791512,-1.1372543650443347,-0.01998379251745346,0.11303610005748972,-0.23404659649830445,0.047458200720580726,-2.0792812932004345,-0.9620734257120434,-0.9519399302891391,-1.1862057408100184,-0.051532955716586,-0.09889960876149677,-0.15218203531281774,0.22825242657081715,0.09154658210496502,1.3605789650263107,-0.33098953286589056,-0.10997949720352486,0.23541441827993742,0.4521368561719802,-0.23085404315044847,-0.40524398272668877
