year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
1916,7.512094553002361,0.07393298714405487,0.9753837725409447,4.758117412508578,0.1778970083656018,-0.84842794958599,-0.5892215624398468,0.05911662869266961,0.016780121562936456,-1.316854829835662,-0.1798127103241453,1.8334679431057717,0.03085462660384818,0.359978255515808,0.8352766719679049,0.3676263249058073,-1.3663519329024256,-0.1526617781365996,-0.9189572153781749,-0.39145237543328487,0.1695267304073141,0.1745857455392549,0.5073950465206688,0.06214130760974847,-0.25148269784277105
1920,8.437893371032416,-0.2999693915411636,-3.820661614880798,2.2385832366075222,0.09102344981214082,-0.1978443019836226,-4.4482925204420765,0.079983452505532,0.13871782257676052,1.5126848557827741,0.11911033656461444,2.1374891770224393,-0.6934173791556375,0.659001715329153,1.7765217198045544,0.429091729303028,0.8385147827477167,-0.027600863161081138,0.23698943378973095,0.1817830771532678,-0.16978131326971627,0.1815336931455199,-0.5955366330349418,0.14576921091814252,-0.4482582107327474
1924,9.355550717815875,-0.06352441215298597,-0.4597921632043722,0.5348638723571004,-0.21128700843624632,0.22829666250273437,-5.482238466431312,0.003901572280188222,0.2940999233344065,2.363561763222629,0.21486776198365864,-1.364080727616375,0.15887894905178723,-0.11979346382592235,1.4306787858903924,0.0874457874573964,0.5956691231665338,0.048259581148307695,2.0279171756806162,-0.5296464625853072,0.42006526761279384,-0.17548996852281606,0.08131963795723897,-0.24292872620685063,0.22664327245377483
1928,2.6907314284355146,-0.04565958014848458,2.748182403502716,-2.0648778374010353,-0.23645419477772311,0.014007578471999902,-3.1832512700622697,-0.19966033625069762,0.1376294648546665,-1.3088823117299273,0.5564695637427182,-2.4842877391366103,0.9575941476660182,0.6471020944995074,2.200199092326277,1.0623384539612872,-1.739292402303347,-0.20593655124372537,-0.17594735893288965,0.3053215442274987,-0.6183845783866858,0.3629793813455611,0.01946772012279715,-0.7674607786661024,0.019448896130413687
1932,7.320703408523745,0.5245573273966974,5.388307800668949,1.5698154153959716,0.13285559322438667,-0.16911547567288157,-0.3462167127999057,-0.0793585037636257,0.01393523637851125,1.0615624880262458,-0.3085724781838642,-2.3439686987239727,-0.8338109287570209,0.3869484243170637,-1.8320409146305108,-0.192293856020844,0.04205154581382111,-0.2724307075159482,0.06253159891621815,-0.07871121575485994,0.013648270042345863,0.021370858331779284,-0.8748289036035685,0.5293759409286559,-0.1267768551412345
1936,6.409657465738622,0.1886130908098006,3.014163179773161,0.08683340791459151,0.09548387890530195,-0.7763690127983024,1.825225958113406,0.05732421089396302,-0.0641519895679029,-0.047956375988623755,-0.39851169829889715,0.45957313914764214,1.3424689990452408,1.2984704632936133,-2.290223416943965,0.04900132212702313,0.5319305242574164,-0.41265688664202266,-0.8958263350116256,-0.2702904572850305,-0.6361860448257785,-0.1478333962082597,0.5338510922580579,-0.20569637482580136,0.1704683083644073
1940,6.081649534070906,-0.6437791611082111,-1.3134804223304104,-1.9120066887883094,0.2582168644474969,-0.579484842567762,0.41820485048090844,0.045073900344496376,-0.2781056634509376,-0.3198878546210049,-0.5398778898235731,0.2571058895147943,-0.06639101037084813,-0.16668837313515844,0.16910893999210858,-0.7279770827083065,-0.32220339401889936,0.366019213128384,-0.43493962627251576,0.5859538311154245,-0.3073282970975877,-0.08262858267154362,0.7002563995384037,0.1793325018593779,0.2586287112250312
1944,4.568923448234927,-0.5303728036116743,-1.1093618436136885,-2.451998371743072,0.20429931923527114,-0.46734681525690086,0.39018503072999683,-0.04590561809169739,-0.16360872534880266,-0.8734294309360576,-0.4606906683112168,-0.34550231954294275,-0.11022791424399372,-0.633836917068709,0.009505793220563179,-0.18651671219909333,-0.5432780365077516,0.4214374678831833,-1.387935169789374,-0.0235808654634886,0.040421987753656574,0.14847940240775684,0.15420405113563365,0.1258263770305248,-0.3361735134901259
1948,3.0566263216829306,0.4103673786519757,1.1694200681720703,0.8221751672884127,0.29829422930637756,-0.6527793701726838,-1.702632607823736,0.0643058048790295,-0.11416551207246237,1.3317866780227439,-0.27122831936827896,0.011058647082206061,-0.007425462160362606,-0.9639874427442467,-1.5046948353322842,-0.5754267488652652,-1.4585169285995458,0.15912753177250072,-2.5512559703177726,0.18361852575823917,-0.4887255229001386,-0.9030246380484525,0.1961169416591731,0.1061891897210294,0.27879334234818387
1952,1.2599522498213458,0.2532868851875815,-2.8293271797802064,-1.9592083833123648,0.18847452685612204,-0.19586142831459555,-2.1029239857124944,0.009328843295327153,-0.16993883354582862,-0.450075800599287,-0.011109480958095002,0.15194117553367287,0.5035821401883576,0.17473707001380673,-1.8992183340576505,-0.49631600585478597,-1.2267138918338518,-0.783754341598859,-1.778778242189037,-0.4074411967491433,0.019083634455769202,0.3275387205351802,-0.23795684656601962,0.20481105499804853,0.2715572822398861
