year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1916,7.315889300305095,-1.2679121666089483,-1.8136119131858828,4.854354861709778,0.9433396899346416,-1.1955564465401305,0.23618095981472684,-1.4316055406020338,-0.18731734139131176,-1.799235937522812
1920,8.284337079253264,3.621344386843965,-1.9645782898790793,2.6358295081043797,0.392862170763323,-4.9298791582800785,0.03152787154236467,1.944976539784255,-1.138108126104881,0.1138030832935969
1924,9.169148718618988,0.43692972003141295,1.9584816205476019,0.9620616233391581,-0.08051507184338655,-5.7696842217243125,-0.20702428817792856,2.4219686620500203,-1.0197433513729945,1.6971802306782544
1928,2.6688535137110647,-2.698678556263234,3.258096374779568,-1.8083411385881063,-0.08813909495399128,-3.042394611248339,0.7416635122882878,-0.9811754897827039,-2.419412351743677,-1.4633787075312925
1932,6.935641219496059,-5.615463228435382,2.0682570804874234,1.6007089049146577,0.12486756945812749,-0.9908437271015136,-0.623873100803326,0.5925558440576272,2.597857838771477,0.22248063405822255
1936,6.2195303125462775,-3.3971291097543883,-0.6464595236792129,-0.07991001796059725,1.1210874797764085,1.2407053673384718,-0.19174442609208067,-0.2411669548018004,2.748870146199235,-0.5379295009625248
1940,6.042883960208548,0.9970060704463631,-0.9420860040133929,-2.0999921500367846,0.8963907233099387,-0.3833439260079378,0.09908774206107049,-0.677294978460957,0.635655108602498,-0.12835986153356946
1944,4.461019318393827,0.8235646354033347,-0.37173892813270887,-2.5982004169096737,0.72861645094999,-0.35162186410180013,0.08511028962092504,-1.0872593415898288,0.7661989492169244,-0.9956840054054125
1948,2.5893932349679063,-1.4424908884590497,-0.2715707297879358,0.5976098379067575,0.895892970594922,-2.315475061522145,-0.517010312953616,0.3670631700194153,2.1250966522502264,-2.024974524478478
1952,0.9437923711178375,2.7020571418227246,-0.06249307153517465,-1.990924806128338,0.20924332592895334,-2.431935210225558,0.007964690676223567,-0.545135319202098,1.9910225326635935,-2.0862764411731765
1956,1.7133721887103615,-0.8880555364142353,-0.6989807033837635,0.21494976570028682,0.46110517629887193,-1.6483851913595042,-0.06713316451626647,0.7983668208989161,3.861313562310838,-1.7096272311631417
1960,-0.6536858670670062,0.18863287261486752,0.6090339448957169,-1.4352970471944224,2.1375809909930545,-0.7926533165635097,1.5357886931998308,-0.8048580941447114,-0.3422718900453655,-1.1583645370501963
1964,-5.409107421180059,-0.8615340416214823,-1.984981543670031,0.6824253587577629,3.941557401443886,-1.5305727982686863,-3.157222482303005,-1.3551117412313913,-1.8721913094621663,0.9803931012700445
1968,-3.2620109539425206,0.1847129686338543,-0.39323339353552317,-0.6974547766894984,1.84965834508522,-1.0887961656107692,-0.17036251271453562,-2.96722889704975,0.01865842757096617,-0.6801765186479163
1972,-4.057572001206077,-3.184923627756242,-1.4290886455905445,0.5789637277049516,1.8993439751080448,0.8394239207179311,2.504195316589216,0.974025477441116,0.15671344880434113,-0.29437607349117184
1976,-0.8655345122878706,-0.594198986546692,-0.5068270904635177,0.027763387234581872,-1.0423634852882524,-2.7332005481246457,1.292539366312311,-1.8561563146038687,1.7851586419066905,0.8072914438515876
1980,-3.000053588086403,1.2832512925744015,-0.013905283377049885,-0.6010606705194728,-1.2171110389814503,-2.301744447683881,1.0560316300049954,-1.5766344261203626,2.2360132685826053,1.443928476557877
1984,-3.3037627333005153,-1.2106753740759557,-0.3348811067721347,-0.22723665450698444,-1.29092991195353,-0.13245857021810173,2.281047754998538,0.83938438263894,2.1831690376132276,0.6463750636664447
1988,-3.3488688604948846,-3.0393919568432595,-0.6406986560534865,1.3697716884137636,-0.16685347484928206,0.015523059790932906,0.30032784603487656,0.9767307091489223,1.9021280439655186,0.6694533065962807
1992,-2.1701451838284997,-0.5228326479830666,-0.9586203057234679,0.5309658750149099,0.10775143952010728,-0.04389925600057707,0.5795164328412101,0.14346709826488957,0.3823374537651325,0.14686455602677795
1996,-3.5420751833318556,-0.1290520052254565,-0.7520369497226534,-1.6896318754311228,-1.5334600478908762,0.16416923299950492,-0.43119058668789123,-1.0050635774700016,-1.5390728470428285,0.1383878312583671
2000,-4.247347775358719,1.7923583735669302,0.332477328418702,-1.5678195963100936,-2.8654988979737617,1.5724479727412168,-0.31876708854891905,-0.5365083200634175,-1.8256408478122097,0.6728370184708928
2004,-4.292142769201447,1.136151137654833,-0.696422155895625,-0.8836023005773637,-1.9417285624772416,2.6491771583325288,0.6133880979052004,0.34620266570362396,-1.8859794004778265,0.684653367965991
2008,-4.140514215899652,0.7217912875105553,-0.20499050155288737,0.03146966494063121,-2.402441275666158,3.3489487024686113,-2.0396829685036146,1.8886523399535036,-2.3373035976260006,0.32059429235646353
2012,-4.426353713355507,1.650395032094918,0.20493155444403657,-0.3107603249355479,-1.8693411799894453,4.148550637248595,-1.928969178288253,1.1050639136022793,-2.5481707032455194,1.068824106153068
2016,-3.0594189667049543,3.0677034708425346,2.257105371567177,-0.26398664831218277,-0.8574454546864443,5.967830231087541,-0.7709684303873106,0.5877378045251608,-1.9807733566598678,0.7814142008860387
2020,-3.3241563937994165,3.3254123767639636,2.3324093216993895,0.635109180491168,-0.3759141000450314,5.88967288211196,-0.5489488893905812,0.6906241937957827,-2.3323619205529007,1.1733933580128855
2024,-3.2411110782838426,2.9210273591827316,1.6664121991144563,1.532235039867399,0.02244388743336366,5.8459953557441935,-0.39147277452244433,1.3883793732384793,-1.9618460686857238,1.3105092678568986
