year,PC1,PC2,PC3,PC4,PC5
1916,-0.6672521911776612,6.415599938971589,0.5461844477334576,0.7374108001737802,2.021422697423486
1920,-9.35517567267255,1.6456534695015004,1.8029734121166152,0.7623180536266909,-3.9251888926582765
1924,-9.525194967326362,2.685101286099534,1.7776340083664688,0.41865655856322753,-2.8057818289252277
1928,-6.411486831961558,-1.22295233459868,1.366453544797256,0.13522743256328432,-0.39581445173740754
1932,3.08324663490507,9.1097031637019,-1.0124578588901814,-0.25022918143455897,4.81025563464632
1936,5.330053884611875,9.548343819752429,-1.4453503468342255,-0.43121635588409496,4.063756438284997
1940,1.5575540734539706,6.877569704684101,-0.9354184376716772,-0.24447614499397632,-0.30032826409001107
1944,0.7552929540210547,5.146972218953823,-0.7739476028812745,-0.29461852031473784,-0.36800340759342776
1948,0.39439902988313397,3.5783563461957284,-2.0314986220577045,0.2604488203121827,1.4469804108620075
1952,-4.335576574840324,-1.0304500366549199,-0.8686759666504081,-0.3819914108415671,-2.63339113371706
1956,-5.518719621515435,-1.2710402337050926,-0.21804389989375364,-0.797848565853204,-0.40512520792054796
1960,-0.16839270624445882,-0.40123887051241097,-0.8706824427951504,0.6108650735327587,0.2678779456604393
1964,8.757505210635454,1.3966117616097822,-4.091333682526596,5.742941493190443,2.8484397395455328
1968,-0.009914155262026667,-2.1778627814100497,-1.9519277582198014,1.019024564094191,0.22614201355702268
1972,-5.567546424917393,-7.673667403032761,0.14456710845804452,-1.9503183311477368,1.4017218329346868
1976,-0.12874369336598535,0.1880638026783929,-2.4288732218306706,-1.0309355107202962,0.6036108362351177
1980,-2.9085045893293673,-3.3841890647379547,-1.8247101973515962,-1.8453295385609267,-1.643006772022646
1984,-4.51248521591446,-5.651297532316447,0.08602770544069646,-2.904198891134779,-0.5968416649462474
1988,-1.1017710088488184,-3.3958340450406292,-0.8785996223889592,-1.0236953209002535,1.6982141799582782
1992,2.6903072909757038,-0.15802410788772595,-1.3898411296456423,0.3985415096799236,1.1220503227967962
1996,4.162472397033794,-0.46287301474299675,-1.3972754324546728,0.3114540549782891,0.3074629370727664
2000,2.2899679078005692,-2.9471254155690314,0.3020581727943821,-1.0200494480312705,-1.5139489107978
2004,1.8580601710948381,-3.6280439916225866,0.9788905015022995,-1.0008942359134159,-1.1362835372847884
2008,5.504754407395885,-1.5276775028841487,1.5572559883160422,0.6340769268206394,-0.1970405746769531
2012,4.329502134255838,-2.7139426805234548,2.238580770172672,0.6221233051094254,-1.0372231729123726
2016,2.9231860071479194,-3.0341772441732036,3.8901583898041174,0.32456927833743426,-1.4810451363135808
2020,4.004621589667636,-2.5345998589499823,3.6726063782282035,0.7947271562177969,-1.206045889708749
2024,2.569839960493659,-3.3769793937867054,3.755245794362058,0.4034164285307494,-1.1728661436723604
