year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
1916,7.51753907489497,0.007387009979157802,0.950215001876995,4.771598611937298,0.18977998144031002,-0.862725592051721,-0.6031612684018258,0.05580945721125136,0.023084234932487607,-1.3569031731794936,-0.16164087872103913,1.8129992352751094,0.14234791691928544,0.37445577585739953,0.8425434785287018,0.2753661656579633,-1.3558506966058472,-0.11538416438420634,-0.9388909690229638,0.2504145617028991,0.5016683206630413
1920,8.432416571050005,-0.336842844075501,-3.860022284351609,2.266833732561382,0.11582643079278791,-0.2203413616207006,-4.438618947855413,0.0671387766458778,0.15906938523125247,1.5235773435639066,0.12425279719179701,2.1114265597329385,-0.9304421143925891,0.6885474217775864,1.7234875756316999,0.2320439171345338,0.8621861312733881,0.013817956755562048,0.25705664582122095,0.12833741099674878,-0.27834454473413606
1924,9.357341304504894,-0.06777747164843778,-0.45720298590621916,0.5140789865723469,-0.22590705769328315,0.23049269569967995,-5.469566702388146,0.02661959745619888,0.2810591979579662,2.42072312844656,0.2144351228019656,-1.3081831681270903,0.12697641726912967,-0.14483615011383733,1.3909574702618497,0.3249523642111713,0.5594877945155388,0.042650769934992186,2.056729767408487,-0.241446790015279,0.4038196261229037
1928,2.6972497310701615,-0.08975588777991413,2.7358763728351296,-2.0622278947913726,-0.23973079999172484,0.02603860618868066,-3.2183719010708893,-0.20536854072627553,0.1504092158094587,-1.319582013595398,0.5676200716620916,-2.4987314333218777,0.8856088809697634,0.7113476306920942,2.2321924429738207,1.0507019584181954,-1.6170637373144487,-0.05944334770305862,-0.20556370629131215,0.7470721673458468,-0.816355030787195
1932,7.323667272517414,0.5601550156880686,5.348953405341018,1.5923579708640547,0.1480392136732116,-0.18246434095555217,-0.3505462005192583,-0.10173218383596337,0.03521335374051728,1.0119373286404014,-0.31590944706863877,-2.408402318978158,-1.0800444519126178,0.4498012460611197,-1.851469284650256,-0.0747966392597195,0.09247464049365621,-0.20046630409521382,0.04959509636422155,-0.5127562150731607,0.008855608409638603
1936,6.415517601981149,0.13638015460553038,3.038742147276372,0.07156495759833803,0.0894497136233948,-0.8005685760737988,1.8487142034440247,0.07296478373417606,-0.07202499588686594,-0.044274090180750375,-0.39001442031275185,0.51641946294567,1.4758454244927925,1.3323066820220828,-2.2527043290046276,0.3071168186073731,0.4578563253653294,-0.34546023204022147,-0.8958920059817906,-0.21442052006499163,-0.309982282646538
1940,6.08390248106544,-0.6207655188413103,-1.3055408986307742,-1.9465204888172192,0.2540027871623974,-0.5876425339819846,0.4272520556012109,0.06758753598284635,-0.30254886048885316,-0.27148422312440457,-0.5531529700572629,0.31520696008265525,0.3100216327730279,-0.2952918436448414,0.15743540526607888,-1.01437091899274,-0.35271276013471436,0.20460719549336612,-0.45537414866075654,0.1505356150952461,-0.1976625977879547
1944,4.563831113921558,-0.5504936497207332,-1.1263524820223902,-2.432960505388684,0.2091730775408455,-0.4680292444057109,0.36456490693217336,-0.06488950006432015,-0.14892188899854966,-0.9111789714318379,-0.449199865986227,-0.3745141413598835,-0.04164875595450072,-0.5902000815870144,0.0071277553996139205,-0.3373204836351504,-0.49133810865957495,0.41106437176768257,-1.4043534253863956,0.07306775319271464,0.18293994667101995
1948,3.0570151030279256,0.41417471499319997,1.1888296832561647,0.797928573503071,0.2841782809417676,-0.6598799028325742,-1.6987359437871665,0.0782345028527954,-0.12387557743830274,1.3338726798664526,-0.27351661478116,0.044538010517885133,0.18894348886388646,-1.0468401316617917,-1.480452140159329,-0.5928884655754142,-1.5171234123151052,-0.15321838492332518,-2.5693769614653132,-0.6944610669289024,-0.4414016668365825
1952,1.2437063473369745,0.3442503351832701,-2.870092793173884,-1.91984793500996,0.20809738834337396,-0.16919808012325893,-2.1433395301803113,-0.019474116082360254,-0.15442690005530615,-0.5421615185836403,0.004229628468234205,0.04495369614359868,0.5430982589929623,0.31471297686462446,-1.9556807535146234,0.035685430863902946,-1.0137593680242627,-0.5029680793421201,-1.829818988346492,-0.4347747863620232,0.21557264142287277
1956,2.2917544187013794,0.45823251028600437,0.5762027703212501,0.33592889673714915,0.3498219993591287,-0.30244813653035835,-1.2516020283166711,0.2720683699210809,-0.31472455937683197,-0.3443475591094387,0.04061093532954711,-0.22907874125976732,-1.1902548292068786,0.8158804373400161,-2.962523170788113,-0.8429180146417159,1.2895221574039697,-0.7631576570224735,-2.6922067570227313,0.09332909646923382,0.4569915522741091
