year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1916,-0.5938108246242,6.444284558574819,0.07199668738456905,-0.15834893982858825,0.2969716481159927,0.11889942784010271,0.9136892477803702,2.7204871279696508,0.16763746464165838,-0.49800837147744387,-0.04693595349707706,0.08594968271491404,-0.5268247923165399,0.5138389486802575,0.43420452228601075,-0.09131958369397354,-1.4093329261168444,0.24021476148731175,-0.16729132766636548,0.10239548009375972
1920,-9.911990498197312,1.0844385962175653,1.2287969590508556,-0.34789338934362973,0.004264279025267089,0.02565028520323356,-2.8680474729562815,0.6511851675085658,0.2972336505320872,0.7249543602732297,-0.3506652902406771,0.5793948072918284,0.4489001584494525,-0.20116878739902974,0.5921921196519246,-0.1026180781026999,-0.6245793024342671,-0.12798247623757167,-0.8580765764862811,0.5213909462008869
1924,-9.98494229071972,2.2225992299532673,1.1783445539603938,-0.42194096921572694,-7.42321010081019e-05,-0.2606832771653177,-1.2638558974329992,-0.716030617244785,0.275339941652983,2.0255356298206606,-0.20700557448301196,0.47788474281643073,-0.07035862644581271,-0.4252357766184755,-0.37880382685632696,-0.337965538693482,-0.31786062699621254,0.06671784426243818,0.08870963587541845,-0.2070072555254348
1928,-6.364353376264558,-1.2861774801651495,0.38875447617939746,-0.18864316874754808,-0.19604835756126987,-0.015600202700695242,0.8610012125902506,-2.2473783610118736,1.1847119434966693,-0.12480932015769336,-0.15397083394217537,0.018328252558756437,-1.644556165716891,1.2062185031024597,-0.3922359087119514,0.4203110733379805,-1.301937751841946,0.2647484144809296,0.8711060102818386,-0.2529242818829123
1932,3.334181609796107,9.400890644667488,-0.38147338527544794,0.14031134661457179,0.18922970768541494,-0.36361500168696936,4.261452216209779,0.7626019366725962,-0.669089705488187,0.8076416592779593,0.37908106070893993,-0.17459434907287902,0.4011108938730492,-0.37466624114722935,-0.4432731499444521,-0.009247372041766273,0.21310581328363884,-0.34234333497241626,0.14265644047754122,-0.1721745630906781
1936,5.641632230636656,9.890780647226062,-0.5930001844580779,0.10963244952813256,0.29484190191284015,-0.2281905622997215,2.4198725944044748,0.6358311360812814,0.15551974928889548,-0.46821145044099344,0.6837625698810101,-0.3086573538658495,1.248755797937141,0.2682948411908668,0.7728299072433295,-0.1352340033894201,0.08933168768417517,0.006609813587023581,0.42553909084115743,-0.9751310653256157
1940,1.5527907951140036,6.971842897535474,0.0008428979821864139,0.021081649000337238,0.028526659752112295,-0.06588607763126489,-1.1506112069161591,-0.6464794379688031,0.21741153891476128,-0.16444234140987835,0.24528797367112007,-0.14249369373261006,0.3737936090644698,0.10525699810048511,0.09536409015070545,0.07158423035008954,-0.2584136717067284,0.24102193710188624,-0.24647183396779265,0.4713793536949675
1944,0.784392170412612,5.245326785145691,-0.061827367295543785,0.0037272937238353033,-0.0013437812521610649,-0.09524808406155379,-0.959398696573473,-0.9475874221445905,0.041984333546430684,-0.755845766552126,0.05946225118273408,0.07826114115205293,0.019643775651054955,0.1551055270061071,-0.23726223644529043,-0.17579474850194327,-0.3989961937870835,0.19404863941816977,-0.3768576705618437,0.28517585283269625
1948,0.5463017465929014,3.8450543688233014,-0.6917956281800312,0.35739920507194917,-0.08441902723147289,0.43737100684963726,0.95219696378705,0.5247698138998701,-0.19358517464281275,-1.261604729457601,0.28774607345915915,-0.21946982732675832,-0.3498534747127404,-1.3777709139379635,-0.07187935292329366,-0.23515943813816326,1.6838039272416236,-0.2278708717758754,0.5185696927196776,0.10785063014442214
1952,-4.487679351954979,-1.1374755290072278,-0.025327374218092252,0.12521612361055054,-0.23037805190054297,0.05006299059656799,-2.087313015792147,-0.9448596952275373,-0.6931680986865025,-1.260347418570911,-0.04034777566236357,-0.08949595528677291,-0.11069393535011536,0.07359721224075219,0.05629987867062858,0.38594960982203685,1.367260549452219,-0.2977332989899047,0.11720716855166516,-0.789700409006996
