year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
1916,7.511956452388544,0.0704858849770863,0.977960327826677,4.75507113319591,0.1768114531682279,-0.8500182790406322,-0.5817452650400254,0.061443504537834204,0.018682851882887864,-1.2943250938582738,-0.18686448344258744,1.8412340481274418,-0.02587713035806114,0.35167346356738993,0.8292912855219566,-0.8916561846597993,-1.3960058549435999,-0.1867816349281224,-0.5455790068447245,-0.39600142590488735,0.1806941222015041,0.09317733206375714,-0.34116459677935135,0.0683652522687892,-0.27220099224073846,0.07898117586490003,0.08934779018459942,-8.969493167333538e-16
1920,8.440816411459597,-0.29853964460139065,-3.825537204685704,2.2295133555339457,0.09019861481727566,-0.20095062111128964,-4.441337052059521,0.07950135235336041,0.14121233400594274,1.523807234772726,0.10351735365356605,2.143049787668248,-0.8895352096762152,0.6097558124530643,1.76307001115734,0.288167886682835,0.7875825445969014,-0.08416346234091505,0.41295476101254136,0.1361223200980039,-0.2690036419685825,0.1874054126177557,-0.3156887637576455,0.13091863692450817,-0.4745394177250168,-0.16783294812368674,-0.04254293219417142,-5.307160533675532e-16
1924,9.356391358806862,-0.06403486026929776,-0.45913294858714204,0.5332771100362393,-0.20749465824224247,0.2264956252873879,-5.485709326381169,0.002576551724062986,0.2955599650801159,2.3435874237661443,0.22055761280210215,-1.3671528314035506,0.15017960973642408,-0.09106746079936881,1.4295327795032384,2.0189382122174764,0.6118386762381647,0.12198536569863362,-0.016614821264735163,-0.43204000558931294,0.4408560861461136,-0.21030825907651596,-0.1505598024721378,-0.2483154583931598,0.2714772909314496,0.2813774742667165,0.07549269897177122,-8.65461456475858e-16
1928,2.68861492910233,-0.0519828696506663,2.7561659513156114,-2.0676434902995697,-0.23731969771193925,0.012699112253019973,-3.179211331419791,-0.19855401583639054,0.13659601925324902,-1.2881049639740692,0.5528747325619136,-2.4775050035199926,0.6944634328458884,0.6631677348007002,2.200340613503644,-0.1707329702123482,-1.7684145666605828,-0.39002864278548266,-0.04331359379934455,0.17080870991748745,-0.576600167487389,0.7261062879406143,-1.0181397449929488,-0.8173043474976529,-0.05920171587387525,0.008332214526199798,-0.053130885947761636,1.1189459752747597e-16
1932,7.320541891986032,0.5262601206736301,5.3850255774550995,1.5662960173752487,0.13304810735242376,-0.1689932868125743,-0.3426943445034299,-0.07898369233447824,0.015219242155799239,1.0635122966032808,-0.3130046642287474,-2.340847123284856,-0.9168445959784909,0.3581131893886584,-1.8379588354493845,0.07692875339500041,0.02903030038562773,-0.2157355585878133,0.7953931140525602,-0.04735356911616401,-0.04600134178273601,-0.2020970511840751,0.22805591252206295,0.5487296413428601,-0.12114834455715974,-0.061876035458139515,0.02029863911671464,8.296707621059505e-17
1936,6.406740513197022,0.18768411700288165,3.022910269966841,0.09352394899488589,0.09454332220972395,-0.7737934282506537,1.8183119455082355,0.05547850212722373,-0.06821826420715664,-0.057624263226209185,-0.3891425891843064,0.4523460513566821,1.26788472357357,1.357912477193989,-2.271831334329721,-0.938178658494835,0.5731891212762358,-0.4572411617125884,-0.41301327054168907,-0.16971074889755505,-0.5346680406903022,0.08101782679918668,-0.14248249894123147,-0.2419699979511175,0.13970926262319353,0.5095990228239019,-0.04785313685598147,-3.0345492419778016e-16
1940,6.081452766471624,-0.6497833508057833,-1.3061167926534993,-1.924336922628566,0.2551278610558106,-0.5810916450966561,0.42800525733177225,0.04966202670527542,-0.26971661959573856,-0.28640313700419867,-0.5571584750067836,0.273010384180804,0.10610960046742306,-0.19566060070492797,0.14655577391026917,-0.38963805064293033,-0.3721101247487969,0.2971415893456293,-0.7518026175273036,0.5530577436179228,-0.3163570247251289,0.08044083559984173,0.7942564636484404,0.13978061973689865,0.24826961443838894,-0.1946648204515272,0.10978439411282347,1.05073116013463e-16
1944,4.569974852031228,-0.5269041061361699,-1.1113792998186731,-2.432466496501029,0.20590189575878,-0.46526485363373177,0.38369523776781855,-0.049802463642273344,-0.17385417768580577,-0.9057121004433564,-0.43920024916238337,-0.36462142654570595,0.16226680795136889,-0.6053391260410791,0.03869103614175105,-1.4566484280421386,-0.48501941108864355,0.5214850723228769,0.008793249769385725,-0.11968297243036968,0.0914608607388412,-0.1391435881048089,0.10022646876935583,0.19377653408270976,-0.3059311570067737,-0.30597362849442505,-0.025206881072700246,-9.343377079197146e-16
1948,3.056107023143517,0.41084426357331033,1.1689662471573843,0.8307971354468219,0.29782452814873744,-0.651896407343213,-1.7021196136435182,0.06614484559855591,-0.11466225944491902,1.3307591712587619,-0.26431560050840824,0.007853221680421678,0.18324459458342224,-0.9417106093826129,-1.4970601047768042,-2.5704198307330848,-1.4353749994680893,0.297069722047666,-0.15141577452445293,0.44030317717685796,-0.48412159945615024,-0.7328344033534886,0.49446058821362665,0.03382914726692305,0.38086259625354874,0.3331138148642311,0.011237865651406708,-8.604739324004842e-18
1952,1.2601030760627705,0.25241451256070063,-2.8241706281889645,-1.9612635114633474,0.18387592814273998,-0.1953591607598049,-2.097853414092088,0.010005137639527265,-0.17140812575616757,-0.4272880360282077,-0.02343035307957813,0.15649312474169771,0.43412660277747667,0.17586456516731874,-1.8990929097887488,-1.7704563569236005,-1.2492507923992153,-0.8567514323056598,0.2600733456372228,-0.4217425569670839,0.07835094637789643,0.22155868926726058,0.49261788217086466,0.2508538796864896,0.17284952561577627,0.2489324934320236,-0.03982714524756818,3.6445403638732017e-16
