year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
1916,-0.5975267983112073,6.440731917156059,0.09272485507970939,-0.1740087742691767,0.29622303769113506,0.1111953227143043,0.9335723621376162,2.733877463521919,0.11146838846417365,-0.5116486695925986,-0.030337566060390536,0.07168023480617902,-0.5056417339315822,1.4247402332065717,0.4290925831666081,0.2907917223136948,0.057675077409134676,0.3016497663898283,-0.11553371070395621
1920,-9.909098859952932,1.0874872935270954,1.2178982028053493,-0.3419166506623293,-0.0004220297480748533,0.03027556204154322,-2.880909462762827,0.6773370722012348,0.6213004068801696,0.7110422742547727,-0.35217144791989585,0.6065917410821452,0.4805841826042394,0.6368375339765446,0.5035013933057425,-0.12297433446670256,0.2201897677861231,0.05407449467527331,-0.7986339795340395
1924,-9.985800465233051,2.223041396606574,1.1859782255951605,-0.4214339420941793,-0.007121841476435739,-0.25928601296362136,-1.2615233554025742,-0.7145591527785331,0.3571772709943739,1.9993513829237097,-0.18796675769181198,0.46419906177250486,-0.039321622210109854,0.267193002256712,-0.34681359933767497,-0.5733026820018411,-0.15714735078271408,0.17840826518474148,0.25741302019693174
1928,-6.365904231800192,-1.2837638983983348,0.3913296688828351,-0.1878476000313437,-0.19947146226230675,-0.015923937792591027,0.8633411639370493,-2.237916276787286,0.5966350071495834,-0.21305310280507206,-0.17030667411821432,0.03896658488105234,-1.6776410205024619,1.4627048121193142,-0.48599132549653407,1.1078355860452025,-0.3598216802798002,0.42096393383959496,1.1775728374503758
1932,3.3331938990173073,9.398233778001229,-0.3739249931657182,0.13490595647975576,0.19171773098310718,-0.36398193429051934,4.270031005247517,0.7496407664646471,-0.5368253254674151,0.8509726004067758,0.38640898801221235,-0.20132525828759257,0.3971095826034839,-0.30572396860995943,-0.40220011792792293,-0.3997608543852534,-0.060607324676916596,-0.45699076195416005,-0.06272543822411406
1936,5.64500614423366,9.892243974423762,-0.6048421785202573,0.11082735262194711,0.29620070062990184,-0.22159747016095607,2.415945524753343,0.6360273435486193,-0.4004157967530859,-0.5099895826266301,0.6769754049499138,-0.2820946025100667,1.1949046568389288,-0.015263805040477916,0.664440756020844,0.03709389452123042,-0.8865138742075674,0.3347798040111594,0.5623020325868806
1940,1.554095422423883,6.9723441060445825,-0.0025456034500165063,0.022569584658951515,0.029909599050356384,-0.06586843313543123,-1.1526790928730744,-0.6336923893065053,0.3081309034871094,-0.1819822283221704,0.2486481462074786,-0.13390110977558745,0.3773362221470659,0.29920472213431604,0.08082258849316497,0.18729787884215074,0.43047648493410756,0.1642477499847008,-0.18445561203255692
1944,0.783309000050798,5.243775394612298,-0.05505489943872682,0.0008232163166586857,-0.0011493325376445037,-0.09900791462286715,-0.9531566370410364,-0.9418821675799616,0.09037067866377972,-0.7536605629545081,0.06398518585347354,0.07021079498109463,0.024371715669609537,0.42557443289667307,-0.2089345580053343,0.017236817940055,0.30223443260683935,0.26245523882192473,-0.37148894025560525
1948,0.548006317333014,3.842958801935077,-0.6998355223272454,0.3629056799604537,-0.07802742165514119,0.43812372886826056,0.9458842721500185,0.508625810232832,0.06201082760433216,-1.2537062398593903,0.2942308984766276,-0.24132300399830606,-0.3206910096015595,-1.8328092490836727,0.003997825813971448,-1.1131873810385995,0.18460488973025574,-0.6981590905626816,0.303616982440676
1952,-4.4878446770367155,-1.1366506604274298,-0.02502519160666659,0.13238603681604813,-0.2319126939677301,0.05100932698244118,-2.08480033838049,-0.9755832368007921,-0.8278707861498394,-1.1958402840667026,-0.05559894813330305,-0.10727622172699189,-0.0899439492860325,-1.3977499472608887,0.1271799823599759,0.25236732310751825,-0.6500948833779034,-0.3917244429595105,-0.02459691122845589
